Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7028353993115406,7.339291623746069e-18,
1,0.7806063428269089,0.2617099860992583,Y3Z5,0.7853981695450236,-2.9464107961495417e-08
2,0.8523997707678881,0.503304805181514,Y1Z0,0.785398116957265,1.0480577175834641e-07
3,0.9214339166747423,0.7356142584169215,Y2Z4,0.7853981636598905,-2.3375935729035014e-08
4,0.969039876268714,0.8958148996900749,Y3Y5,0.19850785729408954,2.2143050399983926
5,0.9816465441717427,0.938238081569148,Y2Y4,-0.6862624020738529,-4.524727173332225
6,0.9999991843797362,0.9999972553249549,Y0Y1,-0.7749776867129841,-1.6478620980613683
7,0.9999999954447416,0.9999999846709254,X3X5,-0.0022965427505907228,0.009996830826536456
8,0.9999999999999803,0.9999999999999337,X2X4,-0.00043049017049486097,0.010000540315733403
9,0.9999999999999984,0.9999999999999948,X0,4.750822043123147e-08,0.010000214513730602
10,0.9999999999999988,0.9999999999999956,standard_x,-2.1141498956502693e-12,0.009999999997890224
11,0.9999999999999988,0.9999999999999958,standard_x,0.0,0.01
12,0.9999999999999988,0.9999999999999958,standard_x,0.0,0.01
