Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6923977809218809,1.0567032396402804e-17,
1,0.7695032160183463,0.25066605607576425,Y2Z1,0.7853982218186191,-8.822229016527757e-09
2,0.8413308908726186,0.4841743677828097,Y0Z4,0.7853981441758765,8.862375280859564e-08
3,0.9085785601290157,0.7027933018657229,Y5Z3,0.7853981613525431,-1.8019046004583208e-07
4,0.9553445838081864,0.8548273925797889,Y3Y5,1.0874060130277052,2.3095150534706446
5,0.9839196913103624,0.9477236908828874,X1X2,0.7835894014975683,3.1016212048362113
6,0.9999971621474598,0.999990774278064,X3X5,0.4852167103911804,1.0002023870123355
7,0.9999999999741993,0.9999999999161231,X0X4,0.006414772482688483,0.010051226925456125
8,0.9999999999999968,0.9999999999999895,Y2Z5,-5.7300425026933725e-08,0.010001882896539733
9,0.9999999999999984,0.9999999999999952,standard_x,1.8185595979599915e-08,0.009999999706277282
10,0.9999999999999984,0.9999999999999952,standard_x,-6.7556196534808966e-09,0.009999999706277338
11,0.9999999999999989,0.9999999999999964,standard_x,-6.75561962002844e-09,0.009999999706277338
12,0.999999999999999,0.9999999999999967,standard_x,0.0,0.01
