Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6720746199286685,-7.02781843648575e-18,
1,0.7514559230519768,0.24207123921314355,Y1Z0,0.7854865150941182,nan
2,0.811489133282513,0.4251409675076647,Y5Z4,0.7853981315130922,nan
3,0.8624024079058759,0.5803996870745611,Y3Z1,0.7853981632706838,nan
4,0.9303774783012855,0.7876879133796537,Y2Z3,0.7853981555463743,nan
5,0.9303774881545779,0.7876879434270149,Y0Z2,-8.836157548351994e-05,nan
6,0.9999999907929502,0.9999999719233388,Y4Y5,0.785499862070011,1.873314837898587
7,0.9999999999999929,0.9999999999999787,X4X5,-0.0001020743683136784,-0.09999962078267699
8,0.9999999999999999,0.9999999999999996,Y5Z4,-4.73331126771855e-08,0.10000001376964338
9,1.0000000000000002,1.000000000000001,Y5Z3,4.106392149093233e-09,-0.09999999384573556
10,1.0000000000000002,1.0000000000000009,Y5Z0,1.0383876030132192e-11,-0.09999999996884838
11,1.0000000000000002,1.0000000000000007,Y5Z0,1.5575814045198286e-11,-0.09999999997923226
12,1.0000000000000004,1.0000000000000016,Y5Z0,1.5575814045198286e-11,0.09999999998961613
