,Y3Z1,Y1Z3,Y1Z4,Y4Z1,Y1Z5,Y5Z1,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y1Z0,Y0Z1,Y3Z2,Y2Z3,Y5Z4,Y4Z5,Y3Z4,Y4Z3,Y0Z4,Y4Z0,Y3Z5,Y5Z3,Y2Z0,Y0Z2,Y0Z5,Y5Z0,X4Y3,X0Y3,Y4,X5Y3,X4Y5,X3Y5,X3Y4,X3Y2,X2Y4,X3Y1,X2Y1,X4Y1,X1Y5,standard_y,Y1,X5Y1,X1Y2,X1Y0,X1Y4,X1Y3,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.917955043087719,0.9179550430877188,0.8004523514958085,0.8004523514958084,0.7651626025054384,0.7651626025054383,0.5366800081748135,0.5366800081748135,0.40159101448507484,0.4015910144850748,0.3960582426106811,0.396058242610681,0.2766826434414502,0.2766826434414502,0.23604808973743452,0.23604808973743452,0.2219281756903177,0.22192817569031764,0.21440043257891656,0.21440043257891653,0.17266452928536896,0.1726645292853689,0.15497227080241027,0.15497227080241024,0.10618329243153023,0.10618329243153017,0.10316603423071585,0.1031660342307158,0.06651509567958991,0.06651509567958985,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.85722573273506e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0007049244260948317,0.000704924426094832,0.0006146906852828537,0.6277878731218927,0.0005875906587168576,0.6589793413828616,0.5366800081748135,0.5366800081748135,0.179662904231972,0.0003083934420780569,0.00030414466533496963,0.1600102224738256,0.2766826434414501,0.2766826434414502,0.0001812682063701476,0.16001003609245373,0.0001704251129298722,0.17966272038258452,0.21440043257891647,0.21440043257891656,0.00013259412335053973,0.6277875861909603,0.15497227080241027,0.15497227080241016,8.15412443580893e-05,0.6589790844598806,0.10316603423071581,0.1031660342307158,0.06651509567958991,0.06651509567958991,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.551115123125783e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,0.0,3.469446951953614e-17,2.710505431213761e-20,1.3552527156068805e-20,1.6940658945086007e-21,1.3875754928741046e-16,3.3881317890172014e-20,0.0,6.776263578034403e-21,6.776263578034403e-21,3.3881317890172014e-21,6.938893903907228e-18,3.3881317890172014e-21,0.0,1.1102230246251565e-16,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.974853243153262e-05,1.1633782340334928e-08,1.0144601853034772e-08,0.4133873945403687,9.697354178228915e-09,0.00013627775263863807,0.5366800081748135,0.5366800081748135,0.09701979831353308,5.089598327863413e-09,2.4271990564164512e-05,0.22652524744887761,5.7218319686972214e-05,0.09701980807174246,2.9915758059563097e-09,0.22652524638677773,1.3600622349810848e-05,0.09701979896484275,4.433827991426422e-05,0.41338737653153634,1.0581554364215017e-05,0.41338739311560707,0.15497227080241027,0.15497227080241024,4.974853108944357e-05,0.00013627775230025667,0.10316603423071574,0.1031660342307158,0.22652524438753735,1.3755405692477767e-05,3.3881317890172014e-21,3.3881317890172014e-21,5.551115123125783e-17,0.0,1.3552527156068805e-20,1.6543612251060553e-24,3.3881317890172014e-21,1.6940658945086007e-21,0.0,1.0164395367051604e-20,0.0,6.203854594147708e-25,4.235164736271502e-22,6.244665772715907e-17,7.237830359838992e-25,1.6940658945086007e-21,4.1359030627651384e-25,1.0339757656912846e-25,0.0,8.470329472543003e-21,3.618915179919496e-25,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.7850273692393774e-05,3.692853579175249e-10,1.604584899060654e-10,0.0002559152899859333,3.0781828332340694e-10,1.2055951996948347e-05,0.00033224191966364504,0.000332241919663645,6.006194681561417e-05,1.604583972425275e-10,8.709034310272093e-06,0.22652524858269196,1.1394467598943731e-06,6.0061946862892515e-05,9.496010067249748e-11,0.2265252484459523,1.0832726826070783e-06,6.006194686752474e-05,1.1394450382923527e-06,0.0002559152898986809,1.0832710199294148e-06,0.0002559152898723772,0.05180625634069902,9.593851822640588e-05,1.7850273688625013e-05,1.205595199309434e-05,6.38668866639309e-05,0.05180620687541359,0.22652524843030578,1.2168861575705392e-06,1.6543612251060553e-24,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,1.0587911840678754e-22,1.262177448353619e-29,3.1554436208840472e-30,2.117582368135751e-22,3.3881027084487913e-21,2.908056841006738e-26,0.0,4.733165431326071e-30,3.6895082315085054e-27,0.0,1.0587911840678754e-22,5.628352691730824e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,2.0679515313825692e-25,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
4,4.403830565457093e-11,6.018495507538746e-13,3.5094898778934646e-13,4.299278270959176e-07,6.761529812015558e-13,9.704089844276712e-07,4.058213722388761e-07,4.0779750018134565e-07,4.656763375288507e-09,3.5094898778904223e-13,2.1377657513973287e-11,1.852249323846009e-05,8.287158713308448e-08,4.65676337490784e-09,6.018495473617946e-13,1.8522493238449816e-05,2.6549297671891117e-12,4.6567633752474455e-09,8.287158713289554e-08,4.2992782709524143e-07,2.6549297671829576e-12,4.29927827095816e-07,4.2340265997732454e-06,4.2992782644111706e-07,4.403830565452105e-11,9.704089844274317e-07,4.656763882489397e-09,4.23402659976714e-06,1.8522493238442938e-05,9.70408981774307e-07,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,5.551115123125783e-17,4.8467614016778965e-27,2.407412430484045e-35,7.222237291452134e-35,2.6469779601696886e-23,9.102268399449024e-24,5.048709793414476e-29,1.3234889800848443e-23,3.009265538105056e-36,1.1104887222168579e-34,8.651638422052036e-36,8.077935669463161e-28,5.736315452293891e-34,4.443406605885299e-07,0.0,1.449821272595745e-13,1.063731293286087e-17,5.3954237965206654e-18,3.2311742677852644e-27,6.497645423123727e-14,0.0315917452868372,1.933858652865676e-18,9.098986738083304e-24,4.16164226265096e-08,5.268870171728482e-20,7.231965012550453e-12,9.683809644314205e-20,2.3801693417630493e-12,4.743251829791162e-13,2.817347200566118e-08,1.3062603897802602e-12,6.295396548347868e-18,0.0,8.271806125530277e-25,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,7.10480350197324e-08,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,5.551115123125783e-17,0.0,1.5221475536371397e-13,4.64038647850436e-08,0.0,1.5146129380243427e-28,1.7670484276950664e-28,4.0389678347315804e-28,4.0389678347315804e-28,2.6469779601696886e-23,1.1603709837164926e-17,6.258877643679387e-18,4.454475593557661e-12,3.308722450212111e-24,5.169878828456423e-25,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,5.048709793414476e-29,0.0,8.077935669463161e-28,9.554590145661034e-14,0.031591745286846745,4.792376180357501e-18,2.190959163250918e-08,3.1554436208840472e-30,1.5777218104420236e-30,9.466330862652142e-30,1.5777218104420236e-30,9.466330862652142e-30,4.1616422626547574e-08,1.0448320747579806e-19,7.231965012553565e-12,1.3931209353016003e-19,1.0773258147269598e-13,2.6469779601696886e-23,1.3234889800848443e-23,0.0,1.3234889800848443e-23,5.293955920339377e-23,6.462348535570529e-27,1.6155871338926322e-27,0.0,5.111409621501649e-12,3.237118033926652e-12,2.81734722201796e-08,2.3171074882935386e-12,1.272117027435499e-17,4.416106441945253e-07
5,9.177822863130526e-13,1.2769016261006693e-12,9.46159444979929e-13,1.0009481230711092e-08,1.2970567006101813e-12,1.944919455727226e-07,1.000939915861919e-08,1.9200814207440607e-07,1.9200811895385933e-07,9.461594449875696e-13,1.2732764644310265e-12,6.497547590384489e-08,1.944918614409283e-07,1.9200811895383685e-07,1.2769016261007073e-12,6.497547590372627e-08,9.290249581823836e-13,1.9200811895171514e-07,1.9449186144096018e-07,1.0009481230487872e-08,9.290249581832272e-13,1.0009481226423656e-08,6.497547640290417e-08,1.0009481226432477e-08,9.177822863128058e-13,1.9449194556665843e-07,1.920081189517059e-07,6.497547640252848e-08,6.497547590371739e-08,1.944919455666581e-07,0.0,5.293955920339377e-23,0.0,4.81482486096809e-35,0.0,2.407412430484045e-35,1.925929944387236e-34,1.2037062152420224e-34,0.0,0.0,0.0,0.0,6.617444900424222e-24,2.646972911459895e-23,5.048709793414476e-29,6.617444900424222e-24,3.851859888774472e-34,1.3869384284987004e-36,9.62964972193618e-35,2.3665827156630354e-30,1.1025041778254116e-36,2.016699040743533e-06,1.3234889800848443e-23,3.9457528159105844e-13,5.312649238929816e-19,2.748041632530126e-18,0.0,1.6267374889790497e-13,5.397249198087972e-07,1.2249292244842793e-18,0.0,1.8848286473755647e-06,4.377379154621758e-18,4.811723793889721e-14,1.5209626443228584e-18,2.179851784014201e-14,2.557434500692536e-13,4.3555825608628976e-06,2.119887496101325e-13,7.170221843082983e-20,1.3234889800848443e-23,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,0.0,2.524354896707238e-29,0.0,4.906150008317995e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.002241467313799e-13,5.4444470341970294e-08,5.048709793414476e-29,2.524354896707238e-29,5.048709793414476e-29,5.048709793414476e-29,0.0,5.293955920339377e-23,2.0726346773294049e-19,2.9509322198578023e-18,2.448424259325087e-13,2.117582368135751e-22,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,7.913407472940502e-14,5.397249149907533e-07,6.47304019064726e-19,1.535590505306343e-06,5.048709793414476e-29,2.0194839173657902e-28,0.0,5.048709793414476e-29,1.0097419586828951e-28,1.8848286473762613e-06,2.0612093280100716e-18,4.811723793791762e-14,3.606597924168889e-18,1.1382351186207692e-12,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,1.262177448353619e-29,1.184916513377393e-13,2.474438910499572e-13,4.355582560863016e-06,3.6766348021219313e-13,1.0259179171925537e-19,4.4937111554668434e-08
6,1.2332255469485418e-15,1.9514277142682726e-16,1.9503480383117937e-16,1.047177142556629e-10,3.0100592685232496e-16,1.8902266427490627e-09,1.0471772486998371e-10,1.7929864642687338e-09,1.7929864708437158e-09,1.9503480383117934e-16,1.0421858067398576e-15,5.024250140048072e-09,1.890226597029229e-09,1.7929864708437158e-09,1.9514277142682746e-16,5.024250140048063e-09,1.2562094969928422e-15,1.792986470843712e-09,1.890226597029229e-09,1.0471771425566254e-10,1.2562094969928422e-15,1.0471771425564906e-10,5.024250060772211e-09,1.0471771425564956e-10,1.2332255469485416e-15,1.890226642749057e-09,1.7929864708437112e-09,5.02425006077221e-09,5.024250140048063e-09,1.890226642749057e-09,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,1.4693679385278594e-39,0.0,1.5407439555097887e-33,0.0,1.8367099231598242e-40,1.2924697071141057e-26,1.0339748412449113e-25,6.162975822039155e-33,1.2924697071141057e-26,3.6734198463196485e-40,3.9325060288651064e-40,1.8367099231598242e-40,2.311115933264683e-33,1.7166065476202884e-40,6.782021029199025e-09,0.0,1.0994102944093681e-17,1.0002961203342823e-23,3.644146418876484e-23,9.860761315262648e-32,1.1734142250966881e-17,7.15419357295053e-09,9.544115678280028e-24,1.0339757656912846e-25,4.749074094493194e-08,3.500803256722194e-24,4.6299785791594416e-17,2.9934362797168217e-24,2.4789161804940543e-17,1.33197822151401e-16,3.460189396924493e-09,1.130052779970431e-16,2.511626979243287e-25,0.0,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,1.232595164407831e-32,0.0,3.0814879110195774e-33,6.140080437102323e-09,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,1.3234889800848443e-23,0.0,1.052008151222601e-17,3.479330246852375e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.219132323489304e-24,3.516535225885361e-23,1.735916602691538e-15,8.271806125530277e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,3.6734198463196485e-40,0.0,6.674078405753813e-18,7.154193572535873e-09,2.9252359693317874e-24,9.998129933857467e-09,0.0,0.0,2.465190328815662e-32,0.0,1.232595164407831e-32,4.749074094493194e-08,1.0674500929322329e-24,4.6299785791593886e-17,4.256308258515927e-25,2.580268910636336e-16,0.0,0.0,2.0679515313825692e-25,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,1.5407439555097887e-33,1.1295208179951647e-16,1.2942006358927906e-16,3.4601893969245078e-09,1.887810085984473e-16,2.6077097694767605e-24,3.271903079239407e-09
7,4.949592541817246e-16,2.3463054578893672e-15,2.4211311555510503e-15,2.5513469279223343e-11,2.119591587289246e-15,9.278313600625705e-09,2.5513472547740964e-11,4.893388693190373e-10,4.893388709497934e-10,2.4211311555510503e-15,2.0033219364496457e-16,3.9549413831825314e-09,9.278313369377331e-09,4.893388709497934e-10,2.3463054578893672e-15,3.954941383182493e-09,4.824505660386796e-16,4.893388709497943e-10,9.278313369377331e-09,2.5513469279222044e-11,4.824505660386796e-16,2.5513469279214968e-11,3.954941321845056e-09,2.5513469279215052e-11,4.94959254181724e-16,9.278313600625725e-09,4.893388709497942e-10,3.954941321845056e-09,3.954941383182492e-09,9.278313600625725e-09,0.0,0.0,1.6155871338926322e-27,0.0,0.0,5.877471754111438e-39,0.0,1.4693679385278594e-39,6.617444900424222e-24,6.162975822039155e-33,7.346839692639297e-40,1.8367099231598242e-40,0.0,8.255651240267482e-25,9.860761315262648e-32,0.0,1.3775324423698682e-40,2.0149102572187268e-39,1.8367099231598242e-40,0.0,1.9050777425640367e-39,1.6894938205271212e-08,8.271806125530277e-25,4.797229438137559e-17,8.92716546738451e-24,1.1623772300463727e-23,0.0,1.9777562168539764e-17,4.011219775753699e-09,7.15593597539088e-27,0.0,3.403362192121532e-08,3.931007522015858e-24,1.3971970652041864e-16,1.9487537235524745e-23,6.329707891027289e-17,3.9672202024639417e-17,2.640392999355762e-08,3.2884754927939095e-17,1.283763981406724e-23,0.0,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,0.0,2.3404940488534e-08,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.3234889800848443e-23,1.5407439555097887e-33,4.86591200474316e-17,1.387548434976793e-10,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,2.9206242685306966e-25,1.1067043641434775e-23,1.716901163578194e-15,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,7.703719777548943e-34,1.1020259538958945e-39,3.0814879110195774e-33,9.620977854707805e-18,4.011219775722392e-09,4.579507070987999e-25,3.913514134786707e-09,0.0,0.0,4.930380657631324e-32,0.0,0.0,3.403362192121527e-08,6.84892481137264e-24,1.3971970652041933e-16,8.568145733648465e-24,1.7432184822170457e-15,2.0679515313825692e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,4.1359030627651384e-25,1.232595164407831e-32,1.5407439555097887e-33,0.0,3.4406864390939885e-16,3.83847537704385e-17,2.6403929993557633e-08,5.70338207569918e-17,1.7838429632218147e-23,2.735243018291078e-09
8,7.001891185091004e-16,2.625621655672488e-15,2.7041152329522046e-15,4.065940591668739e-11,2.405364090927356e-15,7.407655201159914e-09,4.065940905946143e-11,6.961743647680773e-10,6.961743670259538e-10,2.704115232952205e-15,3.9787460710315963e-16,4.029527072373691e-09,7.407655009255013e-09,6.961743670259535e-10,2.6256216556724877e-15,4.029527072373653e-09,6.867454169310393e-16,6.961743670259555e-10,7.407655009255013e-09,4.065940591668524e-11,6.867454169310393e-16,4.0659405916681e-11,4.029527010310244e-09,4.065940591668113e-11,7.001891185090994e-16,7.407655201159933e-09,6.961743670259553e-10,4.029527010310244e-09,4.029527072373652e-09,7.407655201159934e-09,1.4693679385278594e-39,0.0,0.0,0.0,0.0,0.0,1.4693679385278594e-39,1.4693679385278594e-39,0.0,3.0814879110195774e-33,0.0,1.8367099231598242e-40,0.0,4.1359025697270726e-25,0.0,0.0,3.6734198463196485e-40,1.3945273737237332e-40,1.8367099231598242e-40,3.0814879110195774e-33,6.814725721545659e-41,1.769145019670449e-08,0.0,1.6728921666814984e-17,2.479074986640565e-23,7.212233726440907e-24,4.930380657631324e-32,1.7854975144814488e-17,9.341346583216716e-09,1.0879782019233448e-24,0.0,3.422919255797695e-08,4.3091147991558544e-24,1.4552201538261896e-16,1.7099148152786797e-23,7.791329398430916e-17,4.147830000974157e-17,2.5330085226752176e-08,3.5190266206213265e-17,1.7455435406722596e-23,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.4062511631463117e-08,1.2924697071141057e-26,0.0,2.5849394142282115e-26,0.0,0.0,0.0,7.703719777548943e-34,1.6007638482928854e-17,1.350941932187809e-10,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,1.5274225800019913e-23,6.664863709844387e-24,1.6535883522421518e-15,0.0,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,3.6734198463196485e-40,3.0814879110195774e-33,1.0155450898768066e-17,9.341346583154202e-09,1.1415345252893878e-24,3.882037930437456e-09,0.0,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,3.4229192557976896e-08,7.24803449340037e-24,1.4552201538261956e-16,4.8740570351965e-24,1.2971192052124965e-15,4.1359030627651384e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,6.162975822039155e-33,1.5407439555097887e-33,0.0,3.5501275724530356e-16,4.03018916033098e-17,2.533008522675219e-08,5.878711188761198e-17,1.595477887409077e-23,2.6241173410708055e-09
9,4.949593238601768e-16,2.3463032816862688e-15,2.4211288120452775e-15,2.551333136003473e-11,2.1195899878705613e-15,9.278309787961496e-09,2.5513334628538064e-11,4.8933622407931e-10,4.893362257100586e-10,2.4211288120452775e-15,2.0033271778761898e-16,3.954938350087447e-09,9.27830955671325e-09,4.893362257100585e-10,2.3463032816862688e-15,3.954938350087409e-09,4.824506736837081e-16,4.893362257100595e-10,9.27830955671325e-09,2.5513331360033436e-11,4.824506736837081e-16,2.5513331360026356e-11,3.954938288750011e-09,2.551333136002644e-11,4.949593238601763e-16,9.278309787961516e-09,4.893362257100594e-10,3.954938288750011e-09,3.954938350087407e-09,9.278309787961516e-09,1.4693679385278594e-39,0.0,1.6155871338926322e-27,0.0,2.465190328815662e-32,0.0,0.0,7.346839692639297e-40,0.0,6.162975822039155e-33,3.6734198463196485e-40,0.0,1.0339757656912846e-25,1.6155871338926322e-27,0.0,1.0339757656912846e-25,4.591774807899561e-41,1.891350245113784e-40,0.0,3.0814879110195774e-33,2.989660201804285e-40,1.689495109073998e-08,0.0,4.797201543267016e-17,8.927165196984087e-24,1.1623704152307419e-23,0.0,1.9777446949628363e-17,4.0112124033452625e-09,7.15339321472103e-27,0.0,3.403355074158603e-08,3.9309876195894685e-24,1.3971954244359306e-16,1.9487413006434867e-23,6.329700363636576e-17,3.967195709390479e-17,2.640389170667586e-08,3.2884551865619523e-17,1.2837610409679889e-23,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.3404930870932112e-08,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.3234889800848443e-23,1.5407439555097887e-33,4.865883709434578e-17,1.387540934246614e-10,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,2.9206434729318947e-25,1.1066979239440402e-23,1.716899491072441e-15,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,7.703719777548943e-34,3.6734198463196485e-40,6.162975822039155e-33,9.620921672122943e-18,4.0112124033139546e-09,4.579473717969429e-25,3.913492979336779e-09,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,0.0,3.403355074158598e-08,6.848879229407206e-24,1.397195424435938e-16,8.56809066339005e-24,1.7432175619531125e-15,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,1.5407439555097887e-33,7.703719777548943e-34,3.4406824001387814e-16,3.8384516784043993e-17,2.6403891706675873e-08,5.703346868024806e-17,1.7838399643334973e-23,2.735240920598086e-09
