,Y5Z1,Y1Z5,Y4Z0,Y0Z4,Y2Z1,Y1Z2,Y4Z2,Y2Z4,Y3Z0,Y0Z3,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y2Z3,Y3Z2,Y1Z0,Y0Z1,Y5Z4,Y4Z5,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y5Z3,Y3Z5,Y5Z2,Y2Z5,Y1Z3,Y3Z1,Y4,X3Y5,X2Y4,X2Y0,X0Y1,standard_y,X3Y1,X2Y1,X1Y4,X5Y2,X3Y4,X2Y5,X1Y5,X0Y4,X0Y2,Y3,X5Y3,X5Y1,X4Y3,X2Y3,X1Y2,X1Y0,X0Y3,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9433567169983138,0.9433567169983137,0.9424502837770503,0.9424502837770503,0.9223249966654171,0.9223249966654168,0.9009004917506227,0.9009004917506227,0.7951935655656965,0.7951935655656965,0.7417869892607295,0.7417869892607294,0.7398985747399308,0.7398985747399307,0.6489745531369242,0.6489745531369241,0.6229016948897019,0.6229016948897019,0.5437608592359304,0.5437608592359304,0.46906904778216374,0.46906904778216374,0.46562265437810546,0.4656226543781053,0.24657283261983037,0.24657283261983032,0.11320596465314436,0.11320596465314431,0.02900522828361478,0.02900522828361471,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0408340855860843e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0012122012717832712,0.0012122012717832712,0.9424502837770501,0.9424502837770502,0.8091191254747034,0.0011851757811327675,0.9009004917506225,0.9009004917506227,0.7951935655656968,0.7951935655656966,0.7417869892607294,0.7417869892607293,0.0009507601707064295,0.11699739411559183,0.6489745531369242,0.6489745531369242,0.0008004206819493091,0.11699626899266923,0.0006987257240390619,0.0781385892741871,0.46906904778216363,0.46906904778216385,0.07813775593084665,0.0005983191338311642,0.0003168429247422174,0.21756762828282614,0.000145468211391597,0.8091182705441257,3.727134601387992e-05,0.21756740076658607,5.551115123125783e-17,0.0,2.7755575615628914e-17,4.163336342344337e-17,3.3881317890172014e-21,1.2508982565051507e-16,0.0,2.710505431213761e-20,1.6263032587282567e-19,0.0,2.498001805406602e-16,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,5.421010862427522e-20,6.938893903907228e-18,8.326672684688674e-17,0.0,0.0,1.0164395367051604e-20,1.3877787807814457e-17,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,5.551115123125783e-17,1.6263032587282567e-19,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2905871218854406e-05,1.2905871218854406e-05,0.0011907977208940842,0.001190797720894084,0.8091190320228665,1.2618140534123604e-05,0.0011382990390003261,0.15911409460818815,0.3261248922095725,0.0010047370156761265,0.15911278336207002,0.0009372571385521723,2.6833260988165273e-06,0.00014782702105880407,0.6489745531369241,0.6489745531369241,2.151707622877073e-06,0.00014782702089766365,2.683312080674167e-06,9.87285991770705e-05,0.0005926746085771198,0.32612388303438666,9.872859905771892e-05,2.1516957356982092e-06,3.3733127315670154e-06,0.21756760433892997,1.5487477586087697e-06,0.8091190319259596,3.9681462394513816e-07,0.21756760431314073,5.421010862427522e-20,8.470329472543003e-22,1.0842021724855044e-19,0.0,3.101927297073854e-25,2.7769339901021796e-17,1.0587911840678754e-22,5.293955920339377e-22,2.481541837659083e-24,8.470329472543003e-22,5.421010862427522e-20,0.0,0.0,0.0,1.0842021724855044e-19,8.326672684688674e-17,2.117582368135751e-22,0.0,0.0,0.0,1.0587911840678754e-22,5.169878828456423e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-20,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.6811966809742908e-07,1.5726626193386003e-13,0.00015383459096383217,0.00015383459096383217,6.660555885839995e-07,1.537600802544178e-13,0.0001598068566831129,1.3098004118243572e-07,0.32612452403235104,0.00012979812198221868,1.309800231682714e-07,0.00014017786137381612,3.972122985686455e-08,0.00014017786137378362,5.342268700448692e-07,0.866542157473061,2.6219867108445923e-14,0.00014017786137378156,3.972122639370512e-08,0.00015980685668306774,7.656535983009328e-05,0.3261245071901671,0.0001598068566830674,2.6219864690988302e-14,4.9935198715149514e-08,0.8665421574729071,1.6811966809735655e-07,6.660555885839819e-07,4.83543896617724e-15,0.8665421574729147,0.0,0.0,1.6155871338926322e-26,3.2311742677852644e-27,4.81482486096809e-34,1.3552527157646527e-20,5.5220263365470826e-30,6.617444900424222e-24,7.703719777548943e-34,0.0,2.710505431213761e-20,0.0,3.308722450212111e-24,6.938893903907228e-18,0.0,0.0,1.3234889800848443e-23,0.0,1.3552527156068805e-20,1.3234889800848443e-23,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.3958324537345328e-07,7.164987719021294e-15,1.0924076476261046e-05,1.0924076476261046e-05,8.447956374512267e-12,6.784946836739429e-15,5.911131464028829e-06,1.6612931779747425e-12,5.81182138483707e-05,7.370841752245038e-07,1.6612931768225726e-12,7.370844796517288e-07,2.5426710584896433e-08,7.370844796518689e-07,6.775898843256955e-12,0.00015442531813941764,1.1945665660121356e-15,7.370844796517313e-07,2.5426710573717465e-08,5.9111314640288786e-06,5.911131197493498e-06,5.8118213833235476e-05,5.911131464028823e-06,1.194566565456743e-15,1.3958324417214184e-07,0.00015442531813941696,1.395832453734531e-07,8.447956374512174e-12,6.784946722003768e-15,0.0001544253181394175,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,1.0626483936537435e-36,9.264422850733149e-23,1.8055593228630336e-35,4.0389678347315804e-28,3.009265538105056e-36,0.0,2.0679515313825692e-25,0.0,7.237830359838992e-25,2.7755575615628914e-17,1.232595164407831e-32,0.0,0.0,1.5509636485369269e-24,3.101927297073854e-25,0.0,0.0,1.1717649210763488e-36,2.0679515313825692e-25,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0
5,6.104252317872962e-08,9.021303697928736e-15,7.215275681989547e-07,7.24313865154077e-07,2.190335015537279e-11,8.534840664362715e-15,3.8795776882051684e-07,2.3393835265514957e-12,5.805531350971062e-09,4.843848522267612e-08,2.3393835265443935e-12,4.843848522267628e-08,1.09944211756026e-08,4.843848522267985e-08,2.190384165135331e-11,1.552628543497323e-08,1.490930241308124e-15,4.843848522267814e-08,1.0994421175581332e-08,3.8795776882051355e-07,3.879577688205166e-07,5.805531350964405e-09,3.879577688205129e-07,1.4909302413050685e-15,6.104252317872894e-08,1.5526285436087367e-08,6.104252317872894e-08,2.190335015537275e-11,8.534840664377296e-15,1.5526285436087373e-08,5.293955920339377e-23,9.860761315262648e-32,3.851859888774472e-34,0.0,1.3617411679364379e-37,4.135903067695519e-23,1.2037062152420224e-35,2.465190328815662e-32,1.88079096131566e-37,0.0,7.888609052210118e-31,9.62964972193618e-35,4.1359030627651384e-25,2.7755575615628914e-17,3.0814879110195774e-33,1.6543612251060553e-24,4.930380657631324e-32,4.1359030627651384e-25,0.0,1.3234889800848443e-23,1.232595164407831e-32,8.166742927361908e-39,7.888609052210118e-31,1.518657790102073e-07,0.0,6.357548354910248e-15,9.226221569515701e-17,4.349211857102052e-15,3.1448362648311016e-19,2.902075853303699e-18,2.190622215671637e-08,0.0,1.796191065761383e-08,2.1722346141148713e-21,3.5196160633653965e-19,1.2013343061230098e-16,4.930380657631324e-32,1.072954213585599e-14,0.01991883558793566,3.2436341181962165e-15,4.188976114871426e-18,1.5956380659639664e-21,1.3234889800848443e-23,6.203854594147708e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,6.203854594147708e-25,0.0,0.0,6.818869313041567e-09,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,1.5407439555097887e-33,1.88079096131566e-37,2.7755575615628914e-17,1.1318768163591334e-14,8.836093853581596e-08,0.0,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,0.0,7.888609052210118e-31,1.2481111025310844e-16,4.396962994095366e-15,1.5410728378111893e-09,2.0194839173657902e-28,3.0292258760486853e-28,4.0389678347315804e-28,8.077935669463161e-28,1.0097419586828951e-28,3.3800123567947703e-19,4.281570420324878e-18,2.190622215670604e-08,3.255433932937694e-12,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,7.395570986446986e-32,4.930380657631324e-32,2.407412430484045e-35,1.796191065761385e-08,2.5280645448323942e-21,3.519513079620924e-19,1.2013343058913125e-16,1.6561054098266277e-15,0.0,8.271806125530277e-25,1.3234889800848443e-23,0.0,0.0,0.0,1.2134442026386712e-14,0.01991883558794546,3.555241364937184e-15,4.903359081837052e-18,2.4674657665826835e-21,6.877937985958334e-08
6,1.7876854382815774e-05,9.73716000060322e-10,4.585238421249485e-05,0.00012145652317838352,1.1037379729713562e-09,1.0484855621339333e-09,4.5847361541346655e-05,1.104434774245194e-09,3.2128848526356397e-06,0.00012145347113860653,1.1044347672913758e-09,0.00012145347113109558,1.787696472058841e-05,0.00012145347105525003,1.0999701279714012e-09,3.212422726471655e-06,1.0697499716591866e-09,0.0001214534710230283,1.7876964461307076e-05,4.584736156435679e-05,4.5847361544424e-05,3.212884884281464e-06,4.584736160884665e-05,1.069749977015783e-09,1.7876854365697458e-05,3.212422720875613e-06,1.7876854365826837e-05,1.1037379709640693e-09,1.0484855626118495e-09,3.2124227203841957e-06,3.3881317890172014e-21,9.693522803355793e-27,6.310887241768095e-30,1.262177448353619e-29,9.080652089645098e-31,9.952223539931752e-21,0.0,4.0389678347315804e-28,1.262177448353619e-29,1.262177448353619e-29,0.0,1.262177448353619e-29,1.6940658945086007e-21,3.3881317890172014e-21,1.262177448353619e-29,2.117582368135751e-22,0.0,0.0,0.0,0.0,8.077935669463161e-28,5.673880538816123e-30,0.0,2.6181686817186642e-06,0.0,2.1628870789897883e-09,1.0917850117067751e-10,4.743045567238575e-10,2.3813778604292324e-14,6.495807657071277e-14,2.489050991838574e-06,4.1359030627651384e-25,1.3679249286807228e-05,1.485701272396686e-14,1.9237376392356128e-14,9.382935693898246e-11,0.0,1.3585654894789397e-09,9.286083687921545e-05,7.638899713660287e-12,4.955053656986277e-13,4.151939692525666e-15,6.776263578034403e-21,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,0.0,0.0,1.1198227524213439e-05,0.0,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,6.310887241768095e-30,0.0,1.9435881027375783e-09,1.3553227581512718e-06,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,1.783012403542895e-10,4.796869951572361e-10,6.886864770071835e-07,0.0,0.0,0.0,0.0,0.0,1.914042275911599e-14,7.013756752254773e-14,2.4890509819813507e-06,4.187095288763668e-09,1.6155871338926322e-27,4.0389678347315804e-27,1.6155871338926322e-27,3.2311742677852644e-27,1.6155871338926322e-27,2.3665827156630354e-30,1.3679249280638131e-05,2.0038576188124046e-14,1.777240076397791e-14,9.382935649405424e-11,2.6512613079495007e-11,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,1.355593320930051e-09,9.286098198729235e-05,2.7860416504410914e-11,7.75637480884321e-13,2.139319304712572e-14,1.0619854469751388e-05
7,8.604820014326558e-08,3.156903768919972e-15,8.338581003739667e-06,8.83760487238158e-07,2.976169591514129e-13,3.404566279284966e-15,8.338582292467818e-06,2.976071795636664e-13,2.1786055453062783e-07,8.837755809507063e-07,2.9760717952291925e-13,8.837755809506224e-07,8.604792030349061e-08,8.837755809500884e-07,2.978121967733107e-13,2.1785996763767351e-07,3.4752270954435e-15,8.837755809506217e-07,8.604792030633326e-08,8.338582292467503e-06,8.338582292467349e-06,2.1786055453089443e-07,8.338582292467825e-06,3.4752270955568e-15,8.604820014326306e-08,2.1785996763767944e-07,8.604820014326554e-08,2.9761695915138614e-13,3.404566279171546e-15,2.178599676376786e-07,0.0,7.888609052210118e-31,7.703719777548943e-34,1.925929944387236e-34,2.1691136134404713e-37,1.3234864853122315e-23,9.027796614315168e-36,9.860761315262648e-32,3.009265538105056e-36,0.0,1.262177448353619e-29,4.81482486096809e-35,0.0,1.0587911840678754e-22,0.0,1.3234889800848443e-23,1.5777218104420236e-30,0.0,2.524354896707238e-29,0.0,1.9721522630525295e-31,4.336084024957666e-37,5.048709793414476e-29,2.874074625117639e-06,0.0,6.34259671761539e-13,3.695734675901229e-14,2.3737820100425045e-12,3.8324933929450205e-20,4.340399654297766e-17,9.653411003875112e-10,2.524354896707238e-29,7.370514715443223e-09,2.1308805470506868e-20,3.7597566447368663e-20,3.052504015168766e-14,2.9582283945787943e-31,1.4928249419870466e-12,7.185624786867265e-08,2.7395816379686776e-13,1.4813610419546586e-17,5.134350798508533e-21,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,4.3845608116379013e-08,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,1.504632769052528e-36,0.0,4.3353476593354675e-13,9.68382753888749e-07,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,4.1359030627651384e-25,5.048709793414476e-29,5.760680437854688e-14,2.4356916769715396e-12,7.481334426559187e-08,4.0389678347315804e-28,0.0,2.0194839173657902e-28,4.0389678347315804e-28,4.0389678347315804e-28,1.814013099519838e-19,4.526545354409143e-17,9.653411009019878e-10,3.118910701115096e-12,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,7.3705147154431124e-09,2.456523234677125e-20,3.8012464511972664e-20,3.0525040151689994e-14,7.564120630763876e-16,2.117582368135751e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,1.4932987338355485e-12,7.186344814515897e-08,1.6172315931268304e-13,1.5936824497101868e-17,1.0908987948621054e-20,2.0243539417651504e-06
8,3.518346908486959e-08,1.826235794048963e-15,1.589957218046716e-08,2.886132440376046e-08,4.249868880712187e-13,1.9695075779301587e-15,1.589959304983787e-08,4.249837457863905e-13,3.9494022422002e-08,2.886132699156736e-08,4.249837457861377e-13,2.8861326991568284e-08,3.518350337875121e-08,2.8861326991563606e-08,4.250369620772331e-13,3.949405716150422e-08,2.010380023371904e-15,2.8861326991568172e-08,3.5183503378751765e-08,1.589959304983996e-08,1.5899593049838687e-08,3.949402242200152e-08,1.5899593049837353e-08,2.0103800233717723e-15,3.518346908486953e-08,3.949405716151452e-08,3.5183469084869563e-08,4.2498688807121235e-13,1.9695075779181562e-15,3.94940571615145e-08,0.0,0.0,9.62964972193618e-35,2.407412430484045e-35,4.179525061056762e-40,3.308747890976304e-24,3.009265538105056e-36,9.244463733058732e-33,4.70197740328915e-38,2.407412430484045e-35,1.5777218104420236e-30,2.407412430484045e-35,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,3.0814879110195774e-33,1.5369535338614319e-37,3.1554436208840472e-30,1.3986374951387957e-07,3.308722450212111e-24,9.018907139157921e-15,2.7393672950555795e-15,3.430156455253769e-14,2.2464445932340596e-20,3.0232472584335323e-18,1.365713226565771e-09,2.524354896707238e-29,1.0427734802140125e-08,5.208603163010767e-22,2.204695394667349e-20,2.262591844863025e-15,1.9721522630525295e-31,2.9269108602024495e-14,7.326394241615056e-08,6.464187799352874e-15,2.2072643303216694e-18,1.1225623069096866e-22,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,9.860761315262648e-32,0.0,1.7927354383596254e-08,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,9.62964972193618e-35,2.350988701644575e-38,0.0,8.264137904311717e-15,5.608508006040662e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,4.269947246402112e-15,3.3937083809129235e-14,1.3562477418276269e-08,0.0,8.077935669463161e-28,0.0,8.077935669463161e-28,8.077935669463161e-28,1.0584224277986294e-19,3.01713453670779e-18,1.3657132266989256e-09,4.452806391663624e-12,0.0,4.930380657631324e-32,1.232595164407831e-32,4.930380657631324e-32,2.465190328815662e-32,1.504632769052528e-36,1.0427734802140099e-08,6.552304298633193e-22,2.2090464580698937e-20,2.2625918448649462e-15,4.375965393528367e-16,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,2.9279312015426964e-14,7.326394396694618e-08,5.2185021268166105e-15,2.248659769730561e-18,3.123699212932873e-22,1.1526404888655035e-07
9,9.861006281808398e-09,5.458932478626646e-10,3.8700977414718084e-08,2.8989913257550895e-09,3.597045014380078e-10,5.458932275853705e-10,3.870098478320665e-08,3.597045013713238e-10,7.967700331716647e-09,2.8990066487562062e-09,3.597045013713142e-10,2.8990066487562492e-09,9.861015237028776e-09,2.8990066487558853e-09,3.597045061767847e-10,7.967706480029712e-09,5.458932219489309e-10,2.8990066487562286e-09,9.861015237028164e-09,3.870098478320673e-08,3.870098478320668e-08,7.967700331716597e-09,3.8700984783206545e-08,5.458932219489303e-10,9.861006279845544e-09,7.967706480024547e-09,9.861006279845544e-09,3.597045014380076e-10,5.458932275853706e-10,7.967706480024547e-09,3.308722450212111e-24,6.162975822039155e-33,6.162975822039155e-33,2.465190328815662e-32,6.144155601895675e-33,4.110053668622856e-24,7.703719777548943e-34,2.1185229388259594e-33,2.465190328815662e-32,3.0814879110195774e-33,3.944304526105059e-31,3.0814879110195774e-33,8.271806125530277e-25,2.6469779601696886e-23,0.0,8.271806125530277e-25,0.0,8.271806125530277e-25,3.944304526105059e-31,4.1359030627651384e-25,1.6370404527291505e-33,8.362929577272077e-33,7.888609052210118e-31,1.7744001924630532e-07,8.271806125530277e-25,2.383910259519028e-15,1.5323037145811882e-16,6.808218927303647e-15,2.596078307120208e-17,2.1608983716607887e-17,6.647406735901469e-10,2.5849394142282115e-26,5.0755517897738544e-09,3.180081040647637e-17,3.3472659928704915e-17,1.0016631115121739e-16,0.0,7.644236576431244e-15,5.336689251026756e-08,1.2386359896095906e-15,1.1848269992004455e-16,3.010175170095161e-17,8.271806125530277e-25,4.1359030627651384e-25,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.1554436208840472e-30,6.291503392949746e-09,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,2.6469779601696886e-23,2.2518571652958725e-15,5.464561897916214e-08,4.1359030627651384e-25,4.1359030627651384e-25,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,8.271806125530277e-25,3.944304526105059e-31,2.4643845174541204e-16,6.717944009408894e-15,4.30554758948853e-09,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,1.3548513585923023e-17,2.897169873080595e-17,6.647406771052199e-10,2.2039103928914603e-09,3.101927297073854e-25,1.0339757656912846e-25,3.101927297073854e-25,3.101927297073854e-25,1.0339757656912846e-25,6.7407548053553255e-34,5.075551808842676e-09,5.692780509770737e-17,3.993294247622647e-17,1.0019334750356567e-16,2.7013620684879235e-09,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,7.646638067787777e-15,5.3366894447212634e-08,9.864373216766611e-16,1.017529606638063e-16,2.184497523519994e-18,1.0729207682332552e-07
