,Y3Z0,Y0Z3,Y1Z4,Y4Z1,Y5Z2,Y2Z5,Y5Z0,Y0Z5,Y3Z2,Y2Z3,Y2Z0,Y0Z2,Y4Z3,Y3Z4,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y4Z0,Y0Z4,Y1Z0,Y0Z1,Y4Z2,Y2Z4,Y3Z5,Y5Z3,standard_y,X2Y5,Y4,X4Y5,X4Y3,X2Y4,X2Y3,X1Y2,X0Y5,X0Y4,X0Y1,Y0,Y5,Y3,Y1,X4Y2,X3Y5,X3Y2,X3Y0,X1Y5,X1Y3,X0Y3,X5Y1,Y2,X3Y1,X2Y0,X0Y2,X5Y0,X4Y1,X1Y4,X1Y0,X2Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9977278505176124,0.9977278505176124,0.8959064275790221,0.8959064275790218,0.8604384375404843,0.8604384375404843,0.852286041264829,0.852286041264829,0.6813356007212419,0.6813356007212419,0.6068027891459296,0.6068027891459296,0.46768415435630595,0.46768415435630595,0.41602137933992156,0.4160213793399215,0.29969575027896733,0.2996957502789672,0.1495727438260514,0.1495727438260514,0.14527375686262864,0.1452737568626286,0.1405867438337329,0.14058674383373287,0.08109066462388445,0.08109066462388445,0.07656360097525783,0.0765636009752578,0.003672459894302144,0.003672459894302092,1.0408340855860843e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.5102810375396984e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0030104679990645,0.0030104679990644997,0.8959064275790221,0.8959064275790221,0.8604384375404843,0.8604384375404843,0.8486135980880487,0.0025716229650661043,0.0020558101305186314,0.07453557382161402,0.07452971004582545,0.0018309205035413187,0.32709805049196694,0.0014111545344041164,0.001255271213266988,0.334931083851434,0.29969575027896755,0.29969575027896733,0.1495727438260514,0.1495727438260514,0.14527375686262858,0.14527375686262864,0.32709528156263956,0.0004241957295113715,0.33492882093186693,0.00024467679312192034,0.0765636009752578,0.07656360097525783,1.1081000679602848e-05,0.8486097016520953,1.3850682753502319e-17,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,2.168404344971009e-19,0.0,0.0,3.469446951953614e-17,0.0,2.168404344971009e-19,2.710505431213761e-20,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,1.3877787807814457e-17,0.0,5.421010862427522e-20,2.7755575615628914e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,6.776263578034403e-20,5.421010862427522e-20,1.3552527156068805e-19,0.0,5.551115123125783e-17,6.938893903907228e-17,7.453889935837843e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0003594323716576074,0.0003594323716576074,0.00039587369667287156,0.00039587369667287156,0.8604384375404843,0.8604384375404843,0.8486135816088344,0.0003070368267093725,0.00024545177398320364,0.07453285095096568,0.07453276736319772,0.00021860126037177553,0.0001445343628542282,1.861157663268053e-05,1.8611545553419648e-05,0.00014799565910617165,0.1544220075985903,0.0001324264017847109,0.07300915032526276,6.609162876521578e-05,0.15442196415874546,6.419203768207388e-05,0.000144534345413234,2.143351986120094e-05,0.00014799564485244309,2.143351206497278e-05,3.383111764312973e-05,0.07300912824885639,1.3230070393861664e-06,0.8486135260653762,3.465042380627892e-17,5.551115123125783e-17,0.0,1.3552527156068805e-20,6.617444900424222e-24,5.421010862427522e-20,1.3552527156068805e-20,1.3552527156068805e-20,3.3881317890172014e-21,1.3234889800848443e-23,3.308722450212111e-24,3.3881317890172014e-21,2.7755575615628914e-17,1.3552527156068805e-20,3.3881317890172014e-20,0.0,1.3552527156068805e-20,2.0328790734103208e-20,1.6479873021779667e-17,0.0,6.617444900424222e-24,9.540979117872439e-18,2.0328790734103208e-20,6.938893903907228e-18,1.6543612251060553e-24,1.3552527156068805e-20,1.3552527156068805e-20,1.6940658945086007e-21,2.168404344971009e-18,1.3010426069826053e-18,4.1359030627651384e-24,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.792440255669768e-05,5.7924402556697676e-05,1.1022446627483312e-05,1.102244662748331e-05,0.00012112603537574876,0.00012112603537574874,0.00011946142128656432,1.4251853406271335e-05,3.93426248939922e-05,1.0492167366671212e-05,1.0492167061074156e-05,1.4251852566933873e-05,4.024319550678253e-06,2.999350351417419e-06,2.999350347534505e-06,4.12069365139481e-06,2.173836386498342e-05,1.846981773522632e-06,1.0277676629229042e-05,1.846981718754652e-06,2.173836386024265e-05,8.453494819130736e-07,4.0243195380663296e-06,3.4541231271273317e-06,4.120693641087661e-06,3.454123126153301e-06,8.453494548700383e-07,1.0277676626819759e-05,3.9342624499942905e-05,0.0001194614210834973,2.117582368135751e-22,0.0,0.0,5.169878828456423e-26,0.0,0.0,4.1359030627651384e-25,6.462348535570529e-27,1.0339757656912846e-25,5.169878828456423e-26,2.3154817131146426e-26,0.0,6.776263578034403e-21,3.3881317890172014e-21,6.352747104407253e-22,0.0,0.0,4.1359030627651384e-25,6.938893903907228e-18,1.550963648536927e-25,0.0,1.5612511283791264e-17,7.754818242684634e-26,2.541098841762901e-21,1.9387045606711586e-26,2.5849394142282115e-25,3.618915179919496e-25,5.169878828456423e-26,4.336808689942018e-19,1.3010426069826053e-18,2.87552315729173e-26,1.550963648536927e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.117493338886829e-07,1.1242228995735805e-07,5.347494048279017e-07,5.349344580495591e-07,3.929108943510205e-09,3.972824122624374e-09,3.874319055480262e-09,2.740087929715343e-08,7.548997116000299e-08,3.4159834245705475e-10,3.415983424570169e-10,2.740087929715343e-08,1.9394145366289164e-07,5.728609304973348e-09,5.728609304955736e-09,1.985273994639803e-07,7.000618505764122e-10,8.890391243201864e-08,3.3461431689512143e-10,8.890391243201863e-08,7.000618505760484e-10,4.0697477625318335e-08,1.9394145366288934e-07,6.637168552784032e-09,1.985273994639784e-07,6.637168552779575e-09,4.0697477625318335e-08,3.346143168949348e-10,7.548997116000299e-08,3.8743190554802374e-09,8.116709760676584e-24,2.7755575615628914e-17,0.0,4.930380657631324e-32,1.5777218104420236e-30,1.9721522630525295e-31,2.465190328815662e-32,6.162975822039155e-33,6.162975822039155e-33,0.0,1.1559188037251096e-30,1.6543612251060553e-24,1.0339757656912846e-25,3.308722450212111e-24,6.617444900424222e-24,0.0,0.0,1.232595164407831e-32,4.336808689942018e-19,1.9721522630525295e-31,0.0,4.336808689942018e-19,4.930380657631324e-32,5.169878828456423e-26,0.0,3.0814879110195774e-33,5.238529448733282e-32,0.0,4.336808689942018e-19,4.336808689942018e-19,2.1800731410580553e-30,1.9721522630525295e-31,1.4040164460774785e-07,3.106065113322422e-17,1.472208813554413e-16,6.238195934145449e-15,0.08575609279064497,1.558515288464267e-16,6.279268933917522e-17,1.390225621995056e-17,0.0006689335600275186,5.326891539056375e-15,1.932141680483575e-16,5.3535959991578414e-17,7.470014803226914e-15,0.08510502107754275,1.4515238551083057e-16,7.757878793332901e-15,0.0,5.169878828456423e-26,2.5849394142282115e-26,0.0,2.5849394142282115e-26,0.0,2.465190328815662e-32,2.7755575615628914e-17,6.845589185043416e-10,8.271806125530277e-25,0.0,8.271806125530277e-25,0.0,0.0,7.888609052210118e-31,6.803311395152832e-16,5.47877234295084e-08,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,1.5224714929981601e-16,1.6540085971232627e-14,1.6444315802579413e-08,0.0,2.5849394142282115e-26,0.0,2.5849394142282115e-26,0.0,0.08575609279064497,4.697555827455764e-16,1.1008932849584396e-16,3.477472564953544e-10,4.1359030627651384e-25,1.6543612251060553e-24,1.6543612251060553e-24,4.1359030627651384e-25,3.308722450212111e-24,6.6735446264759575e-16,0.0006689335600362747,1.688653684148495e-14,4.854314365593128e-16,5.61565303874656e-08,2.0679515313825692e-25,8.271806125530277e-25,5.169878828456423e-25,4.1359030627651384e-25,8.271806125530277e-25,1.1109175975686378e-16,1.4093552320439472e-14,0.08510502107754286,1.5133588258752536e-16,1.3987618020015886e-14,1.1980768813194724e-08
5,6.941860691303209e-07,1.023247567287604e-06,3.790785154199947e-07,3.079688828576322e-07,0.00014684356904708074,1.245252264970843e-05,0.00014650685652204824,1.0337620427144032e-06,6.721788826186153e-07,1.1969241935275833e-05,1.1969241934685712e-05,1.0337620426960636e-06,6.630983500997525e-07,1.6380156109588714e-07,1.6380156109364618e-07,6.698909362683067e-07,1.7331945646233052e-05,6.856603485309113e-07,1.1790214675715024e-05,6.856603506181153e-07,1.7331945646191704e-05,6.455514080055683e-07,6.630983500916947e-07,5.242271292350536e-07,6.698909362613676e-07,5.242271292334874e-07,6.455514095241217e-07,1.1790214675684673e-05,6.721788786290188e-07,0.00014650685652181693,6.008639969585193e-21,6.938893903907228e-18,5.293955920339377e-23,0.0,0.0,3.2311742677852644e-27,8.077935669463161e-28,6.462348535570529e-27,3.2311742677852644e-27,0.0,8.64353785538165e-30,5.293955920339377e-23,6.776263578034403e-21,0.0,7.940933880509066e-23,3.2311742677852644e-27,0.0,3.2311742677852644e-27,1.3877787807814457e-17,0.0,2.524354896707238e-29,0.0,1.6155871338926322e-27,8.470329472543003e-22,2.524354896707238e-29,3.2311742677852644e-27,6.462348535570529e-27,6.462348535570529e-27,0.0,3.469446951953614e-18,1.9062933441705914e-29,1.6155871338926322e-27,1.0414139235574753e-06,4.245859784833261e-11,2.9712253430275367e-10,3.0146130084341475e-12,0.00021766175648567322,4.456056015398772e-11,2.5845008769076444e-10,2.3998478469411257e-11,0.0019637170728716777,3.1326487969277734e-12,5.157107011129382e-11,9.693940956105334e-11,3.513595589605567e-12,0.004101846926934967,2.8256811168126904e-10,3.547314295038883e-12,4.235164736271502e-22,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,1.6155871338926322e-27,3.2311742677852644e-27,1.3877787807814457e-17,6.451442987135939e-06,2.6469779601696886e-23,1.3234889800848443e-22,7.940933880509066e-23,0.0,7.940933880509066e-23,0.0,7.559757126131507e-11,9.762905075790155e-07,2.117582368135751e-22,0.0,1.0587911840678754e-22,0.0,1.0587911840678754e-22,0.0,2.826402935010216e-10,1.0938552035164962e-12,2.615126949701739e-06,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.00021766177171632676,3.234600990309946e-11,2.3538825299681333e-10,3.762653994118377e-07,2.117582368135751e-22,7.940933880509066e-23,2.6469779601696886e-23,1.0587911840678754e-22,1.0587911840678754e-22,6.786349821572622e-11,0.0019637170735578788,1.2908759998894875e-12,2.5190889895632395e-11,9.355597531468856e-07,1.5881867761018131e-22,0.0,1.3234889800848443e-22,1.0587911840678754e-22,0.0,2.410049110278031e-10,7.82757657781968e-13,0.004101846927074439,2.8831657468630254e-10,9.413589094464354e-13,4.330486975190789e-06
6,6.783536626147082e-06,1.0350339493022633e-05,5.007634163244466e-06,4.608343324628336e-06,4.634035245505089e-07,3.093758001840538e-06,4.640800956983946e-07,1.037043424166715e-05,6.7867966314316346e-06,3.1038727137367853e-06,3.1038727141367755e-06,1.0370434241720651e-05,4.954542503145728e-06,1.5646905987558162e-06,1.5646905983479334e-06,5.904357754581664e-06,1.021450152661542e-06,5.968669863330904e-06,3.261283505749997e-07,5.968669863297048e-06,1.0214501525784573e-06,4.8945797253907e-06,4.954542502988668e-06,1.0900961464037596e-06,5.9043577544291726e-06,1.090096146387165e-06,4.894579725372375e-06,3.2612835053102165e-07,6.7867966313637915e-06,4.6408009556706557e-07,1.0587911840678754e-22,0.0,0.0,0.0,1.6155871338926322e-27,3.2311742677852644e-27,0.0,2.0194839173657902e-27,0.0,1.5651000359584874e-27,1.6412615242850966e-28,1.0587911840678754e-22,0.0,2.117582368135751e-22,4.235164736271502e-22,1.6155871338926322e-27,1.6155871338926322e-27,8.077935669463161e-28,8.673617379884035e-19,0.0,3.2311742677852644e-27,8.673617379884035e-19,8.077935669463161e-28,0.0,6.462348535570529e-27,0.0,6.058451752097371e-28,0.0,0.0,6.938893903907228e-18,1.7458395041022762e-28,8.077935669463161e-28,1.0703752073845509e-05,9.941439318251411e-12,5.560650172938247e-11,9.282733111458677e-11,0.003171460975820257,9.843361320888967e-12,1.0705422364048171e-11,1.7961051335976778e-11,0.013861417506909704,9.14590145363187e-11,1.2072560340145584e-11,3.319716749450891e-12,3.8815905745194253e-11,2.012256799299874e-05,6.416673437669097e-11,4.022621848386236e-11,0.0,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,6.462348535570529e-27,1.6155871338926322e-27,0.0,4.0183502511014165e-06,6.352747104407253e-22,0.0,0.0,0.0,1.0587911840678754e-22,6.462348535570529e-27,2.3713623037251897e-11,3.8497198876349516e-06,0.0,0.0,0.0,0.0,1.0587911840678754e-22,1.6155871338926322e-27,5.609065077244288e-11,2.942732671332149e-11,2.364155846154864e-06,5.293955920339377e-23,1.0587911840678754e-22,1.5881867761018131e-22,5.293955920339377e-23,5.293955920339377e-23,0.0031714609699191,3.5550383959657566e-12,5.050178939471626e-12,8.260063598545346e-07,0.0,5.293955920339377e-23,2.117582368135751e-22,2.117582368135751e-22,0.0,2.4842599220151228e-11,0.01386141753915299,1.144591725579505e-11,5.17054914939132e-13,2.7247140415325863e-06,7.940933880509066e-23,4.235164736271502e-22,5.293955920339377e-23,1.852884572118782e-22,4.235164736271502e-22,5.586134597862329e-12,1.0863658206946161e-12,2.012257249432004e-05,5.7569456678090985e-11,1.215596688894799e-11,6.609518909479058e-06
7,3.016552141587547e-06,7.259715099713696e-07,1.5490200959619174e-05,2.7325088119636798e-05,4.128671804955331e-06,3.7675325364613e-06,4.128776207549961e-06,7.220475450118821e-07,3.018670896522739e-06,3.7669773912081545e-06,3.766977391638231e-06,7.220475457635883e-07,2.7329287644324485e-05,3.016600037153645e-06,3.0166000157576928e-06,1.549322458237964e-05,4.129219211607242e-06,1.5508938556537005e-05,3.7680645544836723e-06,1.5508938558828903e-05,4.129219218267163e-06,2.733225791274892e-05,2.732928764686089e-05,7.252966616355755e-07,1.549322458477622e-05,7.252966615196332e-07,2.733225790484383e-05,3.76806456268842e-06,3.018670896315124e-06,4.128776208074692e-06,1.4823076576950256e-21,0.0,1.6940658945086007e-21,0.0,2.5849394142282115e-26,2.5849394142282115e-26,8.077935669463161e-28,2.5849394142282115e-26,6.462348535570529e-27,2.5849394142282115e-26,6.84955390261975e-27,0.0,0.0,2.117582368135751e-22,0.0,0.0,3.2311742677852644e-27,4.8467614016778965e-27,0.0,0.0,6.462348535570529e-27,0.0,0.0,4.235164736271502e-22,6.462348535570529e-27,0.0,6.462348535570529e-27,0.0,0.0,4.235164736271502e-22,6.716984275318195e-27,1.0339757656912846e-25,3.4524599997824973e-06,3.5748223812401997e-10,7.891802475889602e-11,6.248339551744064e-12,0.000990500745523612,1.651322722898886e-10,4.030296211268839e-12,7.591101920796939e-11,1.686567160863212e-06,3.192219935428794e-10,1.3310344609053907e-09,9.845698946495671e-12,4.4516988028542876e-10,0.0001225026120549187,2.2734318836199183e-10,7.429270881455886e-10,0.0,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,0.0,6.462348535570529e-27,5.421010862427522e-20,2.2825852058392483e-06,1.6940658945086007e-21,3.3881317890172014e-21,1.6940658945086007e-21,0.0,0.0,2.5849394142282115e-26,3.858266911958476e-11,2.692460576712121e-05,1.2705494208814505e-21,4.235164736271502e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,8.007901811774485e-11,1.8115536380995377e-11,4.0023368807233405e-06,2.6469779601696886e-23,0.0,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,0.0009905007349047387,2.623672502141533e-10,3.9098988409801486e-11,2.7657304192521495e-07,1.6940658945086007e-21,0.0,8.470329472543003e-22,1.6940658945086007e-21,8.470329472543003e-22,3.928704760049776e-11,1.6865134760586782e-06,4.1056777963931006e-10,1.3018137713230308e-09,1.6691068339347405e-05,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,1.4345848438490885e-11,2.1342953471506663e-10,0.00012250261897901597,2.3881016424327474e-10,7.414360275512261e-10,7.677648382918932e-06
8,2.5867257777961654e-07,3.086746923871674e-08,4.2335705381149367e-07,8.420857430679952e-07,1.538200719045836e-06,1.2970381889558655e-06,1.5382763433880125e-06,3.105211109418713e-08,2.5868960055467563e-07,1.2964485472092015e-06,1.2964485472111088e-06,3.1052111089880093e-08,8.421814824772219e-07,2.5870756663680146e-07,2.587075666337715e-07,4.2344379862605645e-07,1.5384182625466845e-06,4.2381221585778955e-07,1.2969041773632838e-06,4.238122158642989e-07,1.538418262551127e-06,8.422740387772163e-07,8.421814824780774e-07,3.089512333388843e-08,4.2344379862694996e-07,3.089512333371464e-08,8.422740387525096e-07,1.2969041773663388e-06,2.5868960055144124e-07,1.5382763433900917e-06,2.6469779601696886e-22,5.421010862427522e-20,0.0,0.0,1.0097419586828951e-28,0.0,5.048709793414476e-29,2.0194839173657902e-28,2.0194839173657902e-28,1.0097419586828951e-28,3.374877747534955e-30,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.0194839173657902e-28,0.0,0.0,6.776263578034403e-21,1.0097419586828951e-28,2.524354896707238e-29,1.3552527156068805e-20,1.0097419586828951e-28,2.117582368135751e-22,5.048709793414476e-29,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,2.117582368135751e-22,4.235164736271502e-22,3.475436293396811e-30,6.058451752097371e-28,5.172473799340497e-07,2.75900636893894e-12,3.379639492624374e-12,5.140851481683247e-13,8.330367747863508e-05,2.2069739840849926e-12,1.9940115137400273e-13,1.449294630251233e-12,1.0860691897711117e-06,1.0779981213667521e-12,1.6816118489218643e-11,6.096058956274789e-13,1.4514368735133593e-12,1.1112576351581669e-05,9.548926797990435e-12,2.3031029730998666e-12,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.05927306254354e-07,5.293955920339377e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0097419586828951e-28,8.868520271270146e-13,9.171090080690318e-07,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,2.0194839173657902e-28,3.4237222325685765e-12,3.62726627992875e-13,4.939967358588873e-07,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,1.6543612251060553e-24,1.6543612251060553e-24,8.330367641201091e-05,3.261886166551977e-12,1.6257468843345246e-12,1.738707482763744e-08,2.6469779601696886e-23,0.0,7.940933880509066e-23,5.293955920339377e-23,2.6469779601696886e-23,9.890286618426026e-13,1.0860690273850936e-06,1.3941027931630682e-12,1.6475462414882674e-11,6.057997869806567e-07,0.0,5.293955920339377e-23,0.0,5.293955920339377e-23,0.0,7.892654416131622e-13,5.368118817378608e-13,1.1112576431481287e-05,9.989347634692103e-12,2.2987246619922884e-12,8.578742462455288e-07
9,2.742540269216933e-08,2.237551891027694e-08,4.593921491269475e-08,1.0871256502988238e-07,1.554423040896689e-08,1.2452257776005064e-08,1.554422533695805e-08,2.2375545867244065e-08,2.7425373330959647e-08,1.245225881925305e-08,1.2452258819253505e-08,2.2375545867244085e-08,1.0871653876427822e-07,2.742945868511603e-08,2.7429458685106195e-08,4.59471373987099e-08,1.5544723143258278e-08,4.594710251103657e-08,1.2456578184222162e-08,4.594710251103662e-08,1.5544723143259403e-08,1.0871647220871254e-07,1.0871653876428047e-07,2.2374122062705113e-08,4.59471373987126e-08,2.2374122062704054e-08,1.087164722087123e-07,1.2456578184222736e-08,2.7425373330959594e-08,1.5544225336958493e-08,9.926167350636332e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,1.5777218104420236e-30,3.944304526105059e-31,0.0,6.162975822039155e-32,0.0,0.0,1.77481799094462e-30,0.0,0.0,3.308722450212111e-24,6.617444900424222e-24,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,1.5777218104420236e-30,5.293955920339377e-23,9.860761315262648e-32,0.0,7.888609052210118e-31,0.0,0.0,5.9164567891575885e-31,0.0,0.0,2.3463694184321563e-31,3.0814879110195774e-32,2.6008568971222895e-07,1.897405940833658e-15,5.023051953396947e-15,2.141952175989747e-14,5.160026263271846e-08,3.341881313072801e-15,3.6033460871965404e-16,2.534348495862642e-15,3.044274510081842e-07,2.017669387990788e-14,2.364863644092541e-14,1.2392507218879883e-15,2.7142399158692342e-14,7.598570618347195e-07,1.407753662375426e-14,3.8141813695900726e-14,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,1.3234889800848443e-23,2.101321989347043e-09,2.6469779601696886e-23,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,6.310887241768095e-30,2.984125436611587e-15,1.3124654377604785e-07,1.9852334701272664e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.089456609269408e-15,1.5941875837127763e-14,8.302889525399253e-08,0.0,1.0339757656912846e-25,1.0339757656912846e-25,3.101927297073854e-25,3.101927297073854e-25,5.1600262715897526e-08,4.695599970831454e-15,2.6444246294471967e-15,1.2413154009681158e-09,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,6.617444900424222e-24,1.8744042096767878e-15,3.0442744601024606e-07,2.660305427195445e-14,2.318310988309807e-14,9.020179373659843e-08,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.5076304438736592e-15,5.9839253447989125e-15,7.598570636385524e-07,1.474673525779069e-14,3.806985469288859e-14,1.3266940702847185e-07
