Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6720746199286685,-7.02781843648575e-18,
1,0.7514559230519768,0.24207123921314355,Y1Z0,0.7854877382690691,nan
2,0.811489133282513,0.4251409675076647,Y5Z4,0.7853981666287577,nan
3,0.8624024079058759,0.5803996870745611,Y3Z1,0.7853981613418872,nan
4,0.9303774783012855,0.7876879133796537,Y2Z3,0.7853999642964985,nan
5,0.9303774881545779,0.7876879434270149,Y0Z2,-8.957910916530545e-05,nan
6,0.9303774881565655,0.7876879434330766,Y2Z3,-1.801648709127608e-06,nan
7,0.9303774881565658,0.787687943433077,Y0Z2,-4.885760018395669e-09,nan
8,0.9303774881565658,0.787687943433077,Y0Z3,0.0,nan
9,0.9303774881565658,0.787687943433077,Y0Z2,0.0,nan
10,0.9303774881565658,0.787687943433077,Y0Z3,0.0,nan
11,0.9303774881565658,0.787687943433077,Y0Z2,0.0,nan
12,0.9303774881565658,0.787687943433077,Y0Z3,0.0,nan
