Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6943467137674091,-6.190140742048062e-18,
1,0.7799317743033054,0.28000700267547324,Y4Z2,0.7853981495735987,nan
2,0.8563099978364515,0.5298921731395824,Y5Z1,0.7853981643454865,nan
3,0.9185751231729606,0.7336037906522689,Y0Z4,0.7853981576811061,nan
4,0.9597231139691407,0.8682268837109438,Y3Z2,0.7853987774511824,nan
5,0.9595900742583278,0.8677916202382276,Y3Z0,-5.444968546724141e-07,nan
6,0.9935474045633355,0.978889167146875,X1X5,2.3561756326767003,3.6247534957458547
7,0.9885420880850166,0.9625133691307203,X3,-8.432594199732895e-08,-0.2018920772587816
8,0.9834576053795323,0.9458785644860378,Y1Y5,-1.5707266818595869,-0.1883322020984407
9,0.9799565366295554,0.9344241849400818,X1X5,-1.5707892005234327,0.09635741025229705
10,0.9757019486302033,0.9205045309039905,Y1Y5,0.7853966469723578,-0.16418264015932432
11,0.9709909149300606,0.905091532214496,standard_x,-9.891490619622292e-09,-0.0016231680641317938
12,0.9669753187885398,0.8919537832603915,X1X5,0.7853748151287282,0.0021042401775281903
