,Y5Z4,Y4Z5,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y4Z1,Y1Z4,Y0Z2,Y2Z0,Y4Z0,Y0Z4,Y3Z0,Y0Z3,Y5Z0,Y0Z5,Y0Z1,Y1Z0,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y3Z2,Y2Z3,Y3Z1,Y1Z3,Y5Z2,Y2Z5,Y1Z5,Y5Z1,X0Y2,standard_y,X2Y3,X2Y0,Y4,Y3,X5Y4,X5Y2,X4Y3,X3Y4,X3Y2,X1Y3,X0Y4,X5Y1,X2Y5,X0Y1,Y0,X4Y5,X4Y1,X4Y0,X1Y5,X1Y4,X1Y2,X0Y3,Y5,X3Y5,X3Y1,X2Y1,X1Y0,X0Y5,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.789241993578901,0.789241993578901,0.7434142500319179,0.7434142500319177,0.6577058263942708,0.6577058263942708,0.6349959241034842,0.6349959241034842,0.480480665601294,0.48048066560129393,0.4467592537839232,0.4467592537839232,0.41695262660566484,0.4169526266056648,0.40951572994989616,0.40951572994989605,0.36152277491407514,0.3615227749140751,0.335063350697719,0.335063350697719,0.3101082520349453,0.3101082520349453,0.3020437047996458,0.3020437047996458,0.2588553818900783,0.2588553818900783,0.14195051753283405,0.14195051753283394,0.010128373627345012,0.010128373627344964,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0020111389659104844,0.0020176978707316913,0.0019005392028865016,0.434315073044256,0.6577058263942709,0.6577058263942707,0.0016233676545479169,0.6249005076419991,0.480480665601294,0.4804806656012942,0.0011421404365496235,0.03857606529930867,0.4169526266056648,0.4169526266056648,0.0010435241007904841,0.035789794008464104,0.36152277491407525,0.36152277491407503,0.0008565897592414764,0.1935747322735073,0.0007902149079647509,0.4308869692720685,0.3020437047996458,0.3020437047996457,0.2588553818900783,0.25885538189007823,0.00036171696306590685,0.19202255561106418,0.6228013089687464,2.580902565876619e-05,1.1102230246251565e-16,2.791820594150174e-17,2.7755575615628914e-17,0.0,1.0842021724855044e-19,2.7755575615628914e-17,5.551115123125783e-17,1.0842021724855044e-19,5.421010862427522e-20,2.168404344971009e-19,1.1102230246251565e-16,0.0,2.168404344971009e-19,2.710505431213761e-20,1.0842021724855044e-19,2.3439095716421e-17,0.0,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.3877787807814457e-17,0.0,5.421010862427522e-20,0.0,4.163336342344337e-17,2.7755575615628914e-17,1.0049198886225019e-17,5.251604272976662e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.871189568072945e-05,7.896859789813829e-05,7.438324551929413e-05,0.4343140644972823,0.00017929222148428838,0.0001798769451835607,3.0119111084640937e-05,0.00017090496073207114,0.12013310165284205,0.00013098020795738525,4.470105766845259e-05,0.03857473345519476,0.41695262660566484,0.4169526266056649,4.08414145188431e-05,0.03579124697751754,0.11739598038400556,9.887340168831794e-05,2.980359413992904e-05,5.276882096549965e-05,3.092740703421246e-05,0.430889387034857,0.04402979045854867,8.233785477583665e-05,0.04220646201833496,7.079474359224998e-05,1.3150038236580153e-05,5.234611670589883e-05,0.0001703314215756562,1.3100734560928705e-05,0.0,6.247291502474092e-17,6.776263578034403e-21,6.776263578034403e-21,5.082197683525802e-21,4.163336342344337e-17,2.7755575615628914e-17,1.6543612251060553e-24,1.6940658945086007e-21,1.6940658945086007e-21,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,4.1359030627651384e-25,9.262354909062527e-21,2.0816681711721685e-17,0.0,4.1359030627651384e-25,1.6940658945086007e-21,8.271806125530277e-25,0.0,3.469446951953614e-18,1.734723475976807e-17,8.470329472543003e-22,4.235164736271502e-21,6.776263578034403e-21,3.469446951953614e-18,3.3728289476849703e-21,2.541098841762901e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0102542048619097e-05,1.6612600710081417e-07,1.5647981478991386e-07,0.00431674087020241,3.47814485956993e-05,3.489488094162349e-05,6.336148285895285e-08,1.9466012948971962e-05,0.12013308868344363,2.540925274063281e-05,9.403748352252723e-08,0.37700184986246965,0.00414418182016954,0.378505201113776,8.616240894968619e-06,0.3784344226551457,0.1173959976209421,1.918075480260318e-05,6.269773811553893e-08,5.68347299889358e-06,1.0026206062434204e-05,0.004282702314356567,0.00043762146353562754,5.76997158801068e-06,0.0004194992100632146,1.931127090290532e-05,2.774240271720255e-06,5.713722790213244e-06,1.9399247087756273e-05,2.763838877368983e-06,6.776263578034403e-21,6.8349139921868626e-18,2.6469779601696886e-23,0.0,6.617444900424222e-24,1.0842021724855044e-19,4.336808689942018e-19,0.0,0.0,8.470329472543003e-22,0.0,1.9852334701272664e-23,1.3234889800848443e-23,1.2924697071141057e-26,1.2924697071141057e-26,3.3431162808087675e-22,6.938893903907228e-18,0.0,2.0194839173657902e-28,1.6543612251060553e-24,0.0,0.0,0.0,5.421010862427522e-20,2.117582368135751e-22,6.617444900424222e-24,1.9852334701272664e-23,2.7755575615628914e-17,1.6190626657144187e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.430812264625344e-07,3.9178739245016206e-11,1.479840626357965e-11,6.514483721696271e-08,3.205201063826381e-06,3.215654149896914e-06,1.494301256370256e-11,3.549859001595267e-06,0.00030508869991124947,1.8115876654073246e-06,1.460616006402791e-11,0.0009574823200195195,6.254071259610295e-08,0.0009612428873697874,7.410162165001399e-07,0.0009611202956700752,0.0002981376158333451,3.5415006887066138e-06,1.4786476741563502e-11,1.8025030618618654e-06,7.411989993018451e-07,6.463115430305589e-08,6.604236768727191e-09,1.8022384951833499e-06,6.330750177109026e-09,3.5415403175812276e-06,1.1046136697075535e-07,1.7921535540278162e-06,3.537998097693697e-06,1.1004721692086677e-07,0.0,2.7101747205274533e-20,5.048709793414476e-29,4.1359030627651384e-25,1.6155871338926322e-27,3.308722450212111e-24,1.6940658945086007e-21,2.0194839173657902e-28,5.169878828456423e-26,0.0,0.0,0.0,0.0,1.0097419586828951e-28,3.0292258760486853e-28,2.4262255304784015e-26,2.710505431213761e-20,0.0,2.311115933264683e-33,6.310887241768095e-30,1.0097419586828951e-28,3.0814879110195774e-33,0.0,4.235164736271502e-22,0.0,4.733165431326071e-30,2.524354896707238e-29,5.551115123125783e-17,1.1613763088464122e-25,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.462806000316276e-08,3.374058941015327e-13,1.2737162908665514e-13,6.2686711516051605e-09,1.9607018905482337e-07,1.9556160514539544e-07,1.280000821037673e-13,2.157433966998992e-07,9.710904534099012e-07,1.1059733686702755e-07,1.241082120877295e-13,3.7049971434476175e-06,6.252608656530798e-09,2.100225722618874e-08,6.443165418102637e-08,1.0077531337211012e-07,9.490413631039893e-07,2.152303985966503e-07,1.266649157167017e-13,1.0947870098819863e-07,6.446355079827953e-08,6.253273044310402e-09,3.2342051365408804e-10,1.0946106281134422e-07,3.100480223345616e-10,2.1523525197301623e-07,9.547387906505182e-09,1.0884987873295572e-07,2.150226253804416e-07,9.511593155993244e-09,0.0,1.5096071422641722e-23,4.930380657631324e-32,0.0,2.524354896707238e-29,2.0679515313825692e-25,0.0,0.0,0.0,6.462348535570529e-27,9.860761315262648e-32,1.9721522630525295e-31,0.0,7.888609052210118e-31,0.0,1.1843316797359502e-29,0.0,0.0,7.52316384526264e-37,0.0,0.0,1.0532429383367696e-35,2.7755575615628914e-17,2.6469779601696886e-23,1.6543612251060553e-24,3.0814879110195774e-33,9.860761315262648e-32,0.0,6.696759531267326e-30,1.0097419586828951e-28,1.343101819839252e-07,2.0049146979929703e-07,2.9625922624504757e-19,2.982555189518648e-12,2.006097619898699e-15,1.2230326292606014e-20,3.25860881181538e-16,0.0,3.2534280175410433e-15,5.1318973143253805e-21,4.553978689759892e-16,0.01270346614947273,1.3234889800848443e-23,1.8861994593900015e-12,3.774365855422029e-18,9.411822804765528e-08,1.8827098357255729e-13,2.9302294760336674e-13,0.0,6.203854594147708e-25,8.271806125530277e-25,4.1359030627651384e-25,2.0679515313825692e-25,0.0,1.0097419586828951e-28,5.883283561509077e-09,1.5777218104420236e-30,0.0,6.310887241768095e-30,3.1554436208840472e-30,2.3665827156630354e-30,1.2037062152420224e-35,2.0049146979929716e-07,3.4602077765739023e-14,5.169878828456423e-26,2.5849394142282115e-26,0.0,5.169878828456423e-26,0.0,2.6469779601696886e-23,8.196702827992285e-19,2.982555189540549e-12,5.358628925809523e-10,3.308722450212111e-24,0.0,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,0.0,3.2342391577943232e-15,2.051745261374914e-20,3.683254211086651e-16,1.708310649153084e-08,1.6543612251060553e-24,1.6543612251060553e-24,2.481541837659083e-24,2.481541837659083e-24,0.0,3.888543894819677e-15,1.635184940923694e-20,4.878029261358175e-16,0.012703466149478135,2.8736943610620287e-08,2.0679515313825692e-24,6.617444900424222e-24,5.169878828456423e-25,1.3234889800848443e-23,1.3234889800848443e-23,1.8759973471185347e-12,5.910094381003844e-18,9.411822802758248e-08,2.1812323135481226e-13,3.2200937847590674e-13,1.74782846019226e-07
6,2.6716948164358632e-05,2.011396919963653e-10,1.3530800616344564e-10,4.578918152534325e-08,6.279257856967134e-07,3.8341043641385445e-05,2.55613198258737e-10,3.8338948134227716e-05,1.4588174271608479e-06,2.468502248853561e-07,1.4028549596288197e-10,1.4404995427411283e-06,4.5303724212791734e-08,3.985212442863867e-08,2.6508291587643975e-05,3.5432420056080596e-07,1.4448967039474529e-06,3.841216248760004e-05,2.550377420122356e-10,2.714065881119957e-07,2.6034125099108693e-05,4.40379260807061e-08,4.503884280298996e-08,3.4226558918145965e-07,4.4586622147609116e-08,3.784721566707936e-05,2.619015176282972e-05,3.413621396439695e-07,3.767273717288376e-05,2.6049698424101885e-05,0.0,5.025949401872196e-21,2.524354896707238e-29,0.0,0.0,3.308722450212111e-24,0.0,5.169878828456423e-26,0.0,0.0,5.048709793414476e-29,3.0292258760486853e-28,6.310887241768095e-30,5.169878828456423e-26,0.0,2.412139432939549e-27,0.0,0.0,7.888609052210118e-31,0.0,5.169878828456423e-26,2.9582283945787943e-31,2.168404344971009e-19,0.0,1.6940658945086007e-21,0.0,1.0097419586828951e-28,6.505213034913027e-19,1.4177802619084635e-27,0.0,3.6745201209283103e-06,1.2655135040146715e-05,4.5616777167298716e-14,2.114956586099596e-09,5.722141052718404e-11,1.7110186363298004e-15,3.334182768629793e-14,5.293955920339377e-23,4.4167008234592664e-10,2.2046857544220108e-14,2.4513532935630684e-13,4.9720892898403576e-05,3.3881317890172014e-21,2.027905773425391e-08,2.8216376432542994e-14,1.44970185833998e-05,1.9972618403674684e-10,5.580485061223977e-12,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,2.0214263528465966e-05,2.5849394142282115e-26,5.169878828456423e-26,5.169878828456423e-26,2.5849394142282115e-26,5.169878828456423e-26,1.5777218104420236e-30,1.2655135037535878e-05,2.4444461816548813e-11,3.308722450212111e-24,0.0,1.6543612251060553e-24,0.0,0.0,0.0,5.671287484781699e-14,2.114956591191166e-09,2.446554212732276e-08,1.3234889800848443e-23,2.6469779601696886e-23,0.0,1.3234889800848443e-23,1.9852334701272664e-23,0.0,9.348919059489117e-11,4.698124325414836e-15,7.062910970123533e-14,2.0164702506896555e-07,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.2628212805960182e-10,9.088131485532538e-15,4.21880045078613e-13,4.972089888771176e-05,1.6025166606744747e-05,0.0,2.6469779601696886e-23,2.117582368135751e-22,2.6469779601696886e-23,7.940933880509066e-23,1.9980190851084248e-08,5.781800722275058e-14,1.4497018168784472e-05,1.3832526935622797e-10,3.4720913020469053e-10,2.884397891348002e-07
7,2.81741015875678e-07,3.593343908524325e-15,2.3741533643371434e-15,7.838742121260026e-11,2.986399453847979e-09,1.8070270163881544e-07,4.5466620237622505e-15,1.805485812745525e-07,1.2733985557184147e-06,1.1692505138626554e-09,2.5209560357155187e-15,1.2554558150876844e-06,7.697897863861704e-11,1.859076274449936e-07,2.775922668317995e-07,1.1969335119614754e-07,1.2319175631620225e-06,1.8108078318891827e-07,4.506684084823121e-15,1.1967543212715168e-09,2.683369019896575e-07,7.273004463399419e-11,7.631816081127651e-11,1.6546600424371472e-09,7.492826380208077e-11,1.7602657383777025e-07,2.7300934138458385e-07,1.6270533463136997e-09,1.7468773857885282e-07,2.710039303719891e-07,3.944304526105059e-31,9.283809985086712e-23,3.851859888774472e-34,0.0,7.888609052210118e-31,1.2924697071141057e-26,1.0339757656912846e-25,1.5777218104420236e-30,0.0,0.0,3.851859888774472e-34,1.5407439555097887e-33,9.62964972193618e-35,0.0,0.0,1.4128622072024762e-30,1.0587911840678754e-22,1.0339757656912846e-25,2.350988701644575e-38,0.0,1.5777218104420236e-30,1.1754943508222875e-38,1.0842021724855044e-18,0.0,2.6469779601696886e-23,0.0,7.703719777548943e-34,0.0,1.1755876380539688e-30,0.0,3.7129182533127776e-06,2.0756297348317004e-08,9.440084657880445e-19,2.2978059518104007e-11,2.797098247539503e-15,1.1064741739523123e-22,2.4945421985232445e-19,2.0679515313825692e-25,2.204250774382802e-14,1.8644247804102722e-21,1.9593363060121546e-18,8.581314820898548e-07,1.3234889800848443e-23,2.1314832461088252e-10,6.781243788463236e-19,2.4063725451287168e-08,2.00823433109836e-15,1.0986710456100888e-13,0.0,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,3.851859888774472e-34,0.0,2.1191888142905596e-07,7.888609052210118e-31,1.5777218104420236e-30,7.888609052210118e-31,3.944304526105059e-31,7.888609052210118e-31,9.4039548065783e-38,2.0756297348316544e-08,3.8908471027635843e-16,6.462348535570529e-27,3.2311742677852644e-27,3.2311742677852644e-27,6.462348535570529e-27,6.462348535570529e-27,0.0,8.864820085229158e-19,2.2978059518104168e-11,4.160926541305542e-11,5.169878828456423e-26,2.5849394142282115e-26,1.0339757656912846e-25,0.0,0.0,9.4039548065783e-38,4.6052542122703855e-15,3.579849583264417e-22,5.729163136371735e-19,9.47965454450743e-10,3.308722450212111e-24,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,6.309858935029018e-15,7.722753904803951e-22,3.4032150670783228e-18,8.581314822252457e-07,7.54648844036911e-08,1.675040740419881e-23,4.235164736271502e-22,1.0587911840678754e-22,0.0,0.0,2.123812752547162e-10,9.02004649096595e-19,2.4063725418462206e-08,2.8518262239232766e-13,4.512946305075253e-14,3.4246281309019084e-06
8,9.88844192308002e-09,1.7893900114891336e-08,1.7926346834299755e-08,3.3841899893355125e-08,2.2470641555541828e-09,6.123190951912274e-08,1.7859073068860614e-08,6.103686664003272e-08,4.1422298796406255e-09,1.9914629302690075e-09,1.766162544010226e-08,3.3777519560309023e-09,3.344331692968475e-08,5.21040887460387e-09,1.0001829916814285e-08,6.730772873186353e-09,2.5777510092217085e-09,6.165695755644338e-08,1.7122731779350982e-08,1.578527874918804e-09,9.201669037940286e-09,3.045315788830041e-08,3.31137996518606e-08,2.0893829092773337e-09,3.2263122323035e-08,5.94011285603624e-08,9.860167103642568e-09,2.0271191270066823e-09,5.848184389943927e-08,9.763563473158481e-09,1.5777218104420236e-30,2.3781442610899546e-23,6.409494854920721e-31,3.1554436208840472e-30,0.0,3.308722450212111e-24,0.0,0.0,5.169878828456423e-26,5.169878828456423e-26,7.888609052210118e-31,1.67632942359465e-30,3.944304526105059e-31,5.423418723394456e-31,7.888609052210118e-31,1.8797076257219422e-30,0.0,2.524354896707238e-29,2.465190328815662e-31,0.0,6.902532920683853e-31,3.944304526105059e-31,1.0842021724855044e-19,3.1554436208840472e-30,8.271806125530277e-25,1.5777218104420236e-30,1.553069907153867e-30,7.589415207398531e-19,3.6423187108251404e-30,8.271806125530277e-25,1.3741002031616627e-07,5.690860239001239e-13,1.4768963187999312e-14,7.182108588367593e-09,8.076772890301102e-16,3.22807924270389e-15,2.1344153047889747e-15,2.0679515313825692e-25,6.153768319684235e-15,3.259099502768862e-15,1.4387111756785043e-14,1.9321126674399303e-05,1.9852334701272664e-23,6.926411484167493e-08,6.895753435243327e-15,7.279807172210101e-13,4.198343702953108e-15,2.076915209832355e-14,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.5777218104420236e-30,8.271806125530277e-25,9.496371816934665e-08,0.0,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.5777218104420236e-30,5.692797830728533e-13,1.2685496172943078e-07,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.5090124392996188e-14,7.182107732445345e-09,8.469866704716472e-08,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,7.888609052210118e-31,5.576789559087457e-16,2.618021595676924e-15,3.2867966194466713e-16,2.6754935324458617e-08,1.3234889800848443e-23,1.075334796318936e-23,1.1580528575742387e-23,1.3234889800848443e-23,1.3234889800848443e-23,4.654791411597446e-15,3.0627700313254085e-15,1.2632246375473324e-14,1.9321126678957885e-05,3.0122230903973054e-08,1.6543612251060553e-24,1.3234889800848443e-23,1.9852334701272664e-23,1.3234889800848443e-23,3.970466940254533e-23,6.902646354956174e-08,6.2985218299592e-15,7.181700302215871e-13,7.445374369266944e-15,1.749702745713767e-14,2.2598449285820754e-07
9,8.822557740102817e-09,1.5729867346451887e-08,1.575028442534614e-08,2.937929535286175e-07,2.501049655196808e-09,5.097048667039999e-08,1.568518013968709e-08,5.0733469640867036e-08,2.6303710522549497e-08,2.0547379308309583e-09,1.5523820597257856e-08,2.2486417632577967e-08,2.8620672271790737e-07,1.1651085107842994e-08,8.909355943041913e-09,2.532919988407762e-09,2.5843876971743398e-08,5.1444980821921175e-08,1.487403412617137e-08,1.585834353635277e-09,8.037059156448534e-09,2.5744845687001007e-07,2.824273399316037e-07,2.2507699081988604e-09,2.7463709741341876e-07,4.946680686655998e-08,8.746159242052098e-09,2.1422700042649063e-09,4.803135685099304e-08,8.638882181119428e-09,7.888609052210118e-31,2.8537731133079455e-23,0.0,7.888609052210118e-31,1.6543612251060553e-24,2.6469779601696886e-23,0.0,0.0,1.0339757656912846e-25,0.0,7.888609052210118e-31,2.3665827156630354e-30,1.9721522630525295e-31,0.0,7.395570986446986e-32,1.4298103907130839e-30,1.6543612251060553e-24,0.0,4.930380657631324e-32,1.5777218104420236e-30,3.944304526105059e-31,2.9582283945787943e-31,5.421010862427522e-19,5.048709793414476e-29,8.271806125530277e-25,0.0,4.733165431326071e-30,1.0842021724855044e-19,1.4791141972893971e-31,1.0339757656912846e-24,1.1464492633153325e-07,5.087942844231171e-12,1.5021231710749597e-14,6.921263177015835e-09,3.236257981698073e-16,1.238824622269896e-15,7.888399823681907e-15,4.1359030627651384e-25,1.6686103201100321e-15,1.1595079461740121e-15,6.122189352982675e-14,1.7504224149282923e-05,1.6543612251060553e-24,6.826175646614629e-08,1.2666249560760084e-14,6.785138576556947e-12,9.817723475167939e-15,1.6807187582178718e-14,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,8.271806125530277e-25,4.1552789712195305e-08,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,3.308722450212111e-24,3.308722450212111e-24,3.944304526105059e-31,5.088023403183588e-12,5.448605260607573e-08,0.0,2.481541837659083e-24,3.308722450212111e-24,2.895132143935597e-24,3.7223127564886245e-24,1.0097419586828951e-28,1.6682904046634452e-14,6.921268745878912e-09,4.558076049181459e-09,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,2.689736011264583e-16,1.0761383553280329e-15,2.540203442684604e-17,1.1072194718394132e-08,3.308722450212111e-24,3.308722450212111e-24,1.3234889800848443e-23,3.308722450212111e-24,6.617444900424222e-24,9.105989763957123e-16,1.1053120439717954e-15,5.215390227783982e-14,1.2682469152687065e-05,7.51774113900566e-08,0.0,0.0,1.9852334701272664e-23,1.3234889800848443e-23,1.3234889800848443e-23,6.802725687126842e-08,1.0146527063110315e-14,6.723875664458859e-12,2.6524975795999446e-15,2.861860398129379e-14,1.5113662802732328e-07
