,Y5Z3,Y3Z5,Y3Z2,Y2Z3,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y0Z2,Y2Z0,Y4Z0,Y0Z4,Y5Z1,Y1Z5,Y3Z1,Y1Z3,Y1Z0,Y0Z1,Y4Z3,Y3Z4,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y5Z0,Y0Z5,Y2Z4,Y4Z2,Y2Z1,Y1Z2,X3Y2,standard_y,X4Y1,Y5,Y2,Y0,X5Y1,X5Y0,X2Y4,X4Y2,X0Y4,Y3,Y1,X5Y4,X5Y2,X4Y5,X4Y3,X3Y5,X3Y4,X3Y1,X3Y0,X2Y5,X2Y3,Y4,X1Y5,X0Y2,X2Y1,X1Y4,X1Y3,X1Y2,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.7950712434655829,0.7950712434655829,0.7434707928397064,0.7434707928397064,0.7369676243821023,0.7369676243821022,0.6249375571804716,0.6249375571804716,0.48802820785090784,0.4880282078509078,0.33873348699206973,0.33873348699206973,0.3110382248120008,0.3110382248120007,0.28385029589876865,0.28385029589876865,0.2718754143840908,0.27187541438409074,0.13501116090704035,0.13501116090704035,0.11770636555802805,0.11770636555802799,0.08187934237116662,0.08187934237116656,0.07233360770535402,0.07233360770535402,0.03575571551269231,0.0357557155126923,0.011036367079899995,0.011036367079899967,8.326672684688674e-17,7.632783294297951e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.734723475976807e-17,1.5612511283791264e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.006322716804845295,0.006343337009832297,0.005931651829580505,0.12058453767863948,0.00586065415093753,0.6023996256179489,0.004969747336780617,0.11609285882286528,0.4880282078509076,0.48802820785090767,0.3387334869920696,0.3387334869920696,0.0024734973464717144,0.028119642295626267,0.0022646499946069936,0.02616697356923333,0.27187541438409074,0.27187541438409074,0.59953743271149,0.0010771629596224045,0.11770636555802802,0.11770636555802802,0.0006532600280445614,0.009783163307845582,0.0005752250766865102,0.00927697299766876,0.03575571551269227,0.0357557155126923,0.01103636707989994,0.011036367079899965,6.505213034913027e-19,1.3162214373974024e-16,4.163336342344337e-17,4.336808689942018e-19,0.0,5.551115123125783e-17,3.2526065174565133e-19,0.0,4.163336342344337e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.168404344971009e-19,5.551115123125783e-17,1.0842021724855044e-19,3.2526065174565133e-19,4.336808689942018e-19,0.0,3.469446951953614e-18,3.7947076036992655e-19,3.2526065174565133e-19,0.0,0.0,0.0,2.0816681711721685e-17,8.131516293641283e-20,1.734723475976807e-18,0.0,1.3877787807814457e-17,1.8973538018496328e-19,0.0,1.641549851778834e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.485385366418849e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.174668401461737e-07,9.323877541318062e-05,0.00010495119479781174,0.15608797009232517,4.796504854291667e-07,0.0027773755647209006,4.067364599847325e-07,0.151755540807893,0.48802820785090784,0.48802820785090795,0.0015617486411234572,0.34798279277692246,2.0243716356358206e-07,0.08921184355015646,4.006939880516738e-05,0.09076426613866256,0.2718754143840908,0.27187541438409085,0.0027643067728172596,9.281057962314936e-05,0.08968740393074973,0.0005426914182421383,1.1558402688948359e-05,0.34631209878562186,4.7077848335339905e-08,0.34690832804363164,0.15149345631932573,0.0001648536157739003,0.011036367079899953,0.011036367079899956,6.776263578034403e-21,1.3982846363053592e-17,0.0,2.6469779601696886e-23,1.3877787807814457e-17,0.0,1.3234889800848443e-23,0.0,1.6263032587282567e-19,1.0842021724855044e-19,5.421010862427522e-20,3.3881317890172014e-21,2.7755575615628914e-17,1.6940658945086007e-21,0.0,1.6940658945086007e-21,0.0,0.0,1.9852334701272664e-23,3.3881317890172014e-21,3.3881317890172014e-21,1.3234889800848443e-23,3.3881317890172014e-21,1.0842021724855044e-19,6.617444900424222e-24,4.336808689942018e-18,2.7755575615628914e-17,2.168404344971009e-19,1.6940658945086007e-21,1.3877787807814457e-17,6.816127066114558e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.769194343308243e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
3,4.3525793401612525e-09,1.273961504630391e-05,1.276582334765442e-05,0.000298175577446231,4.0344938678342905e-09,0.00017097715782956664,3.0264917377066524e-09,0.00028989936451371287,0.0009353207705736345,0.000932280335233697,8.602683083451836e-05,0.0006669197017604475,1.7027638245549158e-09,0.08921309670039813,5.474866246228203e-06,0.09076551057002408,0.2608749432852767,0.0005210574265810462,0.00017017263638488707,1.2681299253726416e-05,0.08968710807136673,3.3408458564564165e-05,1.2714045728152405e-05,0.0006637244547737786,3.0140762996744346e-09,0.0006648671651102969,0.00028940033519895425,8.568111801903988e-05,2.108277315837967e-05,0.25995476766200654,0.0,2.7640379548392635e-17,1.0164395367051604e-20,4.1359030627651384e-25,5.421010862427522e-20,5.421010862427522e-20,1.0339757656912846e-25,2.0194839173657902e-28,6.617444900424222e-24,2.6469779601696886e-23,6.617444900424222e-24,0.0,2.7755575615628914e-17,0.0,2.0194839173657902e-28,4.235164736271502e-22,2.0679515313825692e-25,1.6940658945086007e-21,1.550963648536927e-25,2.117582368135751e-22,8.271806125530277e-25,4.0389678347315804e-28,8.271806125530277e-25,6.776263578034403e-21,2.0679515313825692e-25,0.0,5.421010862427522e-20,6.776263578034403e-21,4.235164736271502e-22,2.710505431213761e-20,4.873593072797585e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821848857666407e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1691707150683498e-13,2.468427324846209e-07,3.5436910346770893e-07,1.086275772388835e-07,1.0827492598394087e-13,2.3813129947935064e-07,1.268811828438392e-13,1.0563855154341433e-07,1.0242816265498412e-11,3.326859137971246e-07,7.319477855671905e-08,7.294947099653296e-12,1.2658027513071085e-13,2.671462907029883e-06,3.5324530835141564e-07,2.7178978826763486e-06,7.816391230715126e-06,5.696768899013072e-12,2.370130158511344e-07,2.4571525744104816e-07,2.6856555549460366e-06,7.265620419662725e-08,3.5370511537861687e-07,7.2599899813514135e-12,1.2669530846486492e-13,7.272494772716598e-12,1.0545666545394962e-07,7.286545482842571e-08,3.31554618328496e-07,7.78883789668796e-06,0.0,3.6396026469512464e-22,1.0097419586828951e-28,1.262177448353619e-29,5.293955920339377e-23,8.077935669463161e-28,2.407412430484045e-34,0.0,1.262177448353619e-29,0.0,1.925929944387236e-34,2.6469779601696886e-23,4.235164736271502e-22,0.0,0.0,2.6469779601696886e-23,1.262177448353619e-29,9.926167350636332e-24,6.310887241768095e-30,0.0,0.0,0.0,3.1554436208840472e-30,1.9852334701272664e-23,9.62964972193618e-35,0.0,2.0194839173657902e-28,0.0,4.0389678347315804e-28,0.0,3.396948653852029e-24,2.1294051473257763e-07,5.755198151224825e-08,1.4614910022519509e-08,1.2219800546870832e-14,1.0475124045057374e-20,1.998006231646495e-15,1.5493227294387307e-14,1.5069412795605164e-19,2.277507835006352e-13,9.923973109699014e-14,6.171658376496118e-13,4.389415335621206e-25,7.292200810870098e-20,4.2022143678962437e-19,3.2826130594026356e-07,2.0554063423793966e-08,0.0,0.0,0.0,0.0,0.0,9.926167350636332e-24,2.865174652406488e-14,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,5.755198151225219e-08,1.574071207624368e-08,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.4614910022530875e-08,3.1415026814833027e-14,5.0204664674730475e-08,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,8.470329472543003e-22,2.1006628204929602e-20,1.8141114147469188e-14,2.7823698281886786e-14,1.7743388285834312e-08,1.3234889800848443e-23,0.0,1.9852334701272664e-23,1.3234889800848443e-23,6.617444900424222e-24,3.422798047994311e-24,7.365739864295136e-19,6.215463759538524e-13,1.112363612677655e-12,7.261291452118137e-13,2.2966196196922425e-07,0.0,0.0,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,3.851859888774472e-34,6.5643318414650745e-25,5.750203236233839e-19,1.1570294807032822e-18,3.282613059405092e-07,2.055406343771911e-08,9.115757406687904e-13
5,1.8310608400691158e-16,7.155042942291017e-09,1.0319360431943727e-08,7.1932684477185406e-09,1.6909981908166706e-16,1.3122804972008772e-08,1.9854615000737422e-16,5.541723609740736e-09,3.3498387398439927e-15,2.0203965587342485e-08,3.991960061834654e-09,2.1985549898766065e-15,1.9710020446321605e-16,5.7949963705363945e-09,1.0219875658529154e-08,7.290647402142918e-09,2.6377961763405018e-08,9.282677247325722e-16,1.257604573216465e-08,6.827883847420922e-09,6.998185846793459e-09,3.904395351775902e-09,1.0259457593854389e-08,2.131937451038104e-15,1.9761185497248757e-16,2.099619029484626e-15,6.424316337013784e-09,3.9383205010021945e-09,1.9998587242194774e-08,2.6103528871706092e-08,0.0,1.355854680848614e-31,3.697785493223493e-32,3.697785493223493e-32,1.6543612251060553e-24,9.860761315262648e-32,2.0203809154758067e-39,1.7516230804060213e-46,1.232595164407831e-32,2.465190328815662e-32,4.040761830951613e-39,0.0,1.6543612251060553e-24,0.0,3.6734198463196485e-40,0.0,3.697785493223493e-32,3.101927297073854e-25,6.162975822039155e-33,3.0814879110195774e-32,5.877471754111438e-39,3.6734198463196485e-40,1.232595164407831e-32,0.0,2.938735877055719e-39,0.0,4.622231866529366e-33,1.8488927466117464e-32,0.0,4.930380657631324e-32,2.1002632740604218e-26,1.1419145842461357e-07,3.346358102764773e-09,1.5787893299167962e-09,3.882967614903786e-17,2.065079731391262e-24,1.6215048159328357e-17,5.624239848170313e-17,9.005231550771234e-23,4.1041438350199524e-15,4.905081350840049e-16,9.70107248899928e-15,7.501085191702035e-30,1.1294867479016503e-22,2.0777385857295027e-22,1.274409145146087e-07,2.4974914001899904e-09,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,3.101927297073854e-25,9.347731548546985e-17,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,0.0,0.0,3.3463581027647733e-09,1.7313003685283599e-09,0.0,0.0,2.0679515313825692e-25,0.0,0.0,1.578789329916797e-09,1.0210273212986694e-16,2.9824716436084404e-09,0.0,0.0,0.0,2.0679515313825692e-25,2.0679515313825692e-25,6.617444900424222e-24,4.190614317061517e-24,1.236353315711871e-16,1.0152138434444596e-16,2.264814520868485e-09,9.926167350636332e-24,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,3.308722450212111e-24,2.7464981276174747e-26,8.878181134917437e-24,3.58833528835807e-15,9.91149786615731e-16,5.807354766638436e-15,1.1520509387589696e-07,7.888609052210118e-31,0.0,0.0,7.888609052210118e-31,0.0,1.7516230804060213e-46,0.0,3.9611369765931534e-30,1.5320205828746148e-22,9.94527648009388e-23,1.2744091451460885e-07,2.4974914001853673e-09,7.701027705035119e-15
6,1.4560089530143827e-16,1.8093607456873803e-08,2.55334492743058e-08,6.263564541042243e-10,1.3485627884629183e-16,4.084808655067405e-09,1.5692494328322402e-16,3.775596582571253e-10,1.6776045804673625e-16,1.6096528758522843e-09,1.2559032923176998e-09,7.746504882296247e-17,1.5519552423568446e-16,2.7048862550222778e-09,2.5165299828207018e-08,1.5677440375039788e-09,4.734707983920451e-09,7.341846746017359e-17,3.771537962847576e-09,1.6571630729133166e-08,1.9901877879276375e-09,1.208784590720778e-09,2.519625550202305e-08,7.055639334651921e-17,1.5513240347591529e-16,7.013597004137282e-17,5.187291805039112e-10,1.2173952476766673e-09,1.5825172354237506e-09,4.557175183029942e-09,3.0814879110195774e-33,1.033975753365333e-24,1.5407439555097887e-33,1.232595164407831e-32,0.0,0.0,3.6734198463196485e-40,0.0,3.851859888774472e-34,0.0,2.2958874039497803e-41,1.6543612251060553e-24,2.0679515313825692e-25,1.6543612251060553e-24,2.2958874039497803e-41,1.6543612251060553e-24,0.0,0.0,6.162975822039155e-33,3.697785493223493e-32,3.6734198463196485e-40,0.0,0.0,4.1359030627651384e-25,0.0,0.0,7.703719777548943e-34,1.5407439555097887e-32,6.162975822039155e-33,1.925929944387236e-34,3.110005232743317e-26,1.6031680982305268e-10,3.9480249799906e-09,2.322610709971307e-10,1.3969465482209982e-17,6.083392573725358e-26,8.488122573600708e-20,5.020480695445032e-18,1.112504307769419e-22,3.947318238776555e-16,8.762775341025823e-15,3.734428330982119e-17,3.733855073243044e-31,1.6092223110364868e-24,2.840903311059046e-23,1.1985780121923123e-08,9.619768152639894e-11,0.0,1.5407439555097887e-33,3.0814879110195774e-33,3.0814879110195774e-33,3.0814879110195774e-33,2.0679515313825692e-25,3.472812975906969e-17,1.2924697071141057e-26,3.877409121342317e-26,5.169878828456423e-26,2.5849394142282115e-26,2.5849394142282115e-26,1.8367099231598242e-40,3.9480249799906e-09,2.5047740496196165e-10,4.1359030627651384e-25,0.0,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.3226107099713169e-10,3.73041483065743e-17,3.5214473530890415e-09,3.2311742677852644e-27,3.2311742677852644e-27,6.462348535570529e-27,0.0,0.0,0.0,1.228426810995595e-25,1.3786664783572336e-18,9.302593005183918e-18,7.768905728211686e-11,4.963083675318166e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.618915179919496e-25,2.0679515313825692e-25,3.110005232743317e-26,2.1009360355892006e-23,3.099361820401041e-16,6.096641340880027e-15,4.1482636632745824e-17,3.5089755996176075e-09,6.162975822039155e-33,0.0,6.162975822039155e-33,7.703719777548943e-34,0.0,0.0,3.6734198463196485e-40,1.5950676205933718e-31,6.947033927367618e-25,5.870994407881676e-24,1.0029705244366993e-08,9.619768152620884e-11,1.808865120420994e-16
7,8.723509190358018e-18,3.6127586386461287e-09,3.548484238184842e-09,2.0967864221317817e-09,6.339735830983004e-17,4.054442363848084e-09,1.738313951222851e-18,9.428070143248196e-10,4.716109758775322e-16,4.981859980525902e-09,1.2307330969938212e-09,1.7843688408547736e-16,3.3359683401037784e-18,3.59898814597012e-09,3.6377388229836657e-09,2.334481071188191e-09,4.34955942629336e-09,2.06141791516259e-16,3.585172526057252e-09,4.7389684609442515e-09,2.8755965880412117e-09,1.1756906357961083e-09,3.5582641698164025e-09,1.4831901440352604e-16,2.4605985246049042e-18,1.443102977479393e-16,1.5845935379117117e-09,1.1821620805157266e-09,4.8810110728317774e-09,4.2237264165685575e-09,1.232595164407831e-32,1.0339757658838776e-24,1.5407439555097887e-33,1.925929944387236e-34,8.271806125530277e-25,0.0,5.510129769479473e-40,0.0,1.5407439555097887e-33,3.0814879110195774e-33,1.8367099231598242e-40,0.0,2.0679515313825692e-25,4.1359030627651384e-25,4.591774807899561e-41,4.1359030627651384e-25,7.703719777548943e-34,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,4.591774807899561e-41,6.162975822039155e-33,0.0,3.6734198463196485e-40,3.308722450212111e-24,4.622231866529366e-33,0.0,2.465190328815662e-32,1.829633447167874e-33,2.261821987449685e-26,2.839439569271985e-09,1.949191061247688e-09,4.5932459833373894e-10,9.460420710528829e-20,7.092274357601042e-26,1.4532737727019854e-18,2.0420354838742675e-18,5.019731487830307e-23,3.7450452900948105e-16,5.064133704580899e-15,1.0815182246843452e-16,4.988922605549537e-31,4.830817591488936e-24,5.320192136472229e-23,1.315136741202044e-08,6.119065435580132e-10,7.703719777548943e-34,0.0,3.0814879110195774e-33,1.5407439555097887e-33,1.5407439555097887e-33,0.0,2.1859805117810648e-17,5.169878828456423e-26,2.5849394142282115e-26,0.0,5.169878828456423e-26,5.169878828456423e-26,1.8367099231598242e-40,1.949191061247688e-09,5.202039141467031e-10,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,0.0,0.0,4.593245983337393e-10,2.7467268090162967e-17,1.8368037627823338e-09,2.5849394142282115e-26,5.169878828456423e-26,2.5849394142282115e-26,5.169878828456423e-26,5.169878828456423e-26,0.0,2.823360967697342e-25,9.390769704354352e-18,2.281317299164322e-17,5.84177140144354e-10,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.101927297073854e-25,1.4475660719677984e-24,3.2311742677852644e-26,8.231056989438856e-24,3.020061422294263e-16,3.4681530519665194e-15,1.230240531601747e-16,3.5718628534069578e-09,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,1.4693679385278594e-39,2.0362160438919386e-31,2.6709138945486347e-24,1.7778586866935328e-23,1.1204320249068574e-08,6.119065435566928e-10,5.975035012931076e-16
8,9.607561854013738e-18,3.5299069420418237e-09,3.411169972287971e-09,2.177086180884999e-09,5.973252560535731e-17,3.976560231096741e-09,1.3527903084463055e-19,7.435698268782325e-10,4.1488095101632557e-16,4.891231605524071e-09,1.1874031338455163e-09,1.138112470654539e-16,1.1275404301426589e-18,4.392507049568627e-09,3.4075983191491948e-09,3.1131440634152436e-09,3.985409232453262e-09,1.8055947572017298e-16,3.3836932005506696e-09,4.9193734915884574e-09,3.741553460226762e-09,1.1158721068807324e-09,3.299554022501612e-09,7.596976456148102e-17,8.985516273563691e-20,7.087990115974886e-17,1.5522222366996957e-09,1.120283248099226e-09,4.7591852966513174e-09,3.897589081676692e-09,0.0,4.135903038691014e-25,0.0,2.4074124304840448e-33,0.0,0.0,1.8367099231598242e-40,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,2.0679515313825692e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.591774807899561e-41,4.1359030627651384e-25,0.0,2.5849394142282115e-26,6.162975822039155e-33,0.0,1.4693679385278594e-39,0.0,0.0,2.0679515313825692e-25,7.346839692639297e-40,1.6543612251060553e-24,6.162975822039155e-33,1.232595164407831e-32,1.9721522630525295e-31,6.933347799794049e-33,7.754818242684634e-26,3.566006896132533e-09,2.00337919678444e-09,6.69282841451252e-10,2.586033569980842e-18,1.6678673499299896e-25,2.682619510915788e-18,9.68305323212023e-18,4.617325134430481e-23,3.4650190963779645e-16,4.8651540782667454e-15,1.0011943939123046e-16,4.12331996405386e-31,4.493903100180915e-24,4.737000161435271e-23,1.4136092580298703e-08,9.126385496868778e-10,1.5407439555097887e-33,1.925929944387236e-34,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,1.2924697071141057e-25,2.5273568701650962e-17,5.169878828456423e-26,0.0,0.0,0.0,0.0,1.8367099231598242e-40,2.00337919678444e-09,7.77507743160895e-10,1.0339757656912846e-25,5.169878828456423e-26,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,6.692828414512522e-10,3.339933179336713e-17,1.936795719357496e-09,7.754818242684634e-26,0.0,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,3.308722450212111e-24,3.5301032259599494e-25,1.4212214929927855e-17,2.7726698333901966e-17,9.36937634571655e-10,1.6543612251060553e-24,8.271806125530277e-25,2.481541837659083e-24,3.101927297073854e-25,6.203854594147708e-25,7.108583389127582e-26,7.592103398724195e-24,2.8565544345491704e-16,3.280068968260848e-15,1.1445605389533363e-16,3.788357833578148e-09,0.0,2.465190328815662e-32,2.465190328815662e-32,7.703719777548943e-33,9.860761315262648e-32,2.1895288505075267e-47,0.0,1.3983195157872788e-31,3.0726731156189435e-24,1.4185430142400126e-23,1.222696425504524e-08,9.126385496848483e-10,6.210942379348059e-16
9,1.017311246868075e-17,3.4575112531427635e-09,3.2646937257944956e-09,2.2199697000364655e-09,5.605825113086461e-17,3.880372889916146e-09,1.2635356802103882e-18,5.655340099191919e-10,3.574225624023936e-16,4.769444512102781e-09,1.1311805571990393e-09,4.958817453448395e-17,8.298447207422178e-19,5.127927475641871e-09,3.174384596464833e-09,3.897631132878912e-09,3.62922542512732e-09,1.543901817040276e-16,3.1771346679730076e-09,5.031195258995591e-09,4.6244355286070725e-09,1.0453336558529692e-09,3.0398919650116338e-09,4.741819472068086e-18,1.986233787018546e-18,2.1021515705342263e-19,1.5038558827005576e-09,1.0478638306219931e-09,4.608186706937473e-09,3.5887802651988434e-09,0.0,4.135903066616998e-25,3.0814879110195774e-33,3.851859888774472e-34,4.1359030627651384e-25,0.0,7.346839692639297e-40,0.0,7.703719777548943e-34,0.0,1.8367099231598242e-40,0.0,2.0679515313825692e-25,4.1359030627651384e-25,4.591774807899561e-41,4.1359030627651384e-25,1.1555579666323415e-33,5.169878828456423e-26,0.0,4.930380657631324e-32,0.0,4.591774807899561e-41,0.0,2.0679515313825692e-25,7.346839692639297e-40,0.0,3.0814879110195774e-33,1.232595164407831e-32,0.0,4.622231866529366e-33,7.916376956073898e-26,4.2693486662339435e-09,2.0279188869320198e-09,8.628465099101909e-10,5.169584017228906e-18,2.5609206303526227e-25,3.8752559229055555e-18,1.7083992806176775e-17,4.1193395316167626e-23,3.1434300769077457e-16,4.60330150623105e-15,8.895980916918352e-17,3.148732899341765e-31,4.0888608440940774e-24,4.021259462831607e-23,1.5210050073145485e-08,1.203371433880414e-09,2.311115933264683e-33,0.0,3.0814879110195774e-33,0.0,0.0,1.0339757656912846e-25,2.811718521018496e-17,1.0339757656912846e-25,5.169878828456423e-26,0.0,2.0679515313825692e-25,2.0679515313825692e-25,9.183549615799121e-41,2.0279188869320198e-09,1.0230184955454564e-09,2.0679515313825692e-25,5.169878828456423e-26,0.0,4.1359030627651384e-25,4.1359030627651384e-25,8.62846509910191e-10,3.8533608044487276e-17,2.030308921599249e-09,7.754818242684634e-26,5.169878828456423e-26,0.0,0.0,0.0,0.0,4.109023919437917e-25,1.8706935340486767e-17,3.2223487576452655e-17,1.2965047261639435e-09,3.308722450212111e-24,1.6543612251060553e-24,0.0,3.618915179919496e-25,8.271806125530277e-25,7.916376956073898e-26,6.862416085375165e-24,2.64415845661813e-16,3.0309365242247786e-15,1.0294970229489554e-16,3.980134976777791e-09,2.465190328815662e-32,2.465190328815662e-32,0.0,8.474091755303838e-33,0.0,2.1895288505075267e-47,0.0,6.686689099877279e-32,3.3999632125454015e-24,9.605016092688822e-24,1.3361713561687235e-08,1.2033714338776975e-09,6.387711842320288e-16
