,Y4Z1,Y1Z4,Y4Z0,Y0Z4,Y2Z5,Y5Z2,Y1Z3,Y3Z1,Y5Z3,Y3Z5,Y3Z2,Y2Z3,Y2Z0,Y0Z2,Y5Z4,Y4Z5,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y4Z3,Y3Z4,Y0Z1,Y1Z0,Y5Z0,Y0Z5,Y0Z3,Y3Z0,X5Y3,X3Y5,Y1,X5Y1,Y5,Y4,Y3,Y2,X4Y5,X4Y3,X3Y4,X2Y5,X0Y5,X0Y3,X0Y2,standard_y,X2Y1,X1Y0,X1Y3,X0Y1,X5Y2,X5Y0,X4Y2,X4Y0,X3Y2,X3Y1,X3Y0,X1Y4,X1Y2,X4Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9079002465766735,0.9079002465766732,0.905177890848603,0.905177890848603,0.8462927828514535,0.8462927828514534,0.7712369847794612,0.7712369847794611,0.6840676783473105,0.6840676783473105,0.6812220765393857,0.6812220765393857,0.6150526018449698,0.6150526018449698,0.6012953785904576,0.6012953785904576,0.5822182612306355,0.5822182612306354,0.5363810274705547,0.5363810274705547,0.4612211419445094,0.4612211419445093,0.22458305043747512,0.22458305043747512,0.1995887063541001,0.19958870635409998,0.1920767294058299,0.1920767294058299,0.10711032391244867,0.1071103239124486,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,3.8163916471489756e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005120385962900712,0.0005137085019876766,0.0005105032390623808,0.7062380168108355,0.8462927828514535,0.8462927828514535,0.000436381637324614,0.5473840194429229,0.6840676783473103,0.6840676783473104,0.6812220765393857,0.6812220765393857,0.6150526018449697,0.6150526018449697,0.020969819757398117,0.00033911923999368956,0.01712239817546684,0.00032943098312221994,0.00030250877166102257,0.07665924482014574,0.07341619295521812,0.0002609683418489414,0.00012666059991738921,0.5441467610233308,0.7026465898039469,0.00011293136634935827,0.19207672940582987,0.19207672940582987,0.10711032391244868,0.10711032391244862,5.551115123125783e-17,0.0,2.0328790734103208e-20,6.776263578034403e-21,6.938893903907228e-18,1.0842021724855044e-19,0.0,1.1102230246251565e-16,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,2.0816681711721685e-17,1.0421215756659108e-16,1.6940658945086007e-20,1.0164395367051604e-20,1.6940658945086007e-21,5.082197683525802e-21,5.551115123125783e-17,5.551115123125783e-17,0.0,2.0328790734103208e-20,5.551115123125783e-17,6.776263578034403e-21,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.743384504624082e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.5085706614821337e-05,2.5167518346804178e-05,2.501048665827539e-05,0.7062379850416897,5.536354664134312e-05,5.518357706400829e-05,2.1379133927277566e-05,0.5473839836953509,4.460548667080153e-05,0.0050600432059935575,0.0006219102421603477,4.4564801888687304e-05,4.0236067350583036e-05,0.42360025423158365,1.3673572243503295e-06,1.8417904562110675e-06,1.1164935823682184e-06,3.3956710072234315e-06,1.7396065656176823e-06,5.014959004296278e-06,4.802812492394615e-06,3.301645654630614e-06,6.2053342701238495e-06,0.5441468837834849,0.7026467338838855,5.532714026592693e-06,1.252460284921249e-05,0.4209765274525029,0.10711032391244868,0.10711032391244871,0.0,0.0,4.235164736271502e-22,5.169878828456423e-26,4.235164736271502e-22,1.6940658945086007e-21,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,5.082197683525802e-21,0.0,1.0587911840678754e-21,5.551115123125783e-17,4.235164736271502e-22,8.470329472543003e-22,6.462348535570529e-26,2.4732700315335527e-22,6.352747104407253e-22,1.0381116687540497e-22,0.0,0.0,1.0339757656912846e-25,0.0,1.6940658945086007e-21,6.352747104407253e-22,5.551115123125783e-17,2.7755575615628914e-17,5.169878828456423e-26,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,6.776263578034403e-21,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.80357247576362e-12,2.3690189981836057e-08,4.789168874603799e-12,0.00011182288310262422,5.28610608576584e-06,5.268922607905124e-06,2.5771188565907007e-08,0.6537990736735964,4.258927558896556e-06,0.0050600417662874965,0.0006219116878802638,4.255042979830023e-06,3.364464549475452e-06,6.707116110176028e-05,1.061405393464671e-06,3.526778785611387e-13,1.081483136011335e-06,4.093265771955736e-09,3.3311106257560896e-13,3.350419693885028e-06,3.3582277338085243e-06,3.979924252860794e-09,1.1882373241687197e-12,0.6509090244758187,0.00011125425889994861,2.3569890743765116e-08,1.0657171315325896e-06,6.665573102236988e-05,1.6959418050184942e-05,0.6494883497887243,0.0,1.0587911840678754e-22,1.6543612251060553e-24,0.0,1.0587911840678754e-22,8.077935669463161e-28,5.551115123125783e-17,4.235164736271502e-22,1.5407439555097887e-33,4.0389678347315804e-28,4.0389678347315804e-28,0.0,8.077935669463161e-27,0.0,0.0,5.5497279413193106e-17,6.310887241768095e-30,5.640355472330234e-29,2.0679515313825692e-25,4.733165431326071e-30,0.0,0.0,1.5407439555097887e-33,1.6543612251060553e-24,2.117582368135751e-22,0.0,6.776263578034403e-21,6.776263578034403e-21,4.733165431326071e-30,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466330862652142e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0
4,6.228572541194652e-13,3.790576905097259e-11,8.24207110418498e-13,5.003566055739268e-06,5.98128001307454e-07,5.961836742164751e-07,4.123549562712054e-11,0.00023560562557729158,3.599286963278341e-07,1.8234566983541835e-06,2.2411456511698285e-07,1.0271074722656409e-07,9.608977466955287e-08,2.6081386153450546e-06,3.5867475197403934e-07,6.069521095705292e-14,3.5796435563277425e-07,6.54947839895873e-12,5.732779811560051e-14,9.923388184664059e-08,9.991039002705086e-08,6.368124959420637e-12,6.195051452080552e-13,0.00023456415599713224,4.983591269803856e-06,3.771328357322193e-11,3.5663053263124083e-07,2.591984142873472e-06,4.971671532821664e-06,0.00023405219801460656,0.0,0.0,1.6155871338926322e-27,3.0814879110195774e-33,2.6469779601696886e-23,0.0,0.0,0.0,1.2037062152420224e-35,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,3.970483096125872e-22,1.5407439555097887e-33,4.742602488053568e-33,3.308722450212111e-24,1.4143548029093763e-33,0.0,0.0,3.611118645726067e-35,0.0,0.0,0.0,1.0339757656912846e-25,5.169878828456423e-26,2.8888949165808538e-34,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0
5,8.918534916818437e-14,1.4710968864540564e-11,1.1830933895185783e-13,1.9088580339165e-06,1.8873350189365038e-07,1.8745440511427014e-07,1.4714948074272612e-11,4.978600766002727e-07,1.1277750918552795e-07,2.76276787463645e-09,3.523437535764783e-10,3.2561675327385695e-08,2.9637495637188527e-08,9.906219650180598e-07,1.1177690611261595e-07,8.639658973616572e-15,1.1155283394091342e-07,1.1947534485502605e-12,8.163354353486892e-15,3.061201758701309e-08,3.0822373216971155e-08,1.161848724779352e-12,8.823189543140873e-14,5.337742909195042e-07,1.9012446475687373e-06,1.4650638351767108e-11,1.1114039441747837e-07,9.845007006488188e-07,1.8921470520376206e-06,5.316592938229282e-07,6.310887241768095e-30,1.262177448353619e-29,0.0,9.62964972193618e-35,1.9852334701272664e-23,1.262177448353619e-29,0.0,6.617444900424222e-24,1.88079096131566e-37,6.162975822039155e-33,3.0814879110195774e-33,0.0,2.524354896707238e-29,0.0,2.524354896707238e-29,7.940935142686514e-23,2.8888949165808538e-34,3.573502826499754e-35,4.963083675318166e-24,3.3666158207550314e-34,2.7755575615628914e-17,2.524354896707238e-29,7.52316384526264e-37,0.0,9.466330862652142e-30,1.6543612251060553e-24,0.0,0.0,0.0,5.048709793414476e-29,2.8146745215818437e-07,3.2669554073371505e-21,3.635924163979341e-14,9.053052265664982e-18,0.013673590263216837,5.338642856145902e-21,2.2562394150242165e-14,8.810709744000677e-19,1.0535051630808026e-13,2.0184594426964223e-09,6.116623751777719e-19,1.1316965856392971e-13,3.2600953229657864e-09,3.053722627036886e-13,8.08959542718273e-14,7.733656607677869e-18,1.0587911840678754e-22,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,2.1797776059788558e-08,2.9582283945787943e-31,1.5777218104420236e-30,6.902532920683853e-31,0.0,0.0,6.847853887968731e-21,1.7049334224545994e-14,8.788794008375919e-25,3.308722450212111e-24,2.1325750167382745e-25,0.0,0.0,3.6693045317679014e-14,9.047723213966039e-18,4.497821869240702e-08,1.2407709188295415e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.009265538105056e-36,6.310887241768095e-30,0.0,0.013673590263217947,8.165715529923064e-21,2.6219460700495865e-14,1.66362296950944e-08,1.262177448353619e-29,3.0292258760486853e-28,0.0,6.310887241768094e-29,1.0097419586828951e-28,3.851859888774472e-34,9.478848953519672e-19,1.0535051630837803e-13,2.018459442676728e-09,8.00243088507379e-19,2.2108322308978538e-12,0.0,0.0,2.6469779601696886e-23,0.0,0.0,6.617444900424222e-24,1.1691383198279008e-13,3.2600953229773375e-09,3.206489060045977e-13,1.0398841766249409e-13,9.493983216204115e-18,1.9805299982932925e-07
6,2.759984916228245e-11,1.8079461630447875e-11,3.404721824052535e-11,3.1636389230374257e-05,1.363653050303663e-05,1.740526770804394e-05,1.6676250996445232e-11,1.5164176383081071e-05,1.753379650335814e-05,1.527187597586802e-05,1.437182645908215e-05,1.2746415613612644e-05,1.3481527037082618e-05,3.147551806278571e-05,1.744344011332178e-05,3.3246453384199464e-11,1.7426010108002934e-05,1.757765837486592e-11,3.220767708299441e-11,1.29016930937478e-05,1.3294746735064207e-05,1.774659093829452e-11,2.7217212174214904e-11,1.4985753968077784e-05,3.13368518590179e-05,1.8091654121034157e-11,1.744476770994199e-05,3.0711656158147176e-05,3.108790236560759e-05,1.5300660581525545e-05,0.0,2.5849394142282115e-26,2.4233807008389483e-27,2.465190328815662e-32,0.0,0.0,0.0,8.470329472543003e-22,4.930380657631324e-32,6.162975822039155e-32,0.0,2.168404344971009e-19,0.0,1.2924697071141057e-26,3.877409121342317e-26,8.470353706350012e-22,0.0,1.5937070289804377e-32,9.926167350636332e-24,1.1988913903810543e-32,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,7.754818242684634e-26,6.162975822039155e-33,5.169878828456423e-26,1.3110088297664212e-05,5.123928277950371e-17,8.431753731549673e-11,2.214866387883835e-15,2.6991502548004695e-05,2.9999160884123583e-16,8.841315853583662e-11,8.079762874981431e-17,1.470760435709914e-09,8.74505770231914e-08,7.375980441132722e-17,1.3940245150719073e-09,1.1563687561500033e-07,6.436179493791787e-10,4.765544649977603e-10,5.134373718346468e-16,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,1.232595164407831e-32,5.432659307076885e-06,8.077935669463161e-28,0.0,4.0389678347315804e-28,0.0,2.0194839173657902e-27,5.202834197179627e-16,1.3102920536973517e-11,4.235164736271502e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,8.687444516051934e-11,2.0277826815064635e-15,7.295082445032561e-06,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,0.0,2.465190328815662e-32,0.0,2.5849394142282115e-26,2.6991489042416175e-05,4.56735360685253e-17,7.060260419537497e-11,5.137742442028808e-06,0.0,1.0097419586828951e-28,1.0097419586828951e-28,0.0,2.0194839173657902e-28,7.395570986446986e-32,8.965036149756066e-17,1.470760435710297e-09,8.74505770854318e-08,5.958511092446929e-17,2.817205570320575e-12,4.235164736271502e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,0.0,1.3940811671357695e-09,1.1563687561633502e-07,4.276422493471968e-10,4.1493074266451297e-10,8.950585961542954e-16,5.520104907709681e-06
7,4.266333897730174e-17,4.265243557523486e-14,5.326672806408793e-17,9.991111815474287e-08,1.8978343736841335e-07,2.3531195666816882e-07,4.240574536092746e-14,2.5249607078019058e-08,2.3671720932293338e-07,7.524047198225002e-08,7.707469152858872e-08,1.6884971886247445e-07,1.8449943424005708e-07,1.006582031003913e-07,2.3514917709179652e-07,4.66268038927167e-17,2.3378534073434322e-07,3.97179797583929e-14,4.3933710290596035e-17,1.7020762870534364e-07,1.8173378437346147e-07,4.1421742343051794e-14,4.058928973780041e-17,1.0821895342262602e-07,9.988790812044286e-08,4.201573276306843e-14,2.3448323843967073e-07,9.688691886312142e-08,9.860157881077986e-08,1.103678568428035e-07,3.1554436208840472e-30,3.1554436208840472e-30,6.310887241768095e-30,2.256949153578792e-36,1.3234889800848443e-23,3.0814879110195774e-33,9.926167350636332e-24,1.3234889800848443e-23,1.4693679385278594e-39,1.88079096131566e-37,3.76158192263132e-37,0.0,1.5777218104420236e-30,0.0,9.860761315262648e-32,1.6543618565029283e-23,1.88079096131566e-37,1.7632415262334313e-38,2.5849394142282115e-26,1.9101783200862172e-38,2.168404344971009e-19,0.0,2.938735877055719e-39,0.0,0.0,0.0,0.0,1.5407439555097887e-33,2.350988701644575e-38,1.5407439555097887e-33,5.870131391608159e-08,1.4986351352644273e-23,1.827751266669772e-14,2.5367235428270033e-22,1.6362017377666787e-06,2.763333375133635e-23,3.42610682930173e-15,5.5412893654054224e-21,9.647050663847155e-17,3.745640327999995e-10,1.5868636052771331e-21,9.033536983594684e-16,5.221702541423083e-10,7.154811239307148e-16,5.496872796646753e-15,1.8687707618379996e-21,6.617444900424222e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,1.4693679385278594e-39,3.9244768731003936e-08,9.244463733058732e-33,0.0,6.162975822039155e-33,0.0,0.0,5.812341393960787e-24,2.6364460238629015e-17,0.0,9.926167350636332e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,1.6216085232122984e-14,2.531533658095241e-22,5.625734143591653e-08,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,1.6362017328298725e-06,1.6221505032938998e-23,6.102898066073005e-16,5.3298083378842436e-08,7.888609052210118e-31,0.0,7.888609052210118e-31,3.944304526105059e-31,0.0,7.52316384526264e-37,5.559259095712226e-21,9.64705066384699e-17,3.745640328003037e-10,1.954325124820491e-21,1.2677893319179749e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.2379436426147405e-15,5.221702541423097e-10,3.891156326337031e-15,4.0311298894889837e-16,2.1673498307192403e-21,1.160935481920231e-08
8,3.193782185845973e-15,5.872607165585802e-13,3.899827868882696e-15,1.2837885827811101e-08,7.848610942371936e-09,9.311826942837841e-09,5.825922051642543e-13,3.026295680081544e-08,9.346542837101015e-09,5.6221807600556504e-09,9.389763698623412e-09,6.641217727580479e-09,7.458670115550277e-09,1.343190752357139e-08,9.26860306457773e-09,3.8854676073548485e-15,9.170150142977471e-09,5.265008152817511e-13,3.647396447076427e-15,6.666161720744396e-09,7.354898068812884e-09,5.670612414672512e-13,3.051576447534471e-15,1.9567816861725e-08,1.3316385290685073e-08,5.766097174837411e-13,9.252701873894146e-09,1.289111859618021e-08,1.3059460244678e-08,1.960610868472098e-08,0.0,4.930380657631324e-32,2.524354896707238e-29,3.76158192263132e-37,0.0,1.9721522630525295e-31,3.308722450212111e-24,8.271806125530277e-25,0.0,2.256949153578792e-36,7.52316384526264e-37,0.0,0.0,0.0,1.232595164407831e-32,3.30869740387837e-24,9.4039548065783e-38,7.052966104933725e-38,8.271806125530277e-25,0.0,0.0,9.860761315262648e-32,0.0,1.6543612251060553e-24,1.232595164407831e-32,0.0,1.9721522630525295e-31,0.0,3.5264830524668625e-38,9.860761315262648e-32,7.27942714645509e-09,1.1997934598304837e-23,3.9645358847086266e-16,6.708446292036968e-20,2.005101983614677e-06,9.264488096335414e-24,2.4754566254042443e-16,1.3821218804897948e-21,2.204865115913324e-15,1.1803449128854021e-08,8.401290540307164e-22,5.940910639794736e-16,1.5922291280462904e-08,4.062191576492698e-16,1.5377763332778817e-16,1.3382197706289166e-20,8.271806125530277e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,0.0,0.0,7.346839692639297e-40,2.8999741839168217e-09,0.0,1.9721522630525295e-31,0.0,0.0,9.860761315262648e-32,4.146720618142321e-23,2.0933505733514975e-15,0.0,0.0,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,3.7771893239840916e-16,6.706024871038704e-20,1.2312791503807733e-08,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.7550648847397363e-40,3.697785493223493e-32,0.0,5.3277096532282695e-06,3.79111319271166e-24,1.8628892719388752e-16,2.880826597060337e-09,6.310887241768095e-30,0.0,3.1554436208840472e-30,9.466330862652142e-30,6.310887241768095e-30,7.52316384526264e-37,1.3641541423341612e-21,2.204865115912002e-15,1.1803449128853263e-08,7.35417535269149e-22,8.747677207472508e-14,0.0,0.0,8.271806125530277e-25,4.1359030627651384e-25,0.0,0.0,5.873600051288868e-16,1.5922291280462845e-08,7.618149087305577e-16,2.0076235869535575e-16,2.7025424192361067e-20,5.014131387074657e-09
9,1.4041776395139965e-15,6.789074743987914e-14,1.7338995589633229e-15,3.021010133066986e-08,2.9815582347309515e-09,1.5607218705695665e-08,6.688304283983163e-14,3.985690768976437e-08,1.605782791673404e-08,6.029521182230175e-08,5.098607197011841e-08,2.748135639205456e-09,3.3015932099773125e-09,2.909856940683812e-08,1.5966514055174036e-08,1.6845391883515052e-15,1.5807596226041256e-08,5.97753877033365e-14,1.4861768316492234e-15,2.8694663889672525e-09,3.227351916617018e-09,6.34891203854781e-14,1.3043857071014662e-15,6.310022464774104e-08,2.8641365596573827e-08,6.607633919982587e-14,1.5986920452935887e-08,2.7095341106856745e-08,2.8176605279153583e-08,6.745870212422808e-08,0.0,9.860761315262648e-32,9.466330862652142e-30,1.7632415262334313e-38,0.0,9.860761315262648e-32,3.308722450212111e-24,0.0,5.877471754111438e-39,0.0,0.0,0.0,0.0,4.930380657631324e-32,1.232595164407831e-32,3.3087130824888612e-24,1.88079096131566e-37,6.171345341817009e-38,1.0339757656912846e-25,7.052966104933725e-38,0.0,0.0,1.1754943508222875e-38,4.1359030627651384e-25,3.944304526105059e-31,1.0339757656912846e-25,0.0,9.860761315262648e-32,9.4039548065783e-38,0.0,1.0355128390825831e-07,4.3013211779441615e-23,3.2470755961559134e-16,1.1767359884688105e-20,1.6595027454169715e-06,2.173475406994786e-22,9.685876706124456e-15,2.7196056037445423e-21,7.24358563762781e-15,3.155250357490419e-09,2.743438519305232e-21,1.3838264585348367e-14,4.55123855366503e-09,2.4458820958830862e-15,8.82981795304108e-15,1.178871215226944e-21,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,5.877471754111438e-39,1.0294471442188363e-07,0.0,1.232595164407831e-32,0.0,0.0,4.930380657631324e-32,4.710612969359909e-24,1.2635318677733797e-16,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,2.3094090784576597e-15,1.1754897703094722e-20,4.082134133314291e-08,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,5.877471754111438e-39,3.944304526105059e-31,1.232595164407831e-32,5.03645408429722e-07,1.2641321013966232e-22,1.108459408384827e-14,4.036714893802562e-08,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,5.877471754111438e-39,2.836601162299709e-21,7.24358563762792e-15,3.1552503574907747e-09,4.096454437445082e-21,3.20840758797505e-14,0.0,0.0,3.2311742677852644e-27,3.2311742677852644e-27,1.2924697071141057e-26,2.0679515313825692e-25,1.4100950148586972e-14,4.551238553665007e-09,2.097413077338425e-15,8.182167946102821e-15,5.4244077558515266e-21,1.5234513353469621e-10
