,Y3Z2,Y2Z3,Y5Z3,Y3Z5,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y0Z1,Y1Z0,Y2Z1,Y1Z2,Y4Z5,Y5Z4,Y4Z3,Y3Z4,Y4Z0,Y0Z4,Y4Z1,Y1Z4,Y3Z0,Y0Z3,Y2Z0,Y0Z2,Y2Z4,Y4Z2,Y5Z0,Y0Z5,Y5Z2,Y2Z5,X5Y3,X4Y3,X2Y3,X4Y1,X1Y4,X0Y1,standard_y,Y4,Y1,Y0,X5Y1,X3Y4,X3Y2,X2Y1,X2Y0,X1Y3,X5Y4,X4Y2,X2Y4,X1Y0,X1Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9600263501514084,0.9600263501514082,0.9599216798020016,0.9599216798020015,0.952029893587131,0.9520298935871307,0.8340256979617053,0.8340256979617053,0.5468015535366331,0.5468015535366328,0.49819521882313955,0.4981952188231395,0.4544931154732477,0.45449311547324767,0.4360070478690712,0.4360070478690712,0.4307022157963079,0.4307022157963079,0.4285593300693867,0.4285593300693866,0.2800936125404726,0.2800936125404725,0.12411890047615548,0.12411890047615547,0.0204030456794333,0.020403045679433296,0.016894785220002706,0.016894785220002647,0.013040577948985943,0.013040577948985943,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015626474434238943,0.0015677436879023947,0.9469235100255236,0.0015624770701274976,0.0015496315065127377,0.45545481375363017,0.8340256979617053,0.8340256979617053,0.5468015535366331,0.5468015535366331,0.0008135635126368657,0.450738657998624,0.45449311547324767,0.45449311547324767,0.41567035322747137,0.0007096943730346046,0.43070221579630785,0.4307022157963079,0.4285593300693865,0.4285593300693866,0.00045591203562975473,0.15637834875614945,0.0002026888353014368,0.1550638430610022,3.331861263273772e-05,0.41418610014778623,0.016894785220002706,0.01689478522000273,0.9437594208699651,2.1295544401356818e-05,1.0842021724855044e-19,2.168404344971009e-19,0.0,1.1102230246251565e-16,5.551115123125783e-17,3.472157457384828e-17,2.7972416050126014e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,5.421010862427522e-20,0.0,0.0,5.421010862427522e-20,1.3552527156068805e-20,0.0,5.421010862427522e-20,1.6263032587282567e-19,3.3312111749617124e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,2.172297875263961e-08,1.6581288733816847e-05,0.0012237585324563342,2.1720610326214822e-08,2.1542039077373506e-08,0.37585969076572534,0.001077854834145686,0.3800524668623877,0.5468015535366331,0.5468015535366328,8.722780373569434e-06,0.3778715778584242,0.04017435185777985,0.0005873651169214528,0.03734499358667652,9.865741534455483e-09,0.43070221579630785,0.43070221579630785,0.4285593300693865,0.4285593300693865,6.337813116282525e-09,0.13953833241356162,2.1731680035387374e-06,0.13827910496720447,3.57232024092912e-07,0.037356028935390986,2.18340105895262e-05,0.13897493100565533,0.001219671086261543,1.6525891866572316e-05,2.117582368135751e-22,0.0,5.421010862427522e-20,5.551115123125783e-17,2.7755575615628914e-17,6.532423968343571e-18,2.797156901717876e-17,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,8.271806125530277e-25,1.0842021724855044e-19,0.0,0.0,2.0679515313825692e-25,1.0842021724855044e-19,0.0,0.0,3.1931130408237394e-17,1.6093625997831706e-20,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,2.7755575615628914e-17,1.6543612251060553e-24,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0871518683998234e-08,1.1731241864990184e-05,0.0008656470683569405,1.0870333377304253e-08,7.619444524635994e-09,0.00033435640632719006,0.0007470450689517156,0.000338085722889653,0.0004848408209049736,0.00048642202680454255,4.638841495216032e-06,0.0003361461335435813,0.0401741778612134,0.00041548302057445655,0.03734518383743303,4.937425693071922e-09,0.0035361671121086915,0.00038189726148662626,0.0007426376452128367,0.0003812364770912856,7.574082838794713e-09,0.00012372656179210478,4.6137793277994465e-06,0.0001226100235537407,2.527412294656556e-07,0.03735621856744775,0.0007445161038893689,0.00012322706643932068,0.0008627557416460796,1.1692053693396293e-05,2.117582368135751e-22,8.271806125530277e-25,0.0,1.3552527156068805e-20,2.710505431213761e-20,2.1190013392747036e-17,2.5749718878469475e-19,2.168404344971009e-19,1.3552527156068805e-20,0.0,0.0,0.0,1.0842021724855044e-19,2.0679515313825692e-25,8.271806125530277e-25,5.048709793414476e-28,1.683477982667922e-20,4.235164736271502e-22,3.143286327701505e-23,2.119000959944942e-17,1.737079286361358e-23,0.0,5.421010862427522e-20,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,6.058451752097371e-28,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.3093807779566898e-08,9.935596042128918e-05,7.149603906345311e-10,1.263706478041711e-08,1.618559139733539e-08,7.99912174441449e-06,6.170039148686679e-10,7.549925924364412e-06,8.733880976194593e-05,8.762364683692481e-05,3.8464640162850575e-05,7.454927209518295e-06,1.290978966972853e-07,3.4315821484675775e-10,1.2000811125672177e-07,1.2527907971278097e-08,1.1362833050036577e-08,9.092051436378017e-05,2.3869701740861848e-09,7.971143662438884e-06,1.608924321206104e-08,9.063610634155464e-05,3.82568524585757e-05,9.021279508994885e-05,9.872950861689874e-05,1.200435692013354e-07,6.149154221198195e-10,9.076904333211085e-05,7.125723650232817e-10,9.903784692781977e-05,0.0,6.310887241768095e-30,6.776263578034403e-21,0.0,0.0,8.878938496699335e-18,6.776315276822687e-21,1.6543612251060553e-24,0.0,6.776263578034403e-21,0.0,6.162975822039155e-33,6.776263578034403e-21,8.271806125530277e-25,1.6543612251060553e-24,5.048709793414476e-29,0.0,1.2924697071141057e-26,3.0292258760486853e-27,8.770518278774824e-18,2.8596207814261678e-30,0.0,5.169878828456423e-26,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.693522803355793e-27,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.4299918144051223e-16,1.6684209402908288e-07,8.786465222668817e-14,7.7740054089202e-17,9.974679328701542e-17,2.1826720094922914e-09,7.564703069691059e-14,2.0641298009039495e-09,2.3050510191826137e-08,2.3236149296597214e-08,6.40748268124001e-08,1.8969277089995035e-09,9.808861940742297e-08,4.187629561156349e-14,9.119559226464694e-08,7.707420371060003e-17,8.636072451393756e-09,2.40187980055906e-08,1.8294309566926977e-09,2.1749177477473794e-09,9.915621642638211e-17,2.394373413028092e-08,6.372912281922212e-08,2.3720983486276588e-08,1.6578986210272115e-07,9.124938484364013e-08,7.539104727239511e-14,2.397881831431585e-08,8.727883072146836e-14,1.6630783593760834e-07,9.860761315262648e-32,2.350988701644575e-38,8.271806125530277e-25,6.310887241768095e-30,1.5777218104420236e-30,9.149209836155071e-18,4.756288528342885e-24,6.203854594147708e-25,8.271806125530277e-25,4.963083675318166e-24,9.4039548065783e-38,5.877471754111438e-39,8.271806125530277e-25,5.9164567891575885e-31,3.944304526105059e-31,0.0,0.0,2.524354896707238e-29,1.3805065841367707e-30,9.366050270652178e-18,2.791799083202933e-38,1.372592190196511e-08,0.0,3.6424945338995143e-09,8.78777843811053e-16,3.317086033526528e-23,6.162975822039155e-33,3.9840905814746785e-21,1.3539152411911695e-15,1.4330770775707521e-09,0.0,5.058527271053545e-22,5.2308212465202105e-15,1.0745840115542955e-24,8.748312725227595e-16,6.301217745637477e-22,4.748535911213953e-15,5.361110066812656e-25,1.3702333327652511e-15,0.027173604069017625,3.944304526105059e-31,0.0,0.0,0.0,0.0,7.52316384526264e-37,1.88079096131566e-37,1.661941039761711e-14,6.462348535570529e-27,3.2311742677852644e-27,3.2311742677852644e-27,0.0,1.0339757656912846e-25,0.0,0.0,3.6424945339284586e-09,9.630995136131185e-10,0.0,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,9.860761315262648e-32,1.8367099231598242e-40,3.6734198463196485e-40,8.787778438110539e-16,9.175695685901343e-23,2.4846955638998385e-17,0.0,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,7.52316384526264e-37,4.613882118872636e-21,4.406408655347766e-14,1.4330770775707521e-09,1.8637105504185225e-08,3.2311742677852644e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,5.169878828456423e-26,4.930380657631324e-32,7.16328757295385e-22,6.593361677039718e-15,1.2666086540234824e-24,1.1390789309112323e-15,1.3064562180980998e-09,2.0679515313825692e-25,2.0679515313825692e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,1.88079096131566e-37,0.0,0.0,0.0,9.131689385649534e-22,5.233801356124664e-15,1.647518292062037e-24,1.4297289073013659e-15,0.02717360406901766,2.6416112759454558e-09
6,6.0755626067908046e-12,2.5161666324864093e-06,6.802196489265856e-12,6.067003942203966e-13,8.121075459719409e-13,1.5468023092333502e-09,6.8057516790043364e-12,1.463403501865744e-09,1.18385053928242e-09,1.0207791186540263e-09,2.4873625743154063e-06,1.0525336033820059e-09,7.917409992067577e-08,1.011297199637422e-11,4.63631969880308e-08,5.955521086273504e-13,6.360882302151405e-08,1.1734746960802962e-09,5.8656884844515535e-08,1.0143163212083922e-09,8.386297037975317e-13,1.1795938796341698e-09,2.476631582556225e-06,1.1342464329485096e-09,2.4555503284027083e-06,6.071270776092068e-08,6.766011343757614e-12,1.1529336484709082e-09,6.739980724535097e-12,2.4531472081050605e-06,0.0,1.1555579666323415e-33,1.6543612251060553e-24,3.944304526105059e-31,1.232595164407831e-32,3.726944967919499e-20,2.1212017881866497e-22,0.0,1.550963648536927e-25,2.0679515313825692e-25,0.0,3.851859888774472e-34,8.271806125530277e-25,7.888609052210118e-31,5.048709793414476e-29,3.851859888774472e-34,0.0,8.077935669463161e-28,8.835242138475332e-29,4.4045713257208595e-20,7.222237291452134e-35,1.0360288573935178e-06,0.0,9.207906974543097e-06,3.1537631574853854e-12,3.726201306706381e-17,5.048709793414476e-29,6.760497647019898e-19,2.0139417612467705e-13,1.246913282973797e-06,2.117582368135751e-22,1.0067374401879067e-18,2.1838631106883535e-13,4.0235859636139616e-18,3.4113988216374244e-15,6.385219057515823e-19,4.949660730145661e-14,5.803177014465231e-19,1.1286868256400422e-12,3.535853626973199e-05,3.2311742677852644e-27,4.0389678347315804e-28,2.0194839173657902e-28,0.0,0.0,4.622231866529366e-33,0.0,2.102115663148205e-12,8.271806125530277e-25,4.1359030627651384e-25,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,9.207906974529504e-06,6.0831989587360814e-09,1.6155871338926322e-27,0.0,4.0389678347315804e-28,1.6155871338926322e-27,1.6155871338926322e-27,4.0389678347315804e-28,0.0,0.0,3.1537631577080315e-12,9.482326956411548e-18,1.748032134922428e-11,1.0587911840678754e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,3.0814879110195774e-33,7.409656610222193e-18,1.801442304633784e-12,1.2469132828433759e-06,9.838159800692078e-07,9.926167350636332e-24,3.308722450212111e-24,9.926167350636332e-24,3.308722450212111e-24,0.0,0.0,1.8530890664974212e-19,8.841381544127039e-14,3.574660182940481e-18,2.822893616648588e-13,8.602552408764988e-08,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,2.9582283945787943e-31,0.0,0.0,9.309454530936478e-19,4.7937532117201156e-15,3.1201741189075528e-18,1.1191693454665797e-12,3.535853626954287e-05,2.7744826010289643e-08
7,1.162798816314455e-18,1.4666365876818035e-08,7.028367465816618e-16,4.702227661114045e-19,5.85511400604944e-19,2.9077567030218753e-09,6.884497897483327e-16,4.375333798217255e-09,5.1733719284054846e-08,5.393193720181128e-09,1.489466720690974e-08,4.113069167320171e-09,7.413353361316088e-08,4.801269798267059e-16,3.361072544072116e-08,4.1665752746982635e-19,5.670404458484338e-08,5.1707079276146296e-08,4.946169320665367e-08,2.9216658889606525e-09,5.670325574468566e-19,5.1436773670196995e-08,1.4838901176080415e-08,5.125717491219485e-08,1.426140213666503e-08,5.254539953762542e-08,6.842824545777741e-16,5.0835921346908535e-08,6.884124887562954e-16,1.4193604209752179e-08,1.5777218104420236e-30,3.2142423655296924e-40,0.0,0.0,3.1554436208840472e-30,4.336808689942033e-19,3.929107860323075e-24,3.308722450212111e-24,6.203854594147708e-25,0.0,1.1020259538958945e-39,0.0,3.2311742677852644e-27,2.465190328815662e-32,4.930380657631324e-32,5.739718509874451e-42,0.0,0.0,0.0,4.3368086899419946e-19,3.2142423655296924e-40,3.781010108586207e-09,4.930380657631324e-32,2.381588179376914e-09,2.4423920797298024e-15,1.8284216702437018e-23,0.0,2.5491968091370536e-23,1.2523276356621207e-15,3.441773028929036e-10,0.0,2.242955140413525e-23,1.0971288646457733e-14,1.0007457402456391e-24,5.639084672277296e-18,1.223652102251661e-22,4.840661353848054e-15,5.379561326996189e-25,1.2392704126816171e-16,9.223797645555585e-05,0.0,9.860761315262648e-32,9.860761315262648e-32,2.9582283945787943e-31,9.860761315262648e-32,7.346839692639297e-40,2.938735877055719e-39,1.1631725894746721e-15,4.1359030627651384e-25,8.271806125530277e-25,1.6543612251060553e-24,4.1359030627651384e-25,4.1359030627651384e-25,0.0,6.310887241768095e-30,2.3815881793729036e-09,5.781916956597597e-09,3.851859888774472e-34,3.851859888774472e-34,7.703719777548943e-34,0.0,0.0,1.5777218104420236e-30,5.739718509874451e-42,5.739718509874451e-42,2.442392079729803e-15,6.034398534883931e-24,8.832813612895913e-18,0.0,5.169878828456423e-26,0.0,1.0339757656912846e-25,1.0339757656912846e-25,7.346839692639297e-40,1.6076242687806837e-23,2.3469156735575862e-15,3.441773152840001e-10,7.463534899035171e-10,2.5849394142282115e-26,1.2924697071141057e-26,3.877409121342317e-26,7.754818242684634e-26,0.0,2.465190328815662e-32,2.5265906211445402e-24,1.1002660544172845e-14,7.942377946166767e-25,3.992799627590591e-18,1.0440286390226562e-09,8.271806125530277e-25,0.0,8.271806125530277e-25,0.0,0.0,0.0,3.1554436208840472e-30,0.0,4.930380657631324e-32,2.443478414097742e-22,1.2781603153677289e-15,1.8964441654003124e-25,1.5606742955766161e-16,9.223797645557049e-05,1.1353308022104574e-08
8,2.7425605380710215e-16,3.2238463261369636e-07,4.077664660141484e-12,4.652866049720723e-16,3.2511708005566595e-16,6.947397394333326e-08,4.0755483303412524e-12,5.480663567398665e-08,2.725807366900136e-07,4.7810670634203384e-08,3.173364343483631e-07,6.378959324503668e-08,4.424081831565938e-07,1.6152621914560056e-12,2.0917090442648727e-07,4.870298756665403e-16,3.952003964820578e-07,2.717270541754658e-07,3.4390727862283893e-07,5.84356455838434e-08,3.1034899979225564e-16,2.7135578947434516e-07,3.1462337181622805e-07,2.689197249124231e-07,3.1131556511160963e-07,2.6241292962165084e-07,4.040396511238692e-12,2.6338459741851434e-07,4.029004518339901e-12,3.176029528100253e-07,6.310887241768095e-30,0.0,3.308722450212111e-24,0.0,6.310887241768095e-30,1.3044307387716225e-19,1.0587871451000407e-22,5.293955920339377e-23,0.0,0.0,7.52316384526264e-36,0.0,3.308722450212111e-24,3.1554436208840472e-30,3.1554436208840472e-30,2.350988701644575e-38,0.0,0.0,0.0,2.2022856628605646e-20,6.018531076210112e-36,1.6217748576827754e-07,4.0389678347315804e-28,3.1391699447687955e-07,1.942837247046116e-14,4.0849983452199545e-21,0.0,3.1642690315585884e-19,3.0696364277109906e-13,8.809125698958366e-09,5.293955920339377e-23,1.0508566957938254e-20,1.1238211309645847e-12,4.3805239356728e-22,1.650279734002777e-14,1.0308223615630669e-19,1.8296188294949496e-13,1.1456620505341484e-22,2.3309278378003395e-13,8.578579807119366e-05,1.0097419586828951e-28,1.0097419586828951e-28,2.0194839173657902e-28,1.0097419586828951e-28,1.0097419586828951e-28,0.0,1.2037062152420224e-35,1.7547845610424093e-12,0.0,9.098986738083304e-24,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.3234889800848443e-23,0.0,3.1391699447530475e-07,2.578017843157182e-07,0.0,0.0,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,1.7632415262334313e-38,0.0,1.942837247080188e-14,1.1089426078560366e-20,8.311016891086701e-16,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,2.4776176651667e-19,8.712355005326633e-13,8.809125700111621e-09,6.362766301868119e-08,3.308722450212111e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,1.5777218104420236e-30,5.734709529841486e-19,2.0802993580588814e-12,4.769282438640669e-22,2.870082444928715e-14,9.99133248091936e-08,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,4.81482486096809e-35,1.0097419586828951e-28,1.1754943508222875e-38,0.0,2.748033390531795e-19,1.548261660998923e-13,3.372706000713948e-22,2.3830869141858203e-13,8.578579811110073e-05,5.934039237259099e-08
9,3.1045394997733016e-14,7.612942256209555e-08,1.0636096498952437e-12,7.595843594628229e-15,1.3106352810692475e-14,1.7653951522249388e-08,1.1307273384670449e-12,1.9260643053547072e-08,2.898969392468319e-10,1.871009808959969e-08,7.531110657632129e-08,1.8293519215988823e-08,5.836525686991e-07,3.9293198297803805e-12,1.3120592270436809e-07,8.087425663731645e-15,5.288443645631741e-07,3.1233993514415364e-10,4.833002744561252e-07,1.7430460408147324e-08,1.2938080027301747e-14,2.7256696608116554e-10,7.50493583377586e-08,9.283963916680648e-10,7.078169374740528e-08,3.2301602568506915e-07,1.0685035809027748e-12,7.182043914000526e-10,1.072077074154615e-12,7.116884511086891e-08,1.0097419586828951e-28,0.0,6.617444900424222e-24,9.466330862652142e-30,1.262177448353619e-29,7.242131699024268e-20,9.928742192630973e-23,1.0587911840678754e-22,0.0,2.5849394142282115e-26,1.2037062152420224e-35,4.81482486096809e-35,1.3234889800848443e-23,3.697785493223493e-32,9.860761315262648e-32,1.88079096131566e-37,0.0,5.048709793414476e-29,3.1554436208840472e-30,7.242131699024268e-20,7.52316384526264e-36,3.014781886665431e-08,1.0097419586828951e-28,4.540585604408744e-08,2.3574532718733644e-14,2.502447233884612e-19,0.0,3.243011779043566e-19,1.6463957861106555e-14,1.4088378504829853e-07,6.617444900424222e-24,1.3102676083276232e-19,2.4084175783605664e-13,5.577770504638582e-22,1.4723530662352242e-15,1.330188732956174e-19,1.977095862198593e-13,1.496509347814575e-21,1.3031540290240094e-14,9.811646982475256e-05,5.048709793414476e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.407412430484045e-35,0.0,3.351882835607342e-13,0.0,1.6543612251060553e-24,6.617444900424222e-24,1.6543612251060553e-23,1.3234889800848443e-23,0.0,0.0,4.540585604024833e-08,2.4310212022630532e-08,1.5777218104420236e-30,0.0,2.9582283945787943e-31,1.5777218104420236e-30,1.5777218104420236e-30,0.0,9.4039548065783e-38,9.4039548065783e-38,2.3574532718730188e-14,8.34331134711315e-20,2.111411042333278e-14,0.0,8.271806125530277e-25,0.0,0.0,0.0,4.81482486096809e-35,2.1215466143753304e-19,1.4974866734787836e-13,1.4088378500895678e-07,1.1171531806331194e-08,1.0339757656912846e-25,5.169878828456423e-26,0.0,5.169878828456423e-26,7.754818242684634e-26,0.0,1.2596995675318171e-19,2.685513646876778e-13,7.791382683217446e-22,1.3622336603075976e-15,7.448658463627943e-10,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,1.88079096131566e-37,4.930380657631324e-32,9.23407241597905e-20,2.1900536051881432e-13,2.967477881179816e-21,1.2482195414713796e-14,9.811646982383047e-05,4.403172123171043e-08
