,Y0Z2,Y2Z0,Y5Z0,Y0Z5,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y5Z3,Y3Z5,Y1Z5,Y5Z1,Y3Z0,Y0Z3,Y0Z1,Y1Z0,Y2Z5,Y5Z2,Y3Z2,Y2Z3,Y4Z3,Y3Z4,Y2Z4,Y4Z2,Y4Z0,Y0Z4,Y1Z4,Y4Z1,Y5Z4,Y4Z5,standard_y,Y3,X3Y2,Y5,X4Y3,X4Y2,X3Y5,X3Y0,X2Y5,X2Y3,X2Y0,X1Y0,Y0,X5Y1,X4Y5,X4Y0,X1Y5,X1Y4,X1Y3,X0Y5,X4Y1,X2Y1,X0Y1,Y4,X5Y4,X3Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9076251363260939,0.9076251363260937,0.8177976410154968,0.8177976410154968,0.7587840933063348,0.7587840933063347,0.6982828519244928,0.6982828519244927,0.5043162912720944,0.5043162912720944,0.40723042669364684,0.4072304266936468,0.3960266182144223,0.3960266182144222,0.3705943101246866,0.37059431012468647,0.33905230728624136,0.3390523072862413,0.31450434093874435,0.31450434093874424,0.27594881602881005,0.27594881602881005,0.25508215274135226,0.25508215274135215,0.20605342906715252,0.20605342906715243,0.021813527989205037,0.021813527989205002,0.011264837116613434,0.011264837116613413,1.3183898417423734e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005084187369267382,0.000510076837217839,0.4798475401228112,0.0004581006266417254,0.0004264295632132481,0.3893945277277163,0.6982828519244926,0.6982828519244928,0.5043162912720944,0.5043162912720944,0.40723042669364684,0.4072304266936468,0.08254468204312596,0.00022183977168918287,0.00020759351358260982,0.3857230939393167,0.00019054422539686207,0.4760868006085792,0.08023485624584328,0.00017674849791696272,0.27594881602881005,0.27594881602881005,0.00014335378395060214,0.049698571370414196,0.04819949121185821,0.0001154236699192804,0.021813527989205047,0.021813527989205005,0.011264837116613424,0.011264837116613413,2.4326786245143506e-17,0.0,0.0,0.0,5.551115123125783e-17,2.710505431213761e-20,0.0,1.3552527156068805e-20,4.0657581468206416e-20,2.710505431213761e-20,0.0,2.0328790734103208e-20,1.3552527156068805e-20,1.3877787807814457e-17,2.7755575615628914e-17,2.710505431213761e-20,4.163336342344337e-17,1.734723475976807e-18,2.0816681711721685e-17,1.3552527156068805e-20,6.938893903907228e-17,6.776263578034403e-21,2.0328790734103208e-20,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00010165250524842508,0.00010198402341701654,0.47984748888822715,9.159197522005369e-05,5.003574651134193e-05,7.983107057305048e-05,0.00014362419384024997,0.00014315731649895664,0.09840965193610474,0.000103728769186919,8.348767970102103e-05,0.09544647938793772,1.697794318708207e-05,2.983299920947811e-06,2.7041932271150122e-06,7.907841256929807e-05,3.809713620960173e-05,0.4760869241869211,1.6502875746539826e-05,4.9643715804341716e-05,0.2542061974576769,5.675769658968356e-05,2.866194775492706e-05,0.04969854023344355,0.04819952975761562,2.3077641243487145e-05,4.472064753850133e-06,0.25323825891291296,0.01126483711661343,0.0112648371166134,1.389049330202327e-17,0.0,0.0,4.163336342344337e-17,1.3552527156068805e-20,0.0,6.776263578034403e-21,1.6543612251060553e-24,3.3881317890172014e-21,0.0,5.551115123125783e-17,2.1196503196671334e-24,8.470329472543003e-22,0.0,1.3877787807814457e-17,2.117582368135751e-21,3.3881317890172014e-21,2.117582368135751e-21,2.7755575615628914e-17,2.541098841762901e-21,3.3881317890172014e-21,4.1359030627651384e-25,5.686866711302065e-25,2.7755575615628914e-17,2.7755575615628914e-17,1.2705494208814505e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,8.591171737282699e-08,2.056064286147907e-05,0.0012584630250872674,7.740905026879439e-08,1.6071758622969147e-05,3.471338655052654e-05,3.062899321992775e-05,3.052942794099627e-05,0.0002580922091315723,1.851208079433087e-05,3.4613624700801006e-05,0.00025032094825432034,1.8428313892737303e-05,2.5213382322268667e-09,2.2854523886917294e-09,3.461056479993682e-05,2.0414223446896976e-05,0.0012486004676226263,1.845795119950664e-05,1.594583696859535e-05,0.2542061970186815,1.2104026888100432e-05,9.206376333855903e-06,0.06089021954857243,0.05942771098356619,1.9504091781079673e-08,9.537031147907298e-07,0.2532382644663578,2.9543514094988536e-05,0.05930752040651368,2.780639821284963e-17,3.3881317890172014e-21,1.0339757656912846e-25,5.421010862427522e-20,0.0,0.0,6.617444900424222e-24,1.0097419586828951e-28,0.0,1.0339757656912846e-25,0.0,1.8932661725304283e-29,6.203854594147708e-25,3.308722450212111e-24,5.421010862427522e-20,1.2407709188295415e-24,1.6543612251060553e-24,4.235164736271502e-22,1.3877787807814457e-17,4.235164736271502e-22,0.0,1.7771458472818954e-26,1.3252863207712998e-28,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541098841762901e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.754818242684634e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4088868464168473e-13,6.295176442996225e-08,6.770368064521608e-07,1.2674583885245114e-13,7.734061454362207e-08,1.1716701683558004e-06,5.298376699651374e-12,9.966191666150151e-07,1.2272826997680976e-07,3.1923818838633752e-12,1.168301200589291e-06,1.1862460305449197e-07,3.1779638642424512e-12,2.7525648429169307e-14,2.7806189344765905e-14,1.168197844430218e-06,6.25066932910291e-08,6.717601858314981e-07,3.1830778954359577e-12,7.704618742540094e-08,1.2931935257741276e-06,2.08517488936061e-12,7.697883985485104e-08,3.0956873897225e-07,3.021405871958183e-07,2.76421122083923e-14,9.931719499869258e-07,1.2882700686884509e-06,1.2222639415329348e-07,3.015301528292279e-07,2.183756832917211e-22,0.0,4.81482486096809e-35,5.293955920339377e-23,1.0587911840678754e-22,0.0,0.0,2.2958874039497803e-41,6.310887241768095e-30,9.62964972193618e-35,1.0587911840678754e-22,2.3267441306588653e-36,1.5777218104420236e-30,2.524354896707238e-29,0.0,3.009265538105056e-36,5.048709793414476e-29,2.524354896707238e-29,5.293955920339377e-23,0.0,2.0194839173657902e-28,2.5637979419682884e-30,6.805377607291781e-36,1.0587911840678754e-22,1.0097419586828951e-28,0.0,8.398327850526756e-08,3.553986338005425e-15,7.031078653546681e-19,8.769845314163039e-08,2.1335602272477135e-14,1.2673031800782737e-16,9.12571667425225e-20,6.617444900424222e-24,6.301728178523492e-14,3.6270242285382224e-13,1.0372060125483717e-07,7.140667380652174e-16,5.293955920339377e-23,4.3628981954330686e-09,3.927575536473576e-20,2.388400844349449e-25,7.021308489106009e-08,5.298291824377231e-20,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,7.703719777548943e-34,1.262177448353619e-29,1.6543612251060553e-24,3.384492038107458e-08,4.963083675318166e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,2.2206239518493807e-13,3.4895676836929736e-08,5.048709793414476e-29,0.0,1.262177448353619e-28,0.0,2.524354896707238e-29,5.293955920339377e-23,1.03994626193245e-18,8.76984531430887e-08,5.65569870157046e-13,1.6543612251060553e-24,0.0,8.271806125530277e-25,0.0,0.0,1.262177448353619e-29,3.1134745931793906e-14,3.551268991733255e-14,1.305331448112079e-19,9.05157865738767e-09,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.9852334701272664e-23,0.0,2.278706823315303e-13,9.055899089466277e-13,1.0372060125572773e-07,1.3085769553293211e-14,1.6177599604037768e-07,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,9.183549615799121e-41,0.0,4.362898195450457e-09,1.2942876047966496e-19,3.063454547175334e-25,7.021308489106194e-08,6.299556338373307e-20,2.391015202123823e-14
5,3.9189398749844487e-16,1.7539578574102707e-08,6.789201271029447e-09,3.50839507574388e-16,2.1420314271693583e-08,5.882739617906336e-09,3.4090269602890924e-17,5.025673265156583e-09,1.2942510343493349e-09,1.052209855829143e-17,5.833310258407294e-09,1.0887066231542265e-09,9.202430044239314e-18,7.037256667040989e-17,7.592160819185896e-17,5.8285283876057075e-09,1.68098631391165e-08,6.632885782426646e-09,9.173156126755495e-18,2.0865018700841163e-08,3.3070301333543467e-10,5.1425991162794076e-17,2.114514439917071e-08,4.855006122612261e-10,4.533549666790331e-10,7.632170483498631e-17,4.869573592450948e-09,1.489769915316261e-08,1.1405197912948855e-09,4.4679037085052247e-10,2.0679515313825692e-24,0.0,3.6734198463196485e-40,4.1359030627651384e-25,0.0,9.860761315262648e-32,0.0,0.0,1.232595164407831e-32,3.6734198463196485e-40,4.1359030627651384e-25,1.103102151116496e-41,0.0,4.622231866529366e-33,4.930380657631324e-32,2.938735877055719e-39,0.0,1.232595164407831e-32,2.0679515313825692e-25,0.0,9.244463733058732e-33,3.4666738998970245e-33,5.354081172492261e-41,8.271806125530277e-25,0.0,4.1359030627651384e-25,2.5406187479625315e-08,3.1488814679462233e-17,4.166950356782016e-26,8.885194272570337e-10,1.186758298708819e-16,6.328947338413724e-16,1.6821556592714826e-23,1.6543612251060553e-24,6.5801273742993356e-18,4.688389583290529e-16,1.1324200734194183e-08,2.788696161745453e-18,0.0,2.43129206735077e-09,3.412838153038126e-23,3.0802797145451137e-31,1.4044860421435783e-09,1.5110288672849424e-24,5.169878828456423e-26,0.0,3.877409121342317e-26,0.0,0.0,0.0,2.465190328815662e-32,0.0,6.912032588793085e-10,8.271806125530277e-25,0.0,2.481541837659083e-24,0.0,1.6543612251060553e-24,2.7695758074828536e-16,1.792269926110989e-08,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.8121578725067674e-24,8.885194272569031e-10,2.503939912277813e-16,4.1359030627651384e-25,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.7364068773907926e-16,3.9431452053149214e-17,8.648130344967042e-24,5.135126183493435e-09,5.169878828456423e-26,5.169878828456423e-26,1.0339757656912846e-25,0.0,1.0339757656912846e-25,6.162975822039155e-33,2.3697938791132536e-17,1.6076375339123305e-16,1.1324200734194183e-08,3.8885179967963484e-17,1.6571591629772936e-09,1.5407439555097887e-33,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,0.0,5.473822126268817e-48,0.0,2.431292067350772e-09,1.5650184107820855e-23,1.830978092281501e-31,1.4044860421435812e-09,1.8107008909856907e-24,1.3644062362196017e-16
6,5.409100112418149e-15,1.677859445059861e-08,6.661520617542716e-09,5.448071650996462e-15,2.046264961624243e-08,5.52090813043e-09,2.1387185132790215e-15,4.721036806236588e-09,1.3233699000137853e-09,1.5677875610553545e-15,5.44390481725458e-09,9.677765721422997e-10,1.4932487566766404e-15,9.887342159139938e-16,1.1369559204527752e-15,5.4318502476518275e-09,1.552960769233621e-08,6.411087507673199e-09,1.5065293483030274e-15,1.9490142843318347e-08,1.9021482310545788e-10,2.219473447692238e-15,2.0049391026247095e-08,7.945843964828261e-10,7.284642103211708e-10,1.1482297166383903e-15,4.459058176746758e-09,1.499792151662139e-08,1.0386501209515688e-09,7.087620117270452e-10,1.8611565754595386e-24,1.9721522630525295e-31,3.5264830524668625e-38,4.1359030627651384e-25,0.0,4.930380657631324e-32,1.4693679385278594e-39,4.484155085839415e-44,3.944304526105059e-31,7.052966104933725e-38,4.1359030627651384e-25,2.3791133223429598e-39,0.0,1.5407439555097887e-33,2.465190328815662e-32,9.4039548065783e-38,3.0814879110195774e-33,0.0,2.0679515313825692e-25,8.271806125530277e-25,3.944304526105059e-31,2.311115933264683e-33,2.763674462504548e-39,0.0,0.0,0.0,2.8584116489751238e-08,4.246053902224998e-17,1.0799984650204663e-22,1.289061106111442e-09,3.130356506039672e-14,6.78022906787376e-16,5.659896276566053e-22,1.6543612251060553e-24,9.566539593908356e-18,1.787367271267261e-14,1.1189654490740498e-08,4.974466834704806e-18,2.0679515313825692e-25,3.5532583374914046e-09,1.178421382815839e-22,1.2423929003439541e-28,2.061985929886325e-09,1.442025760199735e-22,1.0339757656912846e-25,0.0,0.0,0.0,5.169878828456423e-26,2.938735877055719e-39,7.888609052210118e-31,0.0,1.0372747554938246e-09,8.271806125530277e-25,3.308722450212111e-24,8.271806125530277e-25,0.0,0.0,2.900938288703116e-16,1.7519768915096564e-08,7.888609052210118e-31,0.0,0.0,1.5777218104420236e-30,0.0,1.0339757656912846e-25,2.5462542612547064e-22,1.2890611061105991e-09,1.8641000186364003e-14,0.0,4.1359030627651384e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,9.860761315262648e-32,3.13829831209323e-14,1.2183825724906733e-16,5.452135686906385e-22,7.613514848657016e-09,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,6.162975822039155e-33,3.447518296520656e-17,1.758635865806546e-14,1.1189654490740546e-08,5.757888977088128e-17,2.4136094601569414e-09,0.0,3.1554436208840472e-30,6.310887241768095e-30,1.5777218104420236e-30,0.0,1.88079096131566e-37,4.484155085839415e-44,4.1359030627651384e-25,3.553258337491742e-09,2.220723066985688e-22,1.4561032444900428e-28,2.0619859298870035e-09,2.271664468623456e-22,3.284865292246852e-14
7,3.1826197184491715e-09,1.6729330687966856e-08,6.344957426021348e-09,3.1849486234845106e-09,2.027514933188205e-08,4.672037368608252e-09,1.1755583166996397e-09,3.892344397818139e-09,1.2914852979762919e-09,8.538192239748811e-10,4.581487352390331e-09,8.216610260968406e-10,7.741954575333101e-10,5.237092981493431e-10,6.696602711828878e-10,4.5760009128775455e-09,1.493714592412162e-08,6.02917734975444e-09,7.897167638912435e-10,1.8867850506917276e-08,1.5455322476691746e-09,1.1692126202952878e-09,1.9725874020218028e-08,9.459330987800124e-10,8.293655419068511e-10,6.855624725408316e-10,3.50946951675993e-09,1.590921533918292e-08,9.084572118675116e-10,7.990659452346069e-10,3.101927297073854e-25,2.0679515313825692e-25,1.232595164407831e-32,2.0679515313825692e-25,4.1359030627651384e-25,0.0,2.465190328815662e-32,0.0,5.169878828456423e-25,2.465190328815662e-32,0.0,3.980656453805368e-32,1.0339757656912846e-25,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-31,1.232595164407831e-32,5.686866711302065e-25,0.0,0.0,5.686866711302065e-25,6.162975822039155e-33,2.6060239559989785e-32,0.0,3.697785493223493e-32,2.0679515313825692e-25,8.225761945713491e-08,2.0684183397048356e-17,1.060462188042614e-16,1.3710464446148563e-08,3.771739400366844e-08,9.861924338353596e-16,6.691075763441571e-16,0.0,7.967555475950717e-17,2.1126964401460837e-08,4.865525326889615e-09,3.187880356872781e-17,2.0679515313825692e-25,1.0092785438414894e-08,1.764790150460929e-17,9.673610967683436e-17,9.175432855675846e-09,1.3906166347712333e-16,1.6543612251060553e-24,8.271806125530277e-25,1.2407709188295415e-24,0.0,1.2407709188295415e-24,2.465190328815662e-32,4.1359030627651384e-25,4.1359030627651384e-25,1.0298001465489634e-08,4.1359030627651384e-25,1.6543612251060553e-24,2.895132143935597e-24,0.0,1.2407709188295415e-24,2.767080873779986e-16,1.1407527314370088e-08,8.271806125530277e-25,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,0.0,2.720349514061222e-16,1.3710465454989496e-08,2.1908459871204896e-08,8.271806125530277e-25,3.308722450212111e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.232595164407831e-31,3.77173940656597e-08,2.3246568964354472e-17,6.537383144495947e-16,8.495149893778456e-09,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,0.0,6.162975822039155e-33,2.644693909960671e-16,2.1126964818889175e-08,4.865525420043785e-09,5.163929611910475e-16,1.3728710510880354e-08,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,4.930380657631324e-32,8.271806125530277e-25,1.0092785009177254e-08,3.6145103638893793e-16,1.0696728888581161e-16,9.175431995219308e-09,2.291170594192115e-16,3.9234825030151654e-08
8,9.868369411977236e-09,1.5285526433669692e-08,5.6885767252303235e-09,9.861139716536735e-09,1.874198219989413e-08,2.490702995157138e-09,3.635844670560554e-09,1.6996573113143285e-09,1.1174925773219121e-09,2.626526558148591e-09,2.433624849956902e-09,6.12242315977389e-10,2.378184208781666e-09,1.5684340820519643e-09,2.0741427748990745e-09,2.4235892305417503e-09,1.3192194146735103e-08,5.367157659488411e-09,2.4221911609117777e-09,1.704421149614136e-08,1.2072521397482963e-09,3.587681427724704e-09,1.8108616326320505e-08,7.024925375613436e-10,5.874879731209056e-10,2.1159617548900957e-09,1.2578449292406884e-09,1.5166101667488023e-08,7.024732909947961e-10,5.601921909686781e-10,0.0,2.0679515313825692e-25,2.465190328815662e-32,2.0679515313825692e-25,2.0679515313825692e-25,4.930380657631324e-32,3.697785493223493e-32,2.465190328815662e-32,1.0339757656912846e-24,7.395570986446986e-32,8.271806125530277e-25,1.5262994809268844e-32,4.1359030627651384e-25,1.232595164407831e-32,2.465190328815662e-32,1.9721522630525295e-31,1.232595164407831e-32,1.0339757656912846e-24,5.169878828456423e-25,4.1359030627651384e-25,9.305781891221561e-25,0.0,1.0159280456642669e-32,0.0,7.395570986446986e-32,4.1359030627651384e-25,8.324283109014654e-08,3.051650804931396e-17,7.089411254871988e-17,1.356491989065028e-08,3.5816341100505827e-08,9.895770280400577e-16,6.087812985682255e-16,0.0,7.678454056162905e-17,2.0326933496134073e-08,4.546082133557001e-09,1.8332363522809317e-17,4.1359030627651384e-25,1.0895182976833806e-08,1.0282844687912494e-16,2.5363684342885235e-16,9.653723088742118e-09,3.386854032452689e-17,0.0,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.930380657631324e-32,6.203854594147708e-25,8.271806125530277e-25,1.0509936184734963e-08,8.271806125530277e-25,0.0,1.6543612251060553e-24,2.481541837659083e-24,4.1359030627651384e-24,2.3055580641229843e-16,1.1138072390418324e-08,2.481541837659083e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,8.271806125530277e-25,1.0339757656912846e-25,2.1042475452282973e-16,1.3564920913369203e-08,2.1258716810286452e-08,1.6543612251060553e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.232595164407831e-31,3.581634111448353e-08,9.722908920775702e-17,5.908257652035432e-16,1.094166923001242e-08,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,2.465190328815662e-32,2.512364469717309e-16,2.0326933975219703e-08,4.5460823004774664e-09,4.860942329175954e-16,1.4031770838934717e-08,4.1359030627651384e-25,6.617444900424222e-24,0.0,4.1359030627651384e-25,0.0,1.9721522630525295e-31,4.930380657631324e-32,4.1359030627651384e-25,1.0895182484498188e-08,2.466469925632119e-16,3.000316781704066e-16,9.65372215865203e-09,9.408124898577024e-17,3.7638810416596316e-08
9,1.610285274731921e-08,1.3533671267705648e-08,5.012877687500643e-09,1.607575531153367e-08,1.6913228932890815e-08,3.434471885165574e-10,5.9535768199822805e-09,4.6417723423675774e-10,9.205597664168039e-10,4.274340816821903e-09,3.4699675363672044e-10,4.254478103515383e-10,3.824726898812771e-09,2.40615442619813e-09,3.3451334272331886e-09,3.2040115450354215e-10,1.130966620861177e-08,4.71777969636588e-09,3.9014947453283265e-09,1.503462941135295e-08,8.811970556537937e-10,5.8404124360792745e-09,1.6231979134958033e-08,4.67195511283366e-10,3.588681785680641e-10,3.412876941211222e-09,9.207097777933446e-10,1.4433117535031051e-08,5.129259085721014e-10,3.3996683936226815e-10,1.990403348955723e-24,8.271806125530277e-25,1.232595164407831e-32,2.0679515313825692e-25,3.101927297073854e-25,0.0,4.930380657631324e-32,1.232595164407831e-32,1.6543612251060553e-24,9.860761315262648e-32,8.271806125530277e-25,2.2798195716683904e-32,2.274746684520826e-24,3.697785493223493e-32,0.0,1.9721522630525295e-31,4.930380657631324e-32,8.271806125530277e-25,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,3.0814879110195774e-32,2.1883378993099967e-32,1.6543612251060553e-24,4.930380657631324e-32,4.1359030627651384e-25,8.223448747154442e-08,3.5962429492501303e-17,3.4713545382108116e-17,1.3308209245333547e-08,3.243152424477339e-08,9.961287909965842e-16,5.227402648761335e-16,0.0,7.183391465741421e-17,1.8939455884441513e-08,4.203533717789367e-09,3.2966804887592026e-18,3.360421238496675e-25,1.1607031743878189e-08,2.0143405645183527e-16,3.563764611079323e-16,1.0021780823533052e-08,6.111077229851721e-17,0.0,0.0,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.2407709188295415e-24,4.1359030627651384e-25,1.068452519145465e-08,4.1359030627651384e-25,8.271806125530277e-25,2.0679515313825692e-24,8.271806125530277e-25,8.271806125530277e-25,1.9193638733880508e-16,1.0865640756309036e-08,8.271806125530277e-25,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,7.237830359838992e-25,1.482559745103799e-16,1.3308210269090909e-08,2.031740937762862e-08,8.271806125530277e-25,1.6543612251060553e-24,2.481541837659083e-24,3.308722450212111e-24,1.6543612251060553e-24,2.465190328815662e-31,3.2431524213239085e-08,1.5021787204114711e-16,5.026346453551347e-16,1.31755387572141e-08,4.1359030627651384e-25,0.0,0.0,0.0,1.6543612251060553e-24,1.232595164407831e-32,2.344445600227793e-16,1.893945641367046e-08,4.20353395057384e-09,4.482497173188007e-16,1.401298421341527e-08,2.0679515313825692e-24,3.308722450212111e-24,6.617444900424222e-24,1.2407709188295415e-24,3.308722450212111e-24,0.0,4.930380657631324e-32,4.1359030627651384e-25,1.1607031199524336e-08,1.505659482069367e-16,4.3654215449654236e-16,1.0021779861543231e-08,3.008401216448778e-17,3.490967068814082e-08
