Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.668856548608566,-1.391183414688616e-17,
1,0.7482807787486263,0.23984840952260134,Y3Z0,0.7853981678402139,nan
2,0.8237743881348257,0.467826976119592,Y2Z4,0.7853978132760965,nan
3,0.8945177731596543,0.6814606286275052,Y5Z3,0.7853981599267107,nan
4,0.9883193098063193,0.9647261930000446,Y1Z5,0.7862826688903999,nan
5,0.9883198969027372,0.9647279659368652,Y1Z0,-0.0008845174220310755,nan
6,0.9883198969032773,0.9647279659384955,Y4Z2,3.379381780213959e-07,1.0534803660183532e-08
7,0.9883198969032773,0.9647279659384955,Y1Z3,-2.106859808436672e-10,0.0
8,0.9883198969032773,0.9647279659384955,Y1Z0,-2.2706265263438847e-11,0.0
9,0.9883198969032773,0.9647279659384955,Y1Z3,-1.3623759158063307e-10,0.0
10,0.9883198969032773,0.9647279659384955,Y1Z0,-2.2706265263438847e-11,0.0
11,0.9883198969032773,0.9647279659384955,Y1Z3,-1.3623759158063307e-10,0.0
12,0.9883198969032773,0.9647279659384955,Y1Z0,0.0,0.0
