,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y1Z2,Y2Z1,Y5Z4,Y4Z5,Y1Z3,Y3Z1,Y2Z3,Y3Z2,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y3Z4,Y4Z3,Y5Z3,Y3Z5,Y1Z4,Y4Z1,Y5Z2,Y2Z5,Y4Z0,Y0Z4,Y3Z0,Y0Z3,standard_y,Y2,X4Y0,X0Y1,X3Y1,Y5,Y0,X5Y0,X4Y3,X3Y5,X2Y5,X2Y3,X2Y1,X2Y0,X0Y5,X0Y2,X5Y1,X4Y1,X3Y4,X1Y5,X1Y2,X0Y4,X1Y0,X1Y4,X1Y3,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9560342718892494,0.9560342718892494,0.9478274870593493,0.9478274870593493,0.8354988781294497,0.8354988781294496,0.7359699890685234,0.7359699890685233,0.7230120812374659,0.7230120812374659,0.669730401440221,0.6697304014402208,0.606801733640838,0.6068017336408378,0.6059441656784625,0.6059441656784625,0.581204017112003,0.581204017112003,0.4306696402912687,0.4306696402912686,0.39353182020537136,0.3935318202053713,0.30813645758914426,0.3081364575891442,0.15838287025480557,0.15838287025480552,0.08487199515892166,0.08487199515892166,0.05655136772680877,0.05655136772680877,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.673617379884035e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015382952212096026,0.0015382952212096026,0.21185845070549097,0.0015250901947199318,0.22955549684695611,0.0013443492240217555,0.0011842034856141058,0.2118562710261942,0.7230120812374659,0.7230120812374657,0.0010776214894455457,0.613179106919274,0.6068017336408379,0.6068017336408379,0.22955363089597056,0.0009749870290120717,0.581204017112003,0.5812040171120031,0.43066964029126864,0.43066964029126864,0.39353182020537136,0.39353182020537114,0.0004958031883659777,0.22326457229719493,0.15838287025480555,0.15838287025480557,0.22326406354694434,0.00013656224301404342,0.6131781667460297,9.09932847439745e-05,2.7863995832877464e-17,4.163336342344337e-17,1.0842021724855044e-19,3.4694204821740125e-18,1.0842021724855044e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,2.7755575615628914e-17,0.0,1.1102230246251565e-16,5.421010862427522e-20,0.0,5.421010862427522e-20,0.0,0.0,1.6263032587282567e-19,1.3877787807814457e-17,0.0,1.6263032587282567e-19,5.421010862427522e-20,3.4693940123944108e-18,2.0328790734103208e-20,1.0164395367051604e-20,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00041549542723200085,0.00041549542723200085,0.21185756749577117,0.00041192873337032355,1.491910531339526e-05,0.0003262247459913965,0.0003198548148631445,0.21185740847807627,4.698962865397738e-05,4.698962865397738e-05,0.00029106688688760717,0.6131790390541184,0.6068017336408378,0.6068017336408377,1.491909646611989e-05,0.000129428143754118,3.777331201651535e-05,0.42282114719169367,0.03713782091701548,2.7989859360568684e-05,2.5576217292696545e-05,0.03713781917634609,0.00012942814291512137,1.45102894268464e-05,1.0293537897301097e-05,0.42282114562972567,1.4510287014642865e-05,0.0003262247451466263,0.6131789704641281,2.4577397887391165e-05,6.860966872759833e-20,0.0,1.6543612251060553e-24,2.0146084386312587e-17,4.0657581468206416e-20,8.470329472543003e-22,2.710505431213761e-20,0.0,3.3881317890172014e-21,8.470329472543003e-22,0.0,0.0,1.3552527156068805e-20,0.0,0.0,2.710505431213761e-20,1.6543612251060553e-24,8.271806125530277e-25,3.3881317890172014e-21,0.0,0.0,0.0,7.609496193431382e-18,9.305781891221561e-25,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,3.3881317890172014e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,3.498560494549604e-07,0.00011939493613331978,0.8186569267461763,0.00012581203569372483,7.871001594921224e-07,9.963616531734183e-05,2.6932460526137606e-07,0.8186569172582632,9.133310685445876e-07,9.133310685445875e-07,2.450845532814834e-07,0.0016904811535914173,0.8186584181614885,0.001672899491753397,7.871001478303765e-07,1.0898126909567398e-07,7.341947662655535e-07,0.4228211468573239,0.0001023857331031046,2.620016620530604e-07,7.871009350262711e-07,0.00010238573310129171,1.089812690954071e-07,2.6199852274766765e-07,2.0007410648158946e-07,0.4228211468567338,2.619985223285715e-07,9.963616531724433e-05,0.001690481135952011,0.00011939442534429564,2.0999799647006224e-19,0.0,0.0,5.405297446879124e-20,0.0,5.293955920339377e-23,6.776263578034403e-21,1.2924697071141057e-26,0.0,1.0339757656912846e-25,5.293955920339377e-23,2.168404344971009e-19,1.3234889800848443e-23,6.776263578034403e-21,3.2311742677852644e-27,1.6940658945086007e-21,2.524354896707238e-29,1.262177448353619e-29,1.0339757656912846e-25,0.0,0.0,3.2311742677852644e-27,2.7262189109064116e-20,4.733165431326071e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1226817032931895e-09,0.0006619788219818617,7.577040399347608e-06,0.0006619788219824792,1.9800072493530267e-08,0.0002689851700667968,7.778588622061492e-11,7.577039759334477e-06,3.080606426606195e-08,3.080606426606194e-08,7.778588614991177e-11,1.8597848062957225e-11,7.577039759354104e-06,1.8404423111830896e-11,1.9800069193466525e-08,3.497189115520418e-10,1.5926803343236704e-08,3.9133900348347075e-06,1.1263978271978214e-12,1.5926803341797522e-08,1.9800069193467802e-08,1.1263978271977988e-12,3.497189115520408e-10,1.592680334181416e-08,1.9800069192041653e-08,3.913390034834701e-06,1.5926801854841794e-08,0.0002689851700667965,1.859784664860036e-11,0.0006619788219817371,1.0969081998380731e-19,1.2705494208814505e-21,0.0,1.836989028607179e-23,1.0339757656912846e-25,0.0,1.0842021724855044e-19,0.0,4.81482486096809e-35,4.81482486096809e-35,0.0,2.117582368135751e-22,7.888609052210118e-31,0.0,1.6155871338926322e-27,2.5849394142282115e-26,1.5407439555097887e-33,0.0,2.407412430484045e-35,1.5407439555097887e-33,0.0,4.0389678347315804e-28,1.8369889663611232e-23,1.3481509610710651e-33,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0474196430835583e-10,4.803842113548977e-08,5.89638082770443e-06,4.803842076093214e-08,1.9800071489830125e-08,1.951968824811402e-08,4.0480945850796893e-10,5.896380827740573e-06,3.0806064282831526e-08,3.0806064282831526e-08,4.048094585132727e-10,1.1212954782725288e-11,5.896380827749741e-06,1.1096335632492908e-11,1.9800071489830105e-08,1.3546560944650885e-10,1.592680311959307e-08,3.0453629636785015e-06,6.791241598690221e-13,1.592680311872153e-08,1.9800071489830873e-08,6.79124159869008e-13,1.3546560944650847e-10,1.5926803118731514e-08,1.9800071488967224e-08,3.0453629636784964e-06,1.5926803118731508e-08,1.9519688248114e-08,1.1212954712583536e-11,4.803842121028424e-08,4.202344083646473e-22,4.235164736271502e-22,1.9721522630525295e-31,4.531370516176388e-24,0.0,0.0,6.617444900424222e-24,0.0,1.4444474582904269e-34,3.611118645726067e-35,0.0,2.117582368135751e-22,1.771855548836257e-32,1.0339757656912846e-25,0.0,2.0679515313825692e-25,7.703719777548943e-34,0.0,2.407412430484045e-35,7.703719777548943e-34,4.391120273202898e-32,0.0,4.531370516176388e-24,4.81482486096809e-34,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.622231866529366e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697785493223493e-32,0.0,0.0,0.0,0.0,0.0,0.0
6,4.410963023507299e-12,2.1806807687619096e-08,1.971196224498426e-08,2.1806807686858123e-08,1.5109235653623454e-08,8.86086937468737e-09,4.410629045199564e-12,1.9711962253198383e-08,2.350779819418335e-08,2.3507798194183358e-08,4.4106290451999796e-12,4.0861642921802415e-16,1.9711962253198383e-08,4.0436702003888044e-16,1.5109235653623448e-08,1.4763094981410617e-12,1.2153583468884551e-08,1.0180834908604122e-08,2.474828606960324e-17,1.2153583468884545e-08,1.5109235653623448e-08,2.4748286069602945e-17,1.4763094981410593e-12,1.2153583468884548e-08,1.510923565362344e-08,1.0180834908604113e-08,1.2153583468884545e-08,8.860869374687364e-09,4.0861681174025467e-16,2.1806807687610215e-08,1.6539573529744855e-24,1.6543612251060553e-24,0.0,7.464894603683611e-26,2.5849394142282115e-26,0.0,0.0,0.0,1.4693679385278594e-39,1.4693679385278594e-39,0.0,4.963083675318166e-24,3.0814879110195774e-33,0.0,0.0,5.169878828456423e-26,1.2037062152420224e-35,6.018531076210112e-36,7.346839692639297e-40,0.0,0.0,0.0,7.464894603683611e-26,2.633107345841924e-36,2.5849394142282115e-26,3.550171175763203e-14,8.146652414388739e-09,0.0,2.4896040097821918e-29,2.8862994087522056e-29,2.465190328815662e-32,1.4332549814877943e-21,1.0347421161040477e-21,2.6598548089800073e-16,4.390417602786945e-27,1.4181954483948549e-27,5.2817634231200806e-18,3.7066365711256633e-25,4.0389678347315804e-28,6.638021794210334e-24,1.2908791925482218e-23,4.821379568485744e-25,1.4750843702280357e-17,2.840378172607607e-16,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,2.7829319523810785e-16,1.232595164407831e-32,0.0,4.930380657631324e-32,0.0,0.0,0.0,4.930380657631324e-32,8.146652414388739e-09,2.4957691715887906e-16,2.350988701644575e-38,4.70197740328915e-38,2.350988701644575e-38,2.350988701644575e-38,2.350988701644575e-38,3.308722450212111e-24,0.0,1.906589397779395e-29,2.371863271765392e-29,2.9003842790011044e-22,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,1.496632324299475e-21,1.1046875454548226e-21,2.659854808979977e-16,3.5485795867262435e-14,1.504632769052528e-36,1.504632769052528e-36,4.513898307157584e-36,1.504632769052528e-36,1.504632769052528e-36,4.7729615193870655e-27,3.148679310607926e-27,5.28176342312008e-18,2.1176377362318973e-25,5.057174471389001e-20,0.0,2.465190328815662e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,1.8144002176440217e-23,2.154042619259013e-23,3.529375124905146e-25,1.475035273653976e-17,2.840378172621277e-16,5.438368645497241e-16
7,4.3923343660074124e-12,2.105129290844792e-08,1.971196222636498e-08,2.105129290768702e-08,1.5000632862274867e-08,8.553877270694957e-09,4.3920133066595175e-12,1.971196223429453e-08,2.333882786630742e-08,2.3338827866307423e-08,4.392013306659931e-12,4.068911993554022e-16,1.9711962234294534e-08,4.02659731700046e-16,1.5000632862274867e-08,1.4700749042535186e-12,1.2066225437024594e-08,1.018083489896988e-08,2.464379574459071e-17,1.2066225437024587e-08,1.5000632862274867e-08,2.4643795744590422e-17,1.4700749042535162e-12,1.2066225437024589e-08,1.500063286227486e-08,1.0180834898969871e-08,1.2066225437024589e-08,8.553877270694954e-09,4.0689158026802043e-16,2.1051292908439112e-08,3.3085205264722774e-24,3.308722450212111e-24,0.0,2.8080080612174813e-25,2.5849394142282115e-26,1.6543612251060553e-24,0.0,0.0,7.346839692639297e-40,3.6734198463196485e-40,0.0,0.0,0.0,5.169878828456423e-26,1.232595164407831e-32,1.0339757656912846e-25,6.018531076210112e-36,6.018531076210112e-36,0.0,6.018531076210112e-36,1.5407439555097887e-33,0.0,2.8080080612174813e-25,3.76158192263132e-37,2.5849394142282115e-26,3.566422495666019e-14,8.187730844056666e-09,1.6543612251060553e-24,2.4841091933414793e-29,2.878270298317318e-29,2.465190328815662e-32,1.434522703446505e-21,1.0368892965521717e-21,2.661979916213157e-16,4.364940342573398e-27,1.4131709715921441e-27,5.308415066620703e-18,3.7096105424482635e-25,2.0194839173657902e-28,6.40937398471846e-24,1.2458586180246748e-23,4.825245166468459e-25,1.482523669625711e-17,2.8426475100842603e-16,0.0,2.465190328815662e-32,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,0.0,2.781610084371967e-16,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,8.187730844056666e-09,2.4993389409627285e-16,2.350988701644575e-38,0.0,2.350988701644575e-38,2.350988701644575e-38,2.350988701644575e-38,0.0,0.0,1.8989922910995962e-29,2.364313789409801e-29,2.9027015588323984e-22,3.1554436208840472e-30,3.1554436208840472e-30,0.0,0.0,0.0,1.232595164407831e-32,1.4967934660612682e-21,1.103306443779381e-21,2.661979916213126e-16,3.56647283535679e-14,0.0,0.0,0.0,0.0,0.0,4.746113756893201e-27,3.133335602282019e-27,5.308415066620703e-18,2.119341527364705e-25,5.0612083389835114e-20,4.930380657631324e-32,4.930380657631324e-32,9.860761315262648e-32,0.0,0.0,0.0,1.748881413684112e-23,2.0762194070016073e-23,3.532207891375633e-25,1.4824760350576522e-17,2.842647510097467e-16,5.276424079793056e-16
8,4.3920939481604254e-12,2.3361913287219657e-08,1.9711962148079616e-08,2.3361913287980624e-08,7.552334141227573e-09,9.492763233142123e-09,4.39245024936889e-12,1.9711962139278924e-08,1.1750346010682677e-08,1.175034601068268e-08,4.3924502493693035e-12,4.068912008718315e-16,1.9711962139278924e-08,4.026597332390996e-16,7.552334141227566e-09,1.4700091279933815e-12,6.074954780939135e-09,1.0180834857500654e-08,2.464379584355022e-17,6.074954780939132e-09,7.552334141227568e-09,2.464379584355014e-17,1.470009127993381e-12,6.0749547809391335e-09,7.552334141227563e-09,1.0180834857500654e-08,6.07495478093913e-09,9.492763233142121e-09,4.0689158211451257e-16,2.3361913287228465e-08,2.4819456851387496e-24,1.6543612251060553e-24,2.465190328815662e-32,5.714971853202827e-26,0.0,0.0,0.0,0.0,3.6734198463196485e-40,7.346839692639297e-40,0.0,0.0,1.5407439555097887e-33,0.0,1.232595164407831e-32,5.169878828456423e-26,6.018531076210112e-36,9.027796614315168e-36,0.0,6.018531076210112e-36,4.622231866529366e-33,6.162975822039155e-33,5.714971853202827e-26,3.385423730368188e-36,0.0,3.504270683315361e-14,5.370452702380501e-09,8.271806125530277e-25,2.1688282512853136e-29,2.3719082596149313e-29,4.930380657631324e-32,1.1103439875127069e-21,9.091451223163048e-22,1.7460316618276698e-16,2.0779131259383833e-27,1.2510423314108465e-27,3.482773765451206e-18,1.1312380565018149e-26,4.0389678347315804e-28,4.350763934375981e-24,7.522922722684108e-24,7.86760491414333e-26,9.724686703994521e-18,1.8645341859397044e-16,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,0.0,7.346839692639297e-40,2.465190328815662e-32,1.6428337289949093e-16,6.162975822039155e-33,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,2.465190328815662e-32,5.370452702380501e-09,1.5554067630113577e-16,2.350988701644575e-38,2.350988701644575e-38,2.350988701644575e-38,0.0,0.0,1.6543612251060553e-24,0.0,1.3649216918754436e-29,1.866842751947542e-29,2.9225261573848993e-22,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,3.1554436208840472e-30,6.162975822039155e-33,1.0568405119138971e-21,6.474346872595407e-22,1.746031661827639e-16,3.5746639969800106e-14,7.52316384526264e-37,7.52316384526264e-37,1.504632769052528e-36,0.0,3.009265538105056e-36,2.338622065640461e-27,1.5569495227527965e-27,3.48277376545121e-18,1.3332624565210636e-25,3.319508115692466e-20,0.0,0.0,0.0,2.465190328815662e-32,0.0,3.0814879110195774e-33,7.665949657083412e-24,9.478938141907348e-24,6.1382541476905466e-27,9.725213912088069e-18,1.8645341859300911e-16,3.840756001121013e-16
9,5.107820259065312e-12,2.3366381494658557e-08,1.971301128544451e-08,2.336638149542267e-08,6.2961982928951415e-09,9.494578822231397e-09,5.108234690119319e-12,1.971301127664213e-08,9.795979244287287e-09,9.79597924428729e-09,5.1082346901198e-12,4.732225159362729e-16,1.9713011276642138e-08,4.683012353739724e-16,6.2961982928951415e-09,1.7095586979814603e-12,5.064542856011279e-09,1.0181376716000723e-08,2.8661222006278055e-17,5.0645428560112754e-09,6.2961982928951415e-09,2.8661222006277994e-17,1.7095586979814599e-12,5.064542856011277e-09,6.296198292895138e-09,1.0181376716000722e-08,5.064542856011277e-09,9.494578822231395e-09,4.73222959305414e-16,2.3366381494670475e-08,1.240972867221278e-24,1.6543612251060553e-24,0.0,1.4235607018212287e-25,2.5849394142282115e-26,0.0,0.0,2.465190328815662e-32,7.346839692639297e-40,1.8367099231598242e-40,0.0,1.6543612251060553e-24,0.0,5.169878828456423e-26,0.0,5.169878828456423e-26,0.0,3.009265538105056e-36,3.6734198463196485e-40,3.009265538105056e-36,3.0814879110195774e-33,0.0,1.4235607018212287e-25,2.82118644197349e-36,2.5849394142282115e-26,3.6904953059592494e-14,1.558334813681422e-08,4.1359030627651384e-25,1.5540055631592182e-30,3.8339117257451695e-30,0.0,2.334908727049744e-22,5.1303842036716174e-23,5.892043968606771e-16,4.793870702604621e-27,2.2227668134687303e-27,1.0104453029569357e-17,3.3203848108750305e-24,2.0194839173657902e-28,7.676389977733202e-24,1.3990896111855322e-23,3.402409012085655e-24,2.821862319764229e-17,6.291934816918878e-16,2.465190328815662e-32,0.0,4.930380657631324e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,2.9440946781914934e-16,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,1.558334813681422e-08,2.7223276212557603e-16,2.350988701644575e-38,0.0,2.350988701644575e-38,2.350988701644575e-38,2.350988701644575e-38,1.6543612251060553e-24,3.0814879110195774e-33,5.0847256398373014e-30,4.3245220146600965e-30,3.570373139717041e-22,6.310887241768095e-30,6.310887241768095e-30,0.0,0.0,0.0,6.162975822039155e-33,3.4609404796046175e-22,3.861068541059865e-22,5.892043968606811e-16,3.635710370310109e-14,3.009265538105056e-36,3.009265538105056e-36,6.018531076210112e-36,1.8055593228630336e-35,6.018531076210112e-36,5.3041823070668596e-27,3.515528029733135e-27,1.0104453029569296e-17,3.1420852062672648e-24,1.120179443423603e-19,9.860761315262648e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,1.6756461511221302e-23,2.027126194372224e-23,3.1161843075536847e-24,2.8218106449792584e-17,6.291934816886432e-16,1.1146032473431506e-15
