,Y4Z2,Y2Z4,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y0Z4,Y4Z0,Y4Z1,Y1Z4,Y1Z0,Y0Z1,Y2Z3,Y3Z2,Y3Z1,Y1Z3,Y0Z2,Y2Z0,Y2Z1,Y1Z2,Y4Z3,Y3Z4,Y5Z0,Y0Z5,Y4Z5,Y5Z4,Y3Z5,Y5Z3,Y0Z3,Y3Z0,X3Y1,Y4,X5Y0,X0Y5,Y5,Y0,X4Y5,X4Y1,X3Y0,X2Y4,X2Y1,X1Y4,X0Y4,X1Y0,X1Y2,standard_y,Y3,X5Y3,X5Y1,X4Y2,X3Y2,X2Y3,X1Y5,X0Y1,X1Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9934850076016688,0.9934850076016686,0.992571994158628,0.9925719941586278,0.9888112104037214,0.9888112104037213,0.6536357538927619,0.6536357538927617,0.6415781537746728,0.6415781537746728,0.5390815646058105,0.5390815646058105,0.46153301006262504,0.461533010062625,0.39719826263322744,0.39719826263322744,0.2891964436397205,0.28919644363972047,0.2572769749796093,0.2572769749796092,0.24267553557344324,0.24267553557344324,0.2100086955497311,0.2100086955497311,0.15990102222961802,0.15990102222961797,0.07264511287134134,0.07264511287134132,0.030036908551127065,0.03003690855112706,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0028302669695145564,0.002830266969514556,0.8326716207939313,0.0028276659521154113,0.9888112104037214,0.9888112104037214,0.3644404837879261,0.0018620952205432373,0.0018277452030948363,0.3843022228034248,0.5390815646058107,0.5390815646058105,0.0013148277263632488,0.21885845924612796,0.39719826263322744,0.39719826263322744,0.364436657854037,0.0008238706531772367,0.0007329376072410373,0.38429857532478806,0.0006913406316023177,0.2188556016269813,0.21000869554973112,0.21000869554973112,0.0004555303584304844,0.8326669441552026,0.07264511287134132,0.07264511287134129,0.030036908551127034,0.03003690855112706,2.7755575615628914e-17,2.168404344971009e-19,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.421010862427522e-20,0.0,2.7755575615628914e-17,2.168404344971009e-19,1.0842021724855044e-19,0.0,4.205388881197553e-17,2.710505431213761e-20,1.9412639898352957e-16,8.326672684688674e-17,2.7755575615628914e-17,0.0,8.326672684688674e-17,2.168404344971009e-19,0.0,2.0816681711721685e-17,3.6116690777535316e-18,1.9081958235744878e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,7.22996962393011e-05,7.229969623930111e-05,0.002222765709932813,5.3510291953062374e-05,0.0026395728025358466,0.0026395728025358466,0.36443931101883764,4.7567568806776494e-05,3.5053524935298833e-05,0.001025869175688269,0.001439046221675617,0.3290736173092783,3.358751886200285e-05,0.21885747513179007,0.32455340859373083,0.001060297173242092,0.36443930852220463,2.104592909671889e-05,5.350996787920676e-05,0.001025869169334517,1.766042504156676e-05,0.21885747326703583,0.0005606057407488055,0.3290709483284445,3.5053317119432145e-05,0.0022227657017863077,0.3245517345591975,0.00019392181455350698,0.030036908551127086,0.030036908551127076,5.421010862427522e-20,0.0,0.0,0.0,2.168404344971009e-19,2.7755575615628914e-17,0.0,3.308722450212111e-24,0.0,0.0,6.617444900424222e-24,0.0,6.776263578034403e-21,1.478254063495587e-19,1.6543612251060553e-23,5.5453552990844535e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.1102230246251565e-16,3.3881317890172014e-21,1.6940658945086007e-21,5.551115123125783e-17,1.013181570196679e-19,1.0164395367051604e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.552136908808508e-08,1.1974579300964751e-05,2.1420964749984383e-05,1.2501760558964618e-05,2.0314284956633175e-05,2.0314284956633182e-05,0.00033487626873216956,1.021185192298992e-08,7.525315916515544e-09,3.1798266504273895e-06,3.179834659059067e-06,0.00030237872653248344,7.847156625482743e-06,0.2488943703903317,0.3245531497772165,8.160100337168102e-06,0.00033487626860694697,1.1974570093993754e-05,1.2501760554480126e-05,3.179826651495722e-06,3.7913572197500335e-09,0.24889437029288666,2.1420959346746068e-05,0.0003023787263872255,7.525315913873089e-09,2.1420964747185773e-05,0.3245531496780649,1.4924320315631155e-06,2.7600337218597772e-05,0.24889429057831758,3.1763735522036263e-22,0.0,1.6543612251060553e-24,0.0,1.6940658945086007e-21,2.710505431213761e-20,2.524354896707238e-29,1.262177448353619e-29,0.0,1.0842021724855044e-19,6.462348535570529e-27,6.310887241768095e-30,4.235164736271502e-22,5.986111112338863e-25,1.2924697071141057e-26,2.7780563087572915e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0842021724855044e-19,8.470329472543003e-22,8.470329472543003e-22,2.7755575615628914e-17,2.151313218099503e-25,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9.763280973832747e-12,8.207720370202944e-07,2.756158620935074e-05,1.3947724753021311e-06,2.4217403713472956e-05,4.93704599876485e-08,3.07317839058864e-06,6.4234784329683386e-12,2.3487460243218656e-12,7.728046327941021e-09,7.728046329580218e-09,2.5216572166421693e-06,1.3947719058446399e-06,0.0004701274225659375,0.000613036477287634,1.983175425821742e-08,3.073178390583241e-06,8.207720369671467e-07,1.3947724749811721e-06,7.72804632795322e-09,2.3487333257201263e-12,0.00047012742256507276,2.756158620874863e-05,2.521657214523807e-06,2.3487460224033243e-12,2.7561586209333824e-05,0.000613036476977585,2.4217353660854625e-05,2.521651814560398e-06,0.00047012742255239193,0.0,8.077935669463161e-28,6.462348535570529e-27,1.2924697071141057e-26,0.0,0.0,2.465190328815662e-32,0.0,0.0,8.470329472543003e-22,1.5777218104420236e-30,3.611118645726067e-35,0.0,4.144526061304618e-30,6.310887241768095e-30,4.1439809984346015e-25,0.0,0.0,1.0842021724855044e-19,0.0,0.0,1.0339757656912846e-25,0.0,2.2594099565953484e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0
5,1.1934602761090411e-14,3.907657041115512e-08,4.144355804848963e-06,6.640450682820561e-08,3.641500264282808e-06,5.203726989553517e-09,7.89052795003335e-08,7.85203904731817e-15,2.8710942646639854e-15,5.812245067854395e-10,5.812245067855205e-10,6.474470612964933e-08,6.640450682785733e-08,1.5054414522985014e-07,1.9630646616251723e-07,5.202304685105991e-09,7.890527950033319e-08,3.9076570411153454e-08,6.640450682786012e-08,5.812245067854411e-10,2.8710942646623927e-15,1.505441452298495e-07,4.1443558048489e-06,6.474470612841957e-08,2.8710942646109605e-15,4.144355804848957e-06,1.9630645915203025e-07,3.641500261872682e-06,6.474470612963512e-08,1.505441452298468e-07,1.0587911840678754e-22,0.0,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,4.622231866529366e-33,1.4693679385278594e-39,4.1359030627651384e-25,2.4741149443757336e-32,3.0814879110195774e-32,2.641808081341232e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,1.5777218104420236e-30,2.6469779601696886e-23,2.4506606265157876e-32,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504632769052528e-36,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.88079096131566e-37,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76158192263132e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.5161071269750206e-16,4.0662598380538296e-16,1.2668701513444059e-08,6.828681834648401e-16,3.649709299573348e-09,4.747692614184982e-08,1.208731185841602e-08,1.1888206130164598e-16,7.255166995372508e-17,4.747692640947459e-08,4.7476926409474565e-08,1.0711119976753443e-08,6.514949284527584e-16,1.0032930904442885e-08,2.2610378546854245e-08,2.2610378318441782e-08,1.2087311858416019e-08,4.066259838053828e-16,6.514949297254831e-16,4.747692640947459e-08,7.255166995372481e-17,1.0032930904442884e-08,1.2668701513444062e-08,1.2087311854129661e-08,1.5161071191343122e-16,1.2668701513444059e-08,1.0032930917773872e-08,3.649709144897763e-09,1.0711119976753423e-08,1.003293090444288e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-41,1.8367099231598242e-40,9.860761315262648e-32,0.0,7.703719777548943e-34,3.6734198463196485e-40,2.0679515313825692e-25,0.0,9.62964972193618e-35,4.9630837246219726e-24,3.308722450212111e-24,0.0,2.0679515313825692e-25,0.0,0.0,2.311115933264683e-33,5.169878828456423e-26,0.0,5.551115123125783e-17,3.3960419789520647e-08,5.282184854443919e-24,6.901039603825123e-16,2.413158280461606e-31,1.1582558804424493e-16,2.381718731575078e-17,4.0971763355562024e-24,4.930380657631324e-32,1.1975767953573554e-15,6.909167311490127e-32,1.676066670376886e-09,1.6545207966978376e-23,1.6543612251060553e-24,1.2528732244268423e-16,8.280393930750845e-17,5.312974320720661e-24,3.16692129783861e-24,1.5790565642048224e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3960419762109145e-08,3.6734198463196485e-40,3.6734198463196485e-40,1.8367099231598242e-40,0.0,3.6734198463196485e-40,7.346839692639297e-40,2.0679515313825692e-25,6.5004129321826045e-24,4.53506165197439e-24,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.0511471334585413e-15,3.654583858843244e-31,2.0448336483783377e-16,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,1.232595164407831e-32,0.0,3.6734198463196485e-40,1.158256010445426e-16,2.3817187315750793e-17,1.0178451770613745e-23,1.1622339938073408e-16,7.703719777548943e-34,3.0814879110195774e-33,2.465190328815662e-32,6.162975822039155e-33,3.0814879110195774e-33,1.235414895520283e-15,2.919406618082031e-31,1.6760666703768815e-09,1.646966977540079e-23,5.809375557600815e-17,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,1.4693679385278594e-39,5.401129637531393e-16,8.280393930750853e-17,1.448415830254903e-23,3.2093882518491648e-24,1.9322279042379352e-23,1.7376521827903652e-16
7,2.804247691702864e-16,5.85699571531092e-16,3.518251951375766e-08,9.211028096311273e-16,2.1973046538637743e-08,1.3941365585065456e-08,1.5521598102652885e-08,2.1988864796610261e-16,1.3419424634335623e-16,1.3941367016247505e-08,1.3941367016247485e-08,1.3754398141929727e-08,6.347246287719552e-16,3.0514251087219924e-08,2.757676795017115e-08,3.031037048948082e-08,1.5521598102652885e-08,5.856995715310917e-16,6.347246396110541e-16,1.394136701624751e-08,1.3419424634335638e-16,3.051425108721993e-08,3.518251951375765e-08,1.5521598079445837e-08,2.804247695745696e-16,3.518251951375766e-08,3.0514251362337595e-08,2.197304866546586e-08,1.3754398141929724e-08,3.051425108721992e-08,0.0,2.465190328815662e-32,0.0,4.930380657631324e-32,1.6543612251060553e-24,0.0,0.0,1.8367099231598242e-40,2.465190328815662e-32,0.0,1.8488927466117464e-32,1.1479437019748901e-40,0.0,3.4438311059246704e-40,3.0814879110195774e-33,1.654361101846539e-24,0.0,0.0,0.0,0.0,4.930380657631324e-32,6.162975822039155e-33,0.0,7.346839692639297e-40,1.1102230246251565e-16,2.3958133207754786e-08,6.892551229834906e-24,2.375949380588305e-16,1.105975533830946e-33,1.1192079736492571e-17,2.157628585912514e-17,3.761589542007816e-24,9.860761315262648e-32,9.521944245995835e-16,7.9690673781709e-32,4.60897597248818e-09,1.5607133052426334e-23,0.0,1.134994496648493e-16,4.307959439611155e-17,5.621802456207069e-25,4.132412559833225e-24,7.160391437519387e-24,0.0,0.0,0.0,0.0,0.0,1.1020259538958945e-39,8.271806125530277e-25,2.3958132954376596e-08,1.8367099231598242e-40,3.6734198463196485e-40,7.346839692639297e-40,0.0,9.183549615799121e-41,1.8367099231598242e-39,0.0,8.482177333383399e-24,3.472017282382017e-24,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,1.5407439555097887e-33,0.0,0.0,1.8076373055866187e-15,2.5431248565638167e-31,2.901342253178137e-17,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,1.232595164407831e-32,0.0,7.346839692639297e-40,1.1192069214732495e-17,2.1576285859125185e-17,7.636111914193249e-24,1.1810091031485435e-16,1.232595164407831e-32,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,3.0814879110195774e-33,5.1297170436414204e-17,2.361301151988546e-31,4.608975972488187e-09,2.0968010494886493e-23,3.916822478126824e-17,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,6.162975822039155e-33,4.930380657631324e-32,2.938735877055719e-39,4.892954985727494e-16,4.307959439611162e-17,2.5055181412208757e-24,4.187825993926001e-24,3.0710270310449314e-24,6.709563027181499e-17
8,2.8066580960860636e-16,5.864207769172223e-16,3.5154623472815844e-08,9.220162025559127e-16,2.1948535264667403e-08,1.39371149024594e-08,1.5521598102652885e-08,2.200776543487364e-16,1.3430959344031202e-16,1.3937116334173796e-08,1.3937116334173773e-08,1.3754398141929727e-08,6.352565938034954e-16,3.051850176979188e-08,2.7578654110842348e-08,3.031929600757018e-08,1.5521598102652885e-08,5.864207769172219e-16,6.3525660465773555e-16,1.3937116334173799e-08,1.3430959344031217e-16,3.051850176979188e-08,3.515462347281584e-08,1.5521598079445837e-08,2.806658091406763e-16,3.5154623472815844e-08,3.0518502044852105e-08,2.1948537392863938e-08,1.3754398141929724e-08,3.0518501769791874e-08,0.0,1.232595164407831e-32,0.0,4.930380657631324e-32,0.0,0.0,0.0,1.8367099231598242e-40,0.0,0.0,6.162975822039155e-33,6.887662211849341e-40,0.0,9.244463388675622e-33,6.162975822039155e-33,1.2407708078959767e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,2.465190328815662e-32,0.0,2.0679515313825692e-25,1.5407438820413918e-32,1.1102230246251565e-16,2.395813320751835e-08,6.898475732704648e-24,2.384007358669932e-16,9.725554729887248e-34,1.1444998706887878e-17,2.1576285824904133e-17,3.7717211054456836e-24,9.860761315262648e-32,9.527324319130926e-16,7.94162022614544e-32,4.619898796280896e-09,1.5633385993081674e-23,1.2407709188295415e-24,1.13499449659372e-16,4.3039112219255946e-17,5.563151232296758e-25,4.135964589149004e-24,7.142021136497047e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.4693679385278594e-39,0.0,2.3958132953827183e-08,0.0,0.0,3.6734198463196485e-40,3.6734198463196485e-40,9.183549615799121e-41,0.0,0.0,8.489468205329142e-24,3.4703851251204356e-24,0.0,4.622231866529366e-33,4.622231866529366e-33,0.0,3.0814879110195774e-33,0.0,7.346839692639297e-40,1.808590116366149e-15,2.5446570864860184e-31,2.928148322253042e-17,6.162975822039155e-33,0.0,1.232595164407831e-32,0.0,0.0,8.271806125530277e-25,7.346839692639297e-40,1.1444988178751066e-17,2.1576285824904177e-17,7.645545901008701e-24,1.1820242407094025e-16,2.465190328815662e-32,3.0814879110195774e-33,1.5407439555097887e-33,0.0,3.0814879110195774e-33,5.131798723288055e-17,2.3595371195972787e-31,4.6198987962809035e-09,2.0999148379520614e-23,3.928197213992134e-17,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,4.892954985483399e-16,4.303911221925602e-17,2.496456892582684e-24,4.1914256578462e-24,3.049949553084048e-24,6.692528167179165e-17
9,3.583243605028282e-16,8.250754984308001e-16,1.1617557986413716e-08,9.99528139159031e-16,1.9148541945088963e-08,7.997985251514918e-09,1.981633144825726e-08,2.8097182475969105e-16,1.7147225471425663e-16,7.997987024620871e-09,7.997987024620838e-09,1.756015780646729e-08,5.97198681189851e-16,3.645763169257535e-08,3.0214031668090966e-08,4.279018917937226e-08,1.981633144825726e-08,8.250754984307994e-16,5.971987001820747e-16,7.997987024620874e-09,1.7147225471425704e-16,3.645763169257535e-08,1.1617557986413707e-08,1.9816331437909175e-08,3.583243597248605e-16,1.1617557986413719e-08,3.645763158311689e-08,1.914853766742349e-08,1.7560157806467272e-08,3.645763169257533e-08,0.0,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,3.308722450212111e-24,1.6543612251060553e-24,0.0,1.1020259538958945e-39,4.930380657631324e-32,9.860761315262648e-32,2.465190328815662e-32,3.6734198463196485e-40,2.0679515313825692e-25,1.232595237876228e-32,1.0785207688568521e-32,8.271806211811938e-24,3.308722450212111e-24,0.0,0.0,2.9582283945787943e-31,0.0,2.465190328815662e-32,4.1359030627651384e-25,1.2325950082874875e-32,5.551115123125783e-17,2.395813291260769e-08,8.807241529071387e-24,3.1114482055485195e-15,6.601170126867051e-31,5.213571821698202e-16,2.754626349195958e-17,2.9000109688699354e-23,9.860761315262648e-32,2.734271601635931e-15,1.2120119954520422e-30,2.7512246688955067e-08,6.099664011544154e-23,0.0,1.4490405833238868e-16,1.19411135074105e-16,8.266505232180422e-24,5.280360450955882e-24,3.152072365925038e-23,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.6734198463196485e-40,0.0,2.3958132515736422e-08,7.346839692639297e-40,7.346839692639297e-40,0.0,0.0,1.1020259538958945e-39,1.4693679385278594e-39,0.0,1.0838451887195153e-23,7.922003663775716e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.4693679385278594e-39,4.8672380899416426e-15,3.2860742337047144e-31,6.021372365171346e-16,0.0,6.162975822039155e-33,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,0.0,7.346839692639297e-40,5.213571760860911e-16,2.7546263491959617e-17,1.9002807064102481e-23,1.1820238969336562e-16,1.232595164407831e-32,1.6948183510607676e-32,0.0,4.622231866529366e-33,1.5407439555097887e-33,3.9780257031378057e-16,7.918665897373257e-31,2.7512246688955067e-08,6.454022294773857e-23,4.689534672994313e-17,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,1.4693679385278594e-39,6.246806060003165e-16,1.1941113507410514e-16,1.1866473355647105e-23,5.351166217601037e-24,3.6394782294388576e-23,3.703636971512232e-16
