,Y5Z3,Y3Z5,Y5Z2,Y2Z5,Y3Z0,Y0Z3,Y5Z0,Y0Z5,Y1Z0,Y0Z1,Y3Z1,Y1Z3,Y4Z5,Y5Z4,Y4Z3,Y3Z4,Y0Z2,Y2Z0,Y1Z2,Y2Z1,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y4Z0,Y0Z4,X5Y3,X3Y1,X2Y0,standard_y,Y1,X5Y0,X4Y2,X3Y5,X2Y4,X2Y3,X1Y5,X1Y3,X0Y5,X0Y3,X0Y2,Y4,X1Y2,X0Y1,Y2,X5Y4,X5Y2,X5Y1,X4Y5,X3Y2,X2Y5,X3Y4,X0Y4,X1Y0,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9627918881466941,0.9627918881466941,0.7265968271185355,0.7265968271185355,0.724298820656289,0.724298820656289,0.6978629116963264,0.6978629116963264,0.6394736947203203,0.6394736947203203,0.6080363963919531,0.6080363963919528,0.5828414142186916,0.5828414142186915,0.47305066131356854,0.47305066131356854,0.4290209841319056,0.4290209841319055,0.3749317381060184,0.3749317381060183,0.34456706291465933,0.34456706291465933,0.3294786484694515,0.3294786484694515,0.26696331583041827,0.2669633158304182,0.17009129070200174,0.17009129070200169,0.06623146955965081,0.06623146955965076,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017338707744300637,0.0017338707744300637,0.0013085122744018083,0.45963394419107384,0.0013043738450139058,0.02643704060202668,0.0012567659969363685,0.026434734449899536,0.6394736947203203,0.6394736947203203,0.001094999397557399,0.26346989222110384,0.10979151999564732,0.0010496263072869829,0.10978980777987002,0.0008519065507035526,0.4290209841319056,0.4290209841319056,0.37493173810601843,0.3749317381060183,0.0006205232590492137,0.2634683474963063,0.3294786484694515,0.32947864846945163,0.00048076837462176364,0.4596323330516479,0.17009129070200174,0.17009129070200169,0.06623146955965079,0.06623146955965073,2.7755575615628914e-17,5.421010862427522e-20,0.0,1.2479167005308156e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,3.2526065174565133e-19,0.0,5.421010862427522e-20,1.0842021724855044e-19,1.0842021724855044e-19,5.551115123125783e-17,1.3877787807814457e-17,6.938893903907228e-17,8.44375050510045e-18,8.326672684688674e-17,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,1.0842021724855044e-19,2.710505431213761e-20,1.3877787807814457e-17,8.664673903101112e-18,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0007193719662816408,0.0007193719662816408,0.000542893427596705,0.4596335858065697,8.68682711844833e-05,2.1006115979898295e-05,0.00026397315016661105,2.100580054514638e-05,0.0005081255059694676,0.0005081255059694676,8.686795691566687e-05,0.00020935268855865781,0.1097908849494943,0.0004354832849536738,0.10979059021445517,0.0003534506143742282,0.0003408998781863673,0.05408936438968757,0.00029792058798048745,0.05408911058642208,0.0002639729042801178,0.000209352477271693,0.32947864846945146,0.3294786484694515,0.0001994677435470186,0.4596333084704721,0.10385984205124615,0.0001351544619622772,0.10385976744550554,5.262749548410709e-05,1.3877787807814457e-17,1.3234889800848443e-23,0.0,3.3881317890172014e-20,2.710505431213761e-20,2.6469779601696886e-23,3.469446951953614e-18,1.3877787807814457e-17,0.0,6.776263578034403e-21,3.970466940254533e-23,1.3234889800848443e-23,0.0,0.0,0.0,6.938893903907228e-18,5.421010862427522e-20,9.278819563684426e-18,6.938893903907228e-18,6.776263578034403e-21,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-20,2.710505431213761e-20,6.776263578034403e-21,0.0,9.27882031462321e-18,0.0,2.710505431213761e-20,0.0,0.0,0.0,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.3959583679838642e-06,0.00035665299028449536,1.8081745074070892e-06,0.0022316028906520513,5.9591049667810384e-05,4.8857926942008214e-05,8.791953488951468e-07,4.885791294745991e-05,6.859859623882338e-05,6.859859623882335e-05,5.9591045738555066e-05,6.8483057694137e-05,0.2196839500427193,1.4504315842262725e-06,0.2196840454627415,0.00024246513681295152,4.8858421965618655e-05,0.0002626129523308748,6.848319048427628e-05,0.0002626129298718548,8.791953339689615e-07,6.848304955402645e-05,0.21968912746957003,0.0015996776348514642,0.0003566455610635429,0.0022316022569973124,0.10385982152343387,1.824629202255156e-05,0.10385982016367892,7.104883087667099e-06,2.168404344971009e-19,3.308722450212111e-24,0.0,6.877854592145715e-18,1.0164395367051604e-20,1.2924697071141057e-26,1.3552527156068805e-19,1.0842021724855044e-19,5.421010862427522e-20,5.293955920339377e-23,0.0,3.308722450212111e-24,6.462348535570529e-27,0.0,2.6469779601696886e-23,6.938893903907228e-18,3.3087224502121107e-23,7.411249406993731e-18,5.421010862427522e-20,2.6469779601696886e-23,1.3552527156068805e-20,6.462348535570529e-27,1.0587911840678754e-22,7.940933880509066e-23,1.3552527156068805e-20,0.0,3.3881317890172014e-21,7.411249372383713e-18,0.0,5.293955920339377e-23,0.0,0.0,0.0,1.0164395367051604e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164395367051604e-20,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9058241313221758e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.146872147915637e-06,0.0015422910223246511,3.20600760809392e-07,6.755167949647981e-06,0.0001534061669227338,7.587343559128351e-06,7.877933198254763e-07,7.587325582391828e-06,1.2465470972189098e-05,1.24654709721891e-05,0.00015340616658872418,9.129038582276212e-06,0.0019105495934460918,3.204903415430049e-07,0.00191055509284415,0.0015422784802826604,7.587334945005183e-06,7.949415087048162e-07,9.129024261627258e-06,7.949415064599174e-07,7.877933193838422e-07,9.129025893390043e-06,0.0019105550484646925,4.842298105431792e-06,0.0015422895965496446,6.755155238186418e-06,0.0009032365459940484,9.128428259896626e-06,0.0009032365456035661,7.586950368562098e-06,2.710505431213761e-20,8.271806125530277e-25,0.0,9.740878893424454e-20,8.470329472543003e-22,1.6155871338926322e-27,2.710505431213761e-20,0.0,2.710505431213761e-20,2.0679515313825692e-25,0.0,8.271806125530277e-25,1.6155871338926322e-27,1.6543612251060553e-24,6.462348535570529e-27,1.0842021724855044e-19,0.0,3.144010977490777e-18,0.0,2.0679515313825692e-25,0.0,8.077935669463161e-28,8.271806125530277e-25,4.1359030627651384e-25,0.0,0.0,0.0,3.144010972510423e-18,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2407709188295415e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0586286829562603e-11,7.335788736857308e-07,1.5807882678848935e-12,6.011213058036254e-08,7.296532877676952e-08,9.778788808649119e-08,3.884675440133302e-12,9.778788808643878e-08,1.606595518219544e-07,1.6065955182195444e-07,7.296532877674313e-08,1.1765681704601803e-07,9.718789646212645e-07,1.5807161980751963e-12,9.718789633771304e-07,7.335788763024236e-07,9.778788809940828e-08,4.118601546650223e-09,1.1765681704372062e-07,4.1186015466482905e-09,3.88467544013294e-12,1.1765681704598103e-07,9.718783783189652e-07,6.012221839610094e-08,7.335788736128451e-07,6.011213058035256e-08,4.5946605032797575e-07,1.1765681704173273e-07,4.594660503279427e-07,9.778788809812537e-08,4.235164736271502e-22,3.1554436208840472e-30,7.888609052210118e-31,9.264382470915563e-23,6.617444900424222e-24,0.0,2.117582368135751e-22,8.470329472543003e-22,2.117582368135751e-22,7.888609052210118e-31,1.925929944387236e-34,1.8932661725304283e-29,0.0,6.310887241768095e-30,0.0,5.293955920339377e-23,0.0,3.0747829511427656e-18,6.617444900424222e-24,1.1832913578315177e-30,5.169878828456423e-26,0.0,0.0,1.9721522630525295e-31,5.169878828456423e-26,5.169878828456423e-26,1.262177448353619e-29,3.0747829511433125e-18,0.0,4.0389678347315804e-28,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,5.048709793414476e-29,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.625676216319496e-17,4.427504020358413e-09,9.89373455115067e-18,6.232991815246624e-11,4.403811240702748e-10,4.098826456034211e-09,2.431315350918429e-17,4.098826456034211e-09,6.734122540278093e-09,6.7341225402780944e-09,4.403811240702745e-10,4.931642188416845e-09,9.372192294013078e-09,9.893283481990322e-18,9.372192293967749e-09,4.4275040205149815e-09,4.098826456034211e-09,4.27235143108269e-12,4.931642188416845e-09,4.272351431082687e-12,2.4313153509184284e-17,4.931642188416845e-09,9.372192293382709e-09,6.2330019031447e-11,4.427504020358413e-09,6.232991815246624e-11,4.430804950884146e-09,4.9316421884168385e-09,4.430804950884146e-09,4.098826456034206e-09,0.0,1.5407439555097887e-33,4.81482486096809e-35,8.223338511513498e-25,0.0,4.591774807899561e-41,2.0679515313825692e-25,0.0,6.203854594147708e-25,3.009265538105056e-36,4.591774807899561e-41,3.0814879110195774e-33,0.0,3.0814879110195774e-33,4.81482486096809e-35,8.271806125530277e-25,0.0,5.590007609967028e-19,4.8467614016778965e-27,0.0,0.0,4.591774807899561e-41,0.0,4.513898307157584e-36,0.0,8.077935669463161e-28,0.0,5.59000760996703e-19,2.4704036910887833e-15,0.0,4.246581784197996e-29,7.119408933637559e-17,8.829817057344874e-20,0.0,1.0316681389931029e-19,5.874056684965446e-17,5.322663498354699e-28,3.3750061132517636e-32,8.302517157145235e-23,1.0967630565457823e-24,7.325402893929074e-27,3.084677162074568e-32,8.477287797886532e-23,1.3663437610037155e-24,9.899212643865592e-27,1.372460072907292e-10,0.0,1.1479437019748901e-41,9.183549615799121e-41,1.1479437019748901e-41,1.8367099231598242e-40,1.8367099231598242e-40,1.6195597286930893e-24,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,8.077935669463161e-28,6.162975822039155e-32,0.0,1.3866649044593034e-27,2.0799443648030534e-15,4.622231866529366e-33,7.703719777548943e-33,4.622231866529366e-33,1.232595164407831e-32,1.232595164407831e-32,3.0814879110195774e-33,7.119408933637559e-17,8.832222473826356e-20,1.1468922594486913e-16,2.407412430484045e-35,2.407412430484045e-35,2.407412430484045e-35,0.0,0.0,0.0,1.031668138993103e-19,5.874056715028619e-17,5.216211385304681e-28,1.0845175966191516e-18,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,3.5865037161153523e-32,6.678614279386881e-23,2.030159484104064e-24,2.2349935008626155e-26,1.4517870187983977e-16,0.0,0.0,0.0,1.232595164407831e-32,0.0,3.3897383797406366e-32,4.560198923354503e-23,1.975758544280333e-24,2.1426251235373468e-26,1.3724600729073007e-10,1.2950688248396147e-16
7,6.625676216319483e-17,4.427504020316428e-09,9.893734551150617e-18,6.232988756721346e-11,4.403811240632594e-10,4.098826456034211e-09,2.4313153509184154e-17,4.098826456034211e-09,6.734122540278093e-09,6.7341225402780944e-09,4.403811240632591e-10,4.931642188416846e-09,1.017683168971019e-08,9.893283481989863e-18,1.017683168966486e-08,4.427504020486439e-09,4.0988264560342115e-09,4.272347831838348e-12,4.931642188416846e-09,4.272347831838345e-12,2.4313153509184148e-17,4.931642188416846e-09,1.017683168907982e-08,6.232999710705025e-11,4.427504020316428e-09,6.232988756721346e-11,4.81120690023377e-09,4.931642188416837e-09,4.81120690023377e-09,4.098826456034206e-09,0.0,7.703719777548943e-34,0.0,3.1342389935293878e-25,2.0679515313825692e-25,0.0,0.0,0.0,2.0679515313825692e-25,3.009265538105056e-36,0.0,0.0,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,4.81482486096809e-35,5.590007608647678e-19,3.2311742677852644e-27,3.009265538105056e-36,4.0389678347315804e-28,0.0,1.2037062152420224e-35,1.504632769052528e-36,4.0389678347315804e-28,2.0194839173657902e-28,0.0,5.59000760864768e-19,2.498693150915703e-15,4.622231866529366e-33,4.433530709082807e-29,7.416480159146743e-17,9.198253868069638e-20,1.0339757656912846e-25,1.0747034232091175e-19,6.119163159733122e-17,5.545911819596551e-28,3.5158348274944384e-32,8.368358943643479e-23,1.142527634673105e-24,7.631060319907027e-27,3.2133913344031876e-32,8.550200243740272e-23,1.423357119929035e-24,1.0312261119271866e-26,1.4297286469410004e-10,0.0,1.1479437019748901e-41,9.183549615799121e-41,3.4438311059246704e-41,0.0,0.0,1.6871390179250922e-24,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,2.0194839173657902e-28,4.930380657631324e-32,2.465190328815662e-32,1.4444186748532864e-27,2.091941152609774e-15,9.244463733058732e-33,3.0814879110195774e-33,9.244463733058732e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,7.416480159146743e-17,9.200623760290653e-20,1.1947485763025248e-16,2.407412430484045e-35,2.407412430484045e-35,2.407412430484045e-35,0.0,0.0,2.407412430484045e-35,1.0747034232091175e-19,6.119163189555506e-17,5.432760516704811e-28,1.129766115462112e-18,0.0,1.232595164407831e-32,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,3.7361575804401063e-32,6.804646575794901e-23,2.114871849028105e-24,2.3282476559184653e-26,1.512365664406064e-16,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,0.0,3.5311818265362214e-32,4.6589685451926506e-23,2.058200923857236e-24,2.2320241343773555e-26,1.4297286469410098e-10,1.3491080980674723e-16
8,4.242858335545059e-17,4.427504018471895e-09,6.335612042349827e-18,3.991360312929625e-11,4.4038112394909545e-10,4.098826456034204e-09,1.5569318917145635e-17,4.098826456034204e-09,6.734122540278085e-09,6.734122540278088e-09,4.4038112394909514e-10,4.931642188416837e-09,9.464796775190984e-09,6.335323189007201e-18,9.464796775236317e-09,4.4275040183137745e-09,4.098826456034204e-09,2.7358666386326706e-12,4.931642188416837e-09,2.735866638632668e-12,1.5569318917145635e-17,4.931642188416837e-09,9.464796775449477e-09,3.9913537891526037e-11,4.427504018471895e-09,3.991360312929625e-11,4.474584718097958e-09,4.93164218841683e-09,4.474584718097958e-09,4.098826456034199e-09,0.0,0.0,0.0,1.033975750283845e-25,0.0,2.2958874039497803e-41,1.0339757656912846e-25,0.0,2.0679515313825692e-25,2.256949153578792e-36,0.0,4.622231866529366e-33,0.0,3.0814879110195774e-33,2.407412430484045e-35,4.1359030627651384e-25,2.407412430484045e-35,5.589146044139276e-19,0.0,1.504632769052528e-36,0.0,1.1479437019748901e-41,6.018531076210112e-36,0.0,4.0389678347315804e-28,0.0,0.0,5.589146044139276e-19,3.129405657772961e-15,1.5407439555097887e-33,6.759312553764109e-29,1.0940875676404761e-16,2.118905487495346e-19,1.0339757656912846e-25,2.4755902117811064e-19,9.027058929464722e-17,8.204847212291497e-28,5.18659944516393e-32,8.270114984506354e-23,2.632040922076109e-24,1.1257387962136447e-26,4.740431375445905e-32,8.286457613868018e-23,3.27898780961937e-24,1.521259859335776e-26,3.29366589890176e-10,4.1359030627651384e-25,4.591774807899561e-41,9.183549615799121e-41,9.183549615799121e-41,1.8367099231598242e-40,1.8367099231598242e-40,2.488886637604843e-24,0.0,9.860761315262648e-32,9.860761315262648e-32,3.944304526105059e-31,3.944304526105059e-31,0.0,0.0,0.0,2.128643367328242e-27,2.196640251815181e-15,3.389636702121535e-32,1.5407439555097887e-32,3.389636702121535e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,1.0940875676404761e-16,2.1192966019919573e-19,2.752342303558348e-16,2.407412430484045e-35,1.2037062152420224e-34,2.407412430484045e-35,0.0,0.0,0.0,2.4755902117811064e-19,9.027058957155811e-17,7.991762145751999e-28,1.6665405394868831e-18,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,1.5407439555097887e-33,5.511622071583025e-32,4.6249422496872565e-23,4.872030295867391e-24,3.434575623092094e-26,3.4840367969031256e-16,0.0,0.0,0.0,0.0,0.0,5.209239515379469e-32,2.8051337794983734e-23,4.741477484796885e-24,3.2925996762043805e-26,3.2936658989017816e-10,3.10794033962233e-16
9,4.2428583362109096e-17,4.427504018936415e-09,6.335612035694051e-18,3.9913284397540395e-11,4.403811239490974e-10,4.098826456034211e-09,1.5569318917145696e-17,4.098826456034211e-09,6.7341225402780944e-09,6.734122540278096e-09,4.403811239490971e-10,4.931642188416847e-09,3.629622201241821e-09,6.335323186305676e-18,3.6296222011964915e-09,4.4275040189970505e-09,4.098826456034211e-09,2.735829130574762e-12,4.931642188416847e-09,2.7358291305747595e-12,1.5569318917145696e-17,4.931642188416847e-09,3.6296222009833312e-09,3.99133094153476e-11,4.427504018936415e-09,3.9913284397540395e-11,1.715943027465044e-09,4.931642188416845e-09,1.7159430274650436e-09,4.09882645603421e-09,0.0,2.311115933264683e-33,0.0,6.195776673885684e-25,0.0,0.0,1.0339757656912846e-25,0.0,1.0339757656912846e-25,2.256949153578792e-36,2.2958874039497803e-41,3.0814879110195774e-33,0.0,0.0,2.407412430484045e-35,0.0,0.0,5.589146037377808e-19,8.077935669463161e-28,3.009265538105056e-36,0.0,1.1479437019748901e-41,6.018531076210112e-36,0.0,0.0,6.058451752097371e-28,3.0814879110195774e-33,5.58914603737781e-19,2.2659814313894763e-15,1.5407439555097887e-33,9.163401855372055e-30,1.6534556723503214e-17,3.2028415579193843e-20,2.0679515313825692e-25,3.743857208978607e-20,1.3642273342601385e-17,1.2272633196494397e-28,7.838323404485042e-33,8.356256934038671e-23,3.977709905650224e-25,1.7013093743780376e-27,7.164045463126252e-33,8.492209939237986e-23,4.955417745430575e-25,2.2991135529294384e-27,4.977600209604201e-11,4.1359030627651384e-25,0.0,0.0,1.1479437019748901e-41,2.2958874039497803e-41,2.2958874039497803e-41,3.7613659155188103e-25,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,1.9721522630525295e-31,2.0194839173657902e-28,1.232595164407831e-32,0.0,3.228438383352392e-28,2.125015975931438e-15,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,0.0,0.0,0.0,1.6534556723503214e-17,3.205646244389164e-20,4.1595171229304056e-17,6.018531076210112e-36,6.018531076210112e-36,6.018531076210112e-36,0.0,0.0,0.0,3.743857208978607e-20,1.3642273557922448e-17,1.2197795657875622e-28,2.5192369216047994e-19,0.0,1.5407439555097887e-33,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,8.329518548110477e-33,6.208355058198838e-23,7.362926248814095e-25,5.191037117703344e-27,5.2653009815753416e-17,0.0,0.0,0.0,0.0,0.0,7.8725385389281e-33,4.149755738515875e-23,7.165626426822679e-25,4.976642693870564e-27,4.977600209604233e-11,4.6969197729004384e-17
