,Y3Z1,Y1Z3,Y1Z4,Y4Z1,Y1Z5,Y5Z1,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y1Z0,Y0Z1,Y3Z2,Y2Z3,Y5Z4,Y4Z5,Y3Z4,Y4Z3,Y0Z4,Y4Z0,Y3Z5,Y5Z3,Y2Z0,Y0Z2,Y0Z5,Y5Z0,X4Y3,X0Y3,Y4,X5Y3,X4Y5,X3Y5,X3Y4,X3Y2,X2Y4,X3Y1,X2Y1,X4Y1,X1Y5,standard_y,Y1,X5Y1,X1Y2,X1Y0,X1Y4,X1Y3,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.917955043087719,0.9179550430877188,0.8004523514958085,0.8004523514958084,0.7651626025054384,0.7651626025054383,0.5366800081748135,0.5366800081748135,0.40159101448507484,0.4015910144850748,0.3960582426106811,0.396058242610681,0.2766826434414502,0.2766826434414502,0.23604808973743452,0.23604808973743452,0.2219281756903177,0.22192817569031764,0.21440043257891656,0.21440043257891653,0.17266452928536896,0.1726645292853689,0.15497227080241027,0.15497227080241024,0.10618329243153023,0.10618329243153017,0.10316603423071585,0.1031660342307158,0.06651509567958991,0.06651509567958985,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.85722573273506e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0007049244260948317,0.000704924426094832,0.0006146906852828537,0.6277878731218927,0.0005875906587168576,0.6589793413828616,0.5366800081748135,0.5366800081748135,0.179662904231972,0.0003083934420780569,0.00030414466533496963,0.1600102224738256,0.2766826434414501,0.2766826434414502,0.0001812682063701476,0.16001003609245373,0.0001704251129298722,0.17966272038258452,0.21440043257891647,0.21440043257891656,0.00013259412335053973,0.6277875861909603,0.15497227080241027,0.15497227080241016,8.15412443580893e-05,0.6589790844598806,0.10316603423071581,0.1031660342307158,0.06651509567958991,0.06651509567958991,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.551115123125783e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,0.0,3.469446951953614e-17,2.710505431213761e-20,1.3552527156068805e-20,1.6940658945086007e-21,1.3875754928741046e-16,3.3881317890172014e-20,0.0,6.776263578034403e-21,6.776263578034403e-21,3.3881317890172014e-21,6.938893903907228e-18,3.3881317890172014e-21,0.0,1.1102230246251565e-16,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.974853243153262e-05,1.1633782340334928e-08,1.0144601853034772e-08,0.4133873945403687,9.697354178228915e-09,0.00013627775263863807,0.5366800081748135,0.5366800081748135,0.09701979831353308,5.089598327863413e-09,2.4271990564164512e-05,0.22652524744887761,5.7218319686972214e-05,0.09701980807174246,2.9915758059563097e-09,0.22652524638677773,1.3600622349810848e-05,0.09701979896484275,4.433827991426422e-05,0.41338737653153634,1.0581554364215017e-05,0.41338739311560707,0.15497227080241027,0.15497227080241024,4.974853108944357e-05,0.00013627775230025667,0.10316603423071574,0.1031660342307158,0.22652524438753735,1.3755405692477767e-05,3.3881317890172014e-21,3.3881317890172014e-21,5.551115123125783e-17,0.0,1.3552527156068805e-20,1.6543612251060553e-24,3.3881317890172014e-21,1.6940658945086007e-21,0.0,1.0164395367051604e-20,0.0,6.203854594147708e-25,4.235164736271502e-22,6.244665772715907e-17,7.237830359838992e-25,1.6940658945086007e-21,4.1359030627651384e-25,1.0339757656912846e-25,0.0,8.470329472543003e-21,3.618915179919496e-25,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.7850273692393774e-05,3.692853579175249e-10,1.604584899060654e-10,0.0002559152899859333,3.0781828332340694e-10,1.2055951996948347e-05,0.00033224191966364504,0.000332241919663645,6.006194681561417e-05,1.604583972425275e-10,8.709034310272093e-06,0.22652524858269196,1.1394467598943731e-06,6.0061946862892515e-05,9.496010067249748e-11,0.2265252484459523,1.0832726826070783e-06,6.006194686752474e-05,1.1394450382923527e-06,0.0002559152898986809,1.0832710199294148e-06,0.0002559152898723772,0.05180625634069902,9.593851822640588e-05,1.7850273688625013e-05,1.205595199309434e-05,6.38668866639309e-05,0.05180620687541359,0.22652524843030578,1.2168861575705392e-06,1.6543612251060553e-24,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,1.0587911840678754e-22,1.262177448353619e-29,3.1554436208840472e-30,2.117582368135751e-22,3.3881027084487913e-21,2.908056841006738e-26,0.0,4.733165431326071e-30,3.6895082315085054e-27,0.0,1.0587911840678754e-22,5.628352691730824e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,2.0679515313825692e-25,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
4,4.428975907373585e-11,6.100602584939468e-13,3.568367339546588e-13,4.3249229344134724e-07,6.845439722337926e-13,9.730251155093129e-07,4.083857176177003e-07,4.083857176177004e-07,4.676962436208301e-09,3.5683673395434746e-13,2.1608690041520082e-11,1.852799252959115e-05,8.353221604017142e-08,4.676962435825369e-09,6.100602550405372e-13,1.8527992529580856e-05,2.6877937407986532e-12,4.676962436167049e-09,8.353221603998074e-08,4.3249229344066474e-07,2.6877937407924227e-12,4.3249229344124496e-07,4.237344712429918e-06,4.324922927834864e-07,4.428975907368559e-11,9.730251155090727e-07,4.676962945711395e-09,4.237344712423805e-06,1.8527992529573978e-05,9.7302511285113e-07,3.0814879110195774e-33,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,7.703719777548943e-34,5.551115123125783e-17,1.6155871338926322e-27,0.0,4.81482486096809e-35,0.0,8.27116746374141e-23,7.573064690121713e-29,0.0,1.2037062152420224e-35,1.739848194245836e-33,5.266214691683848e-36,4.8467614016778965e-27,7.273787504225999e-34,0.0,1.0587911840678754e-22,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,2.0194839173657902e-27,0.0,0.0,0.0,0.0,0.0,0.0
5,9.596830746891755e-13,2.4131538587199346e-15,1.4115030940866667e-15,8.036309107817177e-09,2.707781578888599e-15,1.3207623621157264e-07,7.588375350892736e-09,7.588375350892769e-09,8.690448007365992e-11,1.411503094086666e-15,9.60199098215677e-13,1.4465142075380696e-08,1.1338474740015978e-08,8.690448007352902e-11,2.413153858730597e-15,1.4465142075389433e-08,3.9122449889272715e-14,8.690448007365928e-11,1.1338474740015975e-08,8.036309107816944e-09,3.912244988927265e-14,8.036309107817175e-09,3.308172387794284e-09,8.036309107817167e-09,9.59683074689157e-13,1.320762362115726e-07,8.690448007366504e-11,3.308172387794283e-09,1.4465142075389333e-08,1.3207623621157237e-07,1.504632769052528e-36,0.0,0.0,1.2037062152420224e-35,1.9721522630525295e-31,1.2037062152420224e-35,0.0,3.76158192263132e-37,5.551115123125783e-17,9.860761315262648e-32,0.0,1.4693679385278594e-39,0.0,1.0329660237326017e-25,0.0,0.0,1.4693679385278594e-39,3.2610698029405645e-36,6.428484731059385e-40,2.9582283945787943e-31,3.2594833537127454e-36,2.002646734762067e-13,0.0,3.4803109662889933e-22,2.472865787813774e-26,1.7426732049192162e-27,1.0097419586828951e-28,1.5558650309679924e-22,2.982800287182105e-08,6.206830437940925e-28,1.0339757656912846e-25,1.1467194742698476e-15,3.6985693237852386e-30,2.9857944255081514e-20,6.821028048741925e-30,6.86690126579599e-20,1.6656985540405125e-22,7.753693313176913e-16,6.998677894228105e-21,3.060016497904191e-26,0.0,0.0,7.888609052210118e-31,0.0,7.888609052210118e-31,7.888609052210118e-31,1.9721522630525295e-31,0.0,1.9721522630525295e-31,9.108973812265124e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6524808286489645e-22,8.153379564316277e-16,1.2037062152420224e-35,2.256949153578792e-36,2.256949153578792e-36,6.018531076210112e-36,6.018531076210112e-36,8.271806125530277e-25,2.615619263473276e-26,1.9776014696250105e-27,8.041381175861112e-20,2.465190328815662e-32,1.0785207688568521e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,2.2841508503500066e-22,2.982800287182105e-08,1.512715625553594e-27,3.843641929169361e-16,1.1754943508222875e-38,1.1754943508222875e-38,1.1754943508222875e-38,1.1754943508222875e-38,1.1754943508222875e-38,1.146719474269867e-15,7.300274430521137e-30,2.985794425508124e-20,9.773717408353694e-30,4.0393316136358934e-22,0.0,6.310887241768095e-30,0.0,6.310887241768095e-30,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,1.1438900127474828e-20,1.593966137883913e-22,7.75369330632649e-16,4.627449978755363e-21,2.855961000549765e-26,2.0817386512924466e-13
6,1.7899435010291104e-12,2.2022463818474185e-16,1.2881389922232796e-16,6.5016618300074365e-09,2.4711239038886045e-16,6.46476317987347e-09,6.139267381175911e-09,6.139267381175937e-09,7.030883622950049e-11,1.2881389922232796e-16,1.7905710615775708e-12,9.435303615021566e-09,5.549866964542898e-10,7.030883622949994e-11,2.2022463818537669e-16,9.43530361505195e-09,7.29818683252729e-14,7.030883622949865e-11,5.549866964542894e-10,6.5016618300074365e-09,7.29818683252729e-14,6.501661830007432e-09,2.1578502808368387e-09,6.50166183000743e-09,1.7899435010291104e-12,6.464763179873465e-09,7.030883622950064e-11,2.1578502808368383e-09,9.43530361505195e-09,6.46476317987346e-09,1.504632769052528e-36,0.0,0.0,1.504632769052528e-36,6.162975822039155e-33,1.504632769052528e-36,0.0,3.76158192263132e-37,0.0,1.232595164407831e-32,1.8367099231598242e-40,1.8367099231598242e-40,0.0,3.887506540929146e-26,0.0,0.0,9.183549615799121e-41,1.9481554142353312e-37,8.322591839317954e-41,3.0814879110195774e-33,1.945128161136881e-37,2.0462299373799306e-13,0.0,9.25816065610508e-23,1.5354951735814626e-26,2.6298136838137106e-27,1.0097419586828951e-28,5.324505883453965e-23,2.982800287181888e-08,9.366554677963685e-28,3.877409121342317e-26,2.1380120225629032e-15,1.8364150680727075e-30,1.9188994302313476e-20,2.282790688314228e-30,1.4265776763408855e-20,1.3659587388495379e-22,1.4456447191125247e-15,5.667221726166235e-21,1.1433853826892027e-26,0.0,9.860761315262648e-32,0.0,9.860761315262648e-32,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,6.162975822039155e-33,4.634767665810964e-15,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,8.411707757338665e-23,6.596376021338901e-16,0.0,3.009265538105056e-36,0.0,0.0,0.0,0.0,1.1258776255084235e-26,2.9843637005658435e-27,1.4999043600358274e-19,0.0,6.162975822039155e-33,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,6.783947002505016e-23,2.982800287181888e-08,2.2828098318615597e-27,3.1096439526932414e-16,0.0,5.877471754111438e-39,5.877471754111438e-39,2.938735877055719e-39,1.1754943508222875e-38,2.1380120225629032e-15,3.0597782932413964e-30,1.9188994302313115e-20,3.540756721311928e-30,2.051336111471319e-22,0.0,1.262177448353619e-29,1.262177448353619e-29,0.0,1.262177448353619e-29,0.0,0.0,0.0,1.830152125277756e-20,1.1647250117882783e-22,1.4456447178370715e-15,3.752707829719209e-21,1.1104265597275917e-26,2.082870096210984e-13
7,3.2641832285618742e-12,9.408825867027314e-16,5.503414877540481e-16,6.5016618300074034e-09,1.055757190095687e-15,1.5156654936435234e-08,6.139267381175879e-09,6.139267381175904e-09,7.030883622950258e-11,5.503414877540481e-16,3.2653268292810837e-12,9.435303628453295e-09,1.3011678260170112e-09,7.030883622950126e-11,9.408825867054454e-16,9.435303628554267e-09,1.3309149054933816e-13,7.03088362294965e-11,1.3011678260170096e-09,6.501661830007402e-09,1.3309149054933816e-13,6.5016618300073885e-09,2.157850283916097e-09,6.501661830007385e-09,3.2641832285618742e-12,1.5156654936435194e-08,7.03088362294985e-11,2.1578502839160967e-09,9.435303628554265e-09,1.5156654936435187e-08,3.009265538105056e-36,0.0,4.1359030627651384e-25,0.0,1.232595164407831e-32,3.009265538105056e-36,3.009265538105056e-36,7.52316384526264e-37,5.551115123125783e-17,1.232595164407831e-32,1.4693679385278594e-39,3.6734198463196485e-40,3.308722450212111e-24,2.8303067594919616e-24,4.930380657631324e-32,3.308722450212111e-24,2.7550648847397363e-40,6.724357355102224e-37,4.591774807899561e-41,1.8488927466117464e-32,6.72209736896493e-37,2.069980121136781e-13,1.6543612251060553e-24,4.25462766982122e-23,1.4231499808198278e-26,5.204596948326078e-27,2.0194839173657902e-28,2.9584749700468875e-23,2.982800287181545e-08,2.0261665034225307e-27,6.462348535570529e-26,3.89608953299696e-15,1.3043746396986062e-30,1.4352774960336314e-20,3.3749646458206913e-31,2.5539331696017532e-20,1.396278007860766e-22,2.6343917616610053e-15,5.666955113795151e-21,3.815224572073269e-27,8.271806125530277e-25,0.0,1.9721522630525295e-31,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,6.162975822039155e-33,2.465190328815662e-32,3.143591531066868e-15,0.0,0.0,9.860761315262648e-32,0.0,0.0,5.551115123125783e-17,1.232595164407831e-32,2.8097926985231836e-23,1.0255664535699069e-15,0.0,3.009265538105056e-36,3.009265538105056e-36,0.0,0.0,3.308722450212111e-24,5.966499898550441e-27,6.430956226699e-27,2.7352611875120834e-19,4.930380657631324e-32,1.0785207688568521e-32,0.0,0.0,0.0,0.0,3.009265538105056e-36,6.162975822039155e-33,2.9942818061188017e-23,2.982800287181545e-08,5.151585879426361e-27,6.768932467054559e-16,1.7632415262334313e-38,2.938735877055719e-39,0.0,0.0,0.0,3.896089532996961e-15,1.7858970236535624e-30,1.4352774960335655e-20,1.549367156894197e-30,1.4914628974563784e-22,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,1.232595164407831e-32,3.0814879110195774e-33,1.6469965757596713e-20,1.317820640505844e-22,2.6343917593333702e-15,3.740211543626311e-21,4.3463328719264e-27,2.0843887056749713e-13
8,2.952930212735715e-13,4.984446462041226e-16,4.985907738250728e-16,3.1968142915850147e-09,5.451655681696495e-16,2.001741132288536e-09,3.1968142510951838e-09,2.7499604856612646e-08,2.749960437804682e-08,4.98590773825075e-16,2.96565267137308e-13,7.150123308348415e-09,2.0017407720787447e-09,2.7499604378046773e-08,4.984446461967079e-16,7.150123308345325e-09,2.9513750064970914e-13,2.749960437804682e-08,2.001740772078782e-09,3.1968142915845556e-09,2.9513750064970904e-13,3.19681429158501e-09,7.150123032708565e-09,3.1968142915853828e-09,2.952930212735699e-13,2.0017411322885325e-09,2.749960437804023e-08,7.150123032708749e-09,7.150123308345863e-09,2.0017411323005854e-09,1.504632769052528e-36,0.0,4.1359030627651384e-25,0.0,1.9721522630525295e-31,3.009265538105056e-36,0.0,9.4039548065783e-38,0.0,7.888609052210118e-31,1.4693679385278594e-39,5.510129769479473e-40,2.0679515313825692e-25,1.0340515209900891e-24,2.465190328815662e-32,4.1359030627651384e-25,1.4693679385278594e-39,4.243758943142209e-37,3.2142423655296924e-40,7.888609052210118e-31,4.2015229105964414e-37,2.581238263515271e-07,2.0679515313825692e-25,5.852342905109005e-15,2.8084224902499275e-20,2.0738459930994635e-20,7.573064690121713e-29,6.420401257268589e-16,2.5758187562424035e-08,2.190979084790541e-21,1.6543612251060553e-24,1.5268500917023312e-09,4.88358885170481e-23,4.4413302083096145e-15,1.3159273743958741e-22,2.933656273024174e-14,9.56317890453095e-16,5.034185614517427e-09,2.2580053405746568e-14,3.2943999223164422e-21,4.1359030627651384e-25,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,9.860761315262648e-32,0.0,9.148695100855655e-08,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,3.944304526105059e-31,5.731753188930143e-15,1.919035977283979e-08,2.524354896707238e-29,5.048709793414476e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,8.271806125530277e-25,1.44112852058639e-20,2.0229730514574216e-20,3.1197733543660193e-13,0.0,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,9.860761315262648e-32,2.256949153578792e-36,0.0,2.1868034655262378e-15,2.5758188089085696e-08,7.949771238192848e-21,3.0375220611303507e-09,0.0,0.0,2.465190328815662e-32,0.0,4.930380657631324e-32,1.5268500917023656e-09,2.8844961857638786e-23,4.441330208309288e-15,1.0723030844186999e-22,7.282697716407074e-16,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,0.0,2.7953548580625925e-14,2.5659981457933292e-15,5.034185614650319e-09,1.583456187143981e-14,3.0883550192972825e-21,1.4440930475806603e-07
9,3.8089485226746733e-13,7.410853475999057e-16,7.967066943943273e-16,2.5132278209941315e-09,7.618479341749336e-16,2.1551601383733833e-08,2.513227789899681e-09,2.1619270137839392e-08,2.1619270406845366e-08,7.967066943943166e-16,3.8241152352970166e-13,4.132937539078419e-09,2.1551601264816045e-08,2.161927040684544e-08,7.41085614114594e-16,4.1329372653919605e-09,3.806978757267657e-13,2.161927040684546e-08,2.1551601264815906e-08,2.513227820993999e-09,3.806978757267658e-13,2.5132278209941183e-09,4.132937233877115e-09,2.5132278209927907e-09,3.8089485193669404e-13,2.1551601302917083e-08,2.1619270406842885e-08,4.13293723387718e-09,4.13293726539226e-09,2.1551601302927088e-08,0.0,1.6543612251060553e-24,2.0679515313825692e-25,1.5777218104420236e-30,0.0,7.888609052210118e-31,7.888609052210118e-31,7.888609052210118e-31,4.1359030627651384e-25,7.888609052210118e-31,2.9582283945787943e-31,7.395570986446986e-32,4.1359030627651384e-25,5.169853584907456e-24,0.0,4.1359030627651384e-25,0.0,2.0350301042595754e-30,9.860761315262648e-32,7.888609052210118e-31,2.479542491643525e-30,1.1159415037249351e-07,1.6543612251060553e-24,5.695202636828944e-15,1.2666393606389584e-14,1.7703625724426527e-16,2.524354896707238e-29,1.1006782477632167e-15,6.136504478245133e-09,7.66193430980671e-16,3.308722450212111e-24,1.9710825664055944e-09,4.2204804275395234e-17,9.417387701675461e-15,2.3141875197303357e-15,2.3935877953818944e-14,2.0822262479754025e-15,6.49884777156899e-09,1.1229301078397717e-14,1.321582028060368e-15,4.1359030627651384e-25,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,9.860761315262648e-32,4.930380657631324e-32,3.1554436208840472e-30,3.177700232619926e-08,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,4.1359030627651384e-25,3.1554436208840472e-30,6.076398462933928e-15,5.223786496110174e-08,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,1.3448642723125096e-14,1.9810779022546999e-16,7.65889954749686e-08,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,4.930380657631324e-32,2.9582283945787943e-31,0.0,2.8074816129150603e-16,6.136503297820246e-09,2.570021346425509e-15,2.993483995903411e-08,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,1.9710843300942107e-09,1.4486573575975741e-16,9.41739839995381e-15,5.579925414581489e-15,1.1246357747922056e-07,1.3234889800848443e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,2.98389940009801e-14,1.7988398318345133e-15,6.498848657181701e-09,6.297045766126501e-15,2.739751583241402e-15,1.2785412517563223e-07
