,Y4Z3,Y3Z4,Y1Z2,Y2Z1,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y3Z0,Y0Z3,Y0Z1,Y1Z0,Y5Z0,Y0Z5,Y5Z3,Y3Z5,Y4Z1,Y1Z4,Y2Z0,Y0Z2,Y4Z0,Y0Z4,Y5Z4,Y4Z5,Y4Z2,Y2Z4,Y2Z3,Y3Z2,Y1Z3,Y3Z1,X4Y2,standard_y,Y2,X3Y5,X2Y5,X0Y2,X5Y1,X1Y5,Y5,Y1,X5Y2,X5Y0,X4Y5,X4Y0,X3Y2,X2Y3,X2Y1,X1Y3,X0Y1,Y4,Y3,Y0,X4Y3,X3Y1,X2Y4,X1Y0,X1Y4,X0Y3,X4Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9797228526139108,0.9797228526139108,0.9703361491117535,0.9703361491117534,0.8252738498040315,0.8252738498040315,0.6764439534894835,0.6764439534894834,0.637411161443691,0.637411161443691,0.4975365687586023,0.4975365687586022,0.4731685799874552,0.4731685799874552,0.3193386437176482,0.3193386437176482,0.31737891751820513,0.31737891751820513,0.2661737230725407,0.2661737230725406,0.2424797541837627,0.24247975418376266,0.1889689867849543,0.18896898678495427,0.15331752856953768,0.15331752856953765,0.08524131722960764,0.08524131722960762,0.08518806501099681,0.08518806501099671,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.5102810375396984e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0022948414701089792,0.0022948414701089792,0.9703361491117533,0.9703361491117533,0.8252738498040315,0.8252738498040315,0.6764439534894835,0.6764439534894834,0.0014930319966393142,0.39493207244881556,0.4975365687586023,0.4975365687586023,0.4731685799874552,0.4731685799874552,0.13037017532677792,0.000747998845445335,0.0007434085054930288,0.23219108620158158,0.26617372307254067,0.26617372307254056,0.0005679693946896395,0.39492965866519425,0.1303687808986604,0.00044262912341137676,0.00035912137980377004,0.06807644518038877,0.06807579074763528,0.00019966392457143863,0.2321899818492446,0.00019953918990865362,0.0,1.111307226797642e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.3877787807814457e-17,1.3877787807814457e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,2.168404344971009e-19,0.0,1.3877787807814457e-17,5.421010862427522e-20,4.888250961406209e-17,5.421010862427522e-20,5.421010862427522e-20,0.0,4.163336342344337e-17,5.421010862427522e-20,0.0,1.1066458986097832e-17,2.710505431213761e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,5.786670251468559e-05,5.786670251468559e-05,0.0019706157376462707,0.0019706157376462707,0.1488312912745108,0.0016760146860244909,0.1488281944381802,0.001373762176749034,3.764828181806012e-05,0.39493140768288554,0.23136339458842808,0.0010104265345032598,0.4731685799874551,0.4731685799874552,0.1303696572623123,1.8861532369230704e-05,9.690199487406005e-06,0.000471546843637516,0.0005405612561325277,0.23136181966817837,1.432191130762101e-05,0.39493140614809247,0.1303696563756717,1.1161332119192462e-05,9.690142155505319e-06,0.00013825317529559859,0.00013825317445052165,3.155684270550791e-09,0.00047154684221145237,3.134925583082632e-09,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.710505431213761e-20,2.7755575615628914e-17,0.0,2.168404344971009e-19,0.0,8.470329472543003e-22,8.470329472543003e-22,6.617444900424222e-24,0.0,2.0816681711721685e-17,3.308722450212111e-24,7.96490256367344e-20,0.0,0.0,2.7755575615628914e-17,4.163336342344337e-17,0.0,0.0,4.3901236089803016e-21,3.308722450212111e-24,9.595295105615121e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.661360983403664e-05,6.661360983403663e-05,0.0021846179258337636,0.0021846179258337636,0.00047520440106689265,0.001258762877524262,0.00047519224898408214,0.00040279837097495307,2.1626592632662412e-05,0.001260976362688051,0.0007387205081287776,0.0004027848982380382,0.0015107798040771814,0.0015107798040771819,0.00041625723631841987,2.1626261043926627e-05,1.1154937549051583e-05,0.0005227552322938603,0.0012587503519450663,0.0007387143280923623,3.638385627593201e-06,0.0012609763561941814,0.00041625723256695073,3.638236096815352e-06,1.115485643842274e-05,0.00015326700152585286,0.00015326700028437702,3.6354204550417767e-09,0.0005227552301988753,3.606051985226676e-09,1.3234889800848443e-23,1.1096131609031334e-19,0.0,6.617444900424222e-24,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,5.421010862427522e-20,0.0,8.470329472543003e-22,0.0,3.308722450212111e-24,0.0,1.3234889800848443e-23,6.617444900424222e-24,2.7755575615628914e-17,1.6543612251060553e-24,8.248483970557387e-24,8.470329472543003e-22,1.6940658945086007e-21,5.421010862427522e-20,0.0,1.6543612251060553e-24,6.617444900424222e-24,1.7709520393244137e-23,2.481541837659083e-24,4.925117377671689e-24,5.790264287871194e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.216992739038805e-06,7.216992739038805e-06,6.112362395425846e-07,6.112362395425845e-07,6.529077467644693e-07,3.521895575111117e-07,6.529077467631624e-07,1.126977255998675e-07,2.3430371607790187e-06,1.7325401792909688e-06,1.0149748001069757e-06,1.1269772559275142e-07,2.0757619204823417e-06,2.075761920482342e-06,5.719237939785643e-07,2.343037160711201e-06,1.20853550536294e-06,1.4626216252380427e-07,3.521895575044958e-07,1.0149748001063108e-06,3.9417965882939955e-07,1.7325401791862402e-06,5.719237939180632e-07,3.94179658798817e-07,1.208535505362252e-06,4.288271385254394e-08,4.2882713848466774e-08,3.922750950930665e-10,1.4626216251692409e-07,3.922750948440388e-10,0.0,7.411538288475128e-22,1.0587911840678754e-22,4.0389678347315804e-28,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.2116903504194741e-27,2.4233807008389483e-27,4.0389678347315804e-28,3.0292258760486853e-28,2.7755575615628914e-17,1.0097419586828951e-28,4.615727339068752e-29,1.0587911840678754e-22,4.235164736271502e-22,1.0587911840678754e-22,2.7755575615628914e-17,2.524354896707238e-29,1.0097419586828951e-28,2.8909090180055075e-29,2.524354896707238e-29,6.066340361149581e-28,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2090445754569243e-08,1.2090445754569376e-08,7.105921802478427e-08,7.105921802478426e-08,1.4789793167514886e-08,4.094376762059805e-08,1.4789793167514403e-08,1.3101664685452889e-08,3.925231009285966e-09,3.924583684708841e-08,2.2991406424906555e-08,1.3101664685452465e-08,4.702056243183058e-08,4.7020562431830586e-08,1.2955328929876513e-08,3.925231009285908e-09,2.0246290246380865e-09,1.7003695499517077e-08,4.094376762059764e-08,2.2991406424906313e-08,6.603592319957004e-10,3.9245836847088395e-08,1.2955328929876508e-08,6.603592319956739e-10,2.024629024638071e-09,4.985326320506118e-09,4.985326320506118e-09,6.571685640881618e-13,1.7003695499517077e-08,6.571685640834055e-13,4.930380657631324e-32,1.4475660719677984e-24,0.0,6.162975822039155e-32,0.0,0.0,0.0,0.0,3.308722450212111e-24,2.0679515313825692e-24,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,3.0814879110195774e-32,1.3877787807814457e-17,2.465190328815662e-32,5.305184680402309e-32,2.0679515313825692e-25,0.0,0.0,0.0,1.8488927466117464e-32,2.465190328815662e-32,7.067561042793535e-32,1.0785207688568521e-32,3.6147297643717933e-32,0.0,1.0437355814862159e-13,3.2044465400543347e-21,2.5024843558080473e-21,1.4466316378833878e-09,1.6801645228391403e-22,2.0538987567619882e-21,2.331111783210903e-21,2.1852116811068453e-22,2.1456820848089177e-21,3.0599051464537315e-21,2.5593465224639693e-09,3.202008016305096e-09,5.386478617339926e-21,3.2825732738396487e-21,1.8386125691115972e-22,1.0571579497235302e-22,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,0.0,4.930380657631324e-32,0.0,3.9012239514918674e-16,0.0,0.0,0.0,0.0,0.0,6.025933190120007e-21,5.4310749619802815e-14,1.5777218104420236e-30,7.888609052210118e-31,3.1554436208840472e-30,0.0,0.0,1.3877787807814457e-17,4.930380657631324e-32,6.263147792151257e-21,1.446631637883356e-09,5.3594548881948414e-14,1.9721522630525295e-31,2.465190328815662e-32,0.0,1.9721522630525295e-31,1.9721522630525295e-31,3.944304526105059e-31,1.8632900419780334e-22,4.309594310350565e-21,4.1113261191964685e-21,1.375824906930242e-15,9.860761315262648e-32,2.465190328815662e-32,1.232595164407831e-32,3.697785493223493e-32,0.0,4.163336342344337e-17,2.3514867643107e-22,4.0593503974894506e-21,4.3691391852811385e-21,2.559346522463995e-09,1.1230103770382852e-15,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,0.0,3.2020080163051166e-09,6.409410716130985e-21,5.878521616908349e-21,2.448910268627303e-22,2.0677604250087427e-22,6.427826740119303e-16
6,1.377731749597736e-09,1.3777317495984002e-09,2.5467088372428598e-09,2.546708837242865e-09,5.369305312700122e-09,1.467393784055255e-09,5.3693053127001205e-09,4.695537913940696e-10,4.472883378996209e-10,1.4247858499284504e-08,8.346829415765423e-09,4.695537913940676e-10,1.7070404759000505e-08,1.70704047590005e-08,4.703319083849823e-09,4.4728833789962005e-10,2.3071074011899842e-10,6.093996359389066e-10,1.467393784055253e-09,8.346829415765421e-09,7.524932484110309e-11,1.4247858499284504e-08,4.703319083849823e-09,7.524932484110273e-11,2.3071074011899837e-10,1.7867033932943438e-10,1.7867033932943438e-10,7.488574256052888e-14,6.093996359389066e-10,7.488574256055473e-14,0.0,1.1890721305449773e-24,0.0,1.5407439555097887e-33,0.0,6.162975822039155e-33,4.622231866529366e-33,0.0,1.2407709188295415e-24,5.169878828456423e-26,0.0,0.0,0.0,1.5407439555097887e-33,0.0,9.62964972193618e-35,2.7755575615628914e-17,9.62964972193618e-35,1.3180583056900145e-33,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,1.7393554810247224e-33,4.81482486096809e-35,7.165813562612665e-34,4.81482486096809e-35,4.328808201495977e-13,4.6713769273342036e-21,3.656533239398479e-21,3.730031320244469e-09,2.4962406609622785e-23,1.68252669013963e-21,1.644112518787863e-21,2.617881187427702e-23,1.6699967586993673e-21,1.5386675773356635e-21,6.599083303691889e-09,8.256137827855058e-09,7.855948833988024e-21,4.7840692791921435e-21,1.7899177889925312e-23,1.5995930602079687e-23,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,0.0,3.651837136494979e-16,1.262177448353619e-29,0.0,1.262177448353619e-29,1.262177448353619e-29,6.310887241768095e-30,8.781460656892773e-21,2.1783151506002676e-13,6.310887241768095e-30,3.1554436208840472e-30,0.0,0.0,6.310887241768095e-30,0.0,1.5407439555097887e-33,9.13205809870395e-21,3.730031320244454e-09,2.1501656786341638e-13,2.465190328815662e-32,0.0,0.0,0.0,2.465190328815662e-32,3.0814879110195774e-33,2.4941768076727095e-23,2.1409961120466334e-22,3.522085802723582e-22,4.637464486154305e-16,0.0,9.244463733058732e-33,3.0814879110195774e-33,3.0814879110195774e-32,7.395570986446986e-32,2.7755575615628914e-17,2.8421823980726304e-23,3.4402849739561267e-22,2.22252498886006e-22,6.599083303691889e-09,4.703926535154555e-16,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,9.860761315262648e-32,0.0,0.0,8.256137827855064e-09,9.345806197111743e-21,8.567590034852995e-21,2.732662066605526e-23,2.5023744250886652e-23,6.016926146359329e-16
7,1.3214675117125888e-08,1.3214675117126728e-08,1.5038591965770838e-08,1.5038591965770812e-08,1.773000443424801e-09,8.665119486295942e-09,1.7730004434246688e-09,2.772766078120234e-09,4.2902183757634434e-09,4.704791023399804e-09,2.7562098620726033e-09,2.7727660781202325e-09,5.636825146739073e-09,5.6368251467390695e-09,1.5530848658409164e-09,4.2902183757634434e-09,2.212889031258218e-09,3.5985709614516483e-09,8.665119486295942e-09,2.756209862072537e-09,7.217626949880521e-10,4.704791023399804e-09,1.5530848658409158e-09,7.217626949880515e-10,2.2128890312582164e-09,1.0550677369424402e-09,1.055067736942439e-09,7.182753435829523e-13,3.5985709614516474e-09,7.182753435829523e-13,1.232595164407831e-32,3.101927297073854e-25,0.0,4.622231866529366e-33,0.0,1.232595164407831e-32,0.0,3.0814879110195774e-33,2.0679515313825692e-25,5.169878828456423e-25,1.232595164407831e-32,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,4.622231866529366e-33,0.0,6.162975822039155e-33,2.5424532215065092e-33,0.0,4.1359030627651384e-25,2.0679515313825692e-25,0.0,1.5407439555097887e-33,0.0,5.634849720101717e-34,2.311115933264683e-33,1.820605650553559e-33,3.0814879110195774e-33,4.742918559511778e-13,2.5007638007199824e-21,2.1281330853912222e-21,4.901090977263173e-09,4.7409490911992625e-23,4.1004405388017314e-21,4.361005307312946e-21,5.455058993554347e-23,4.187249009069951e-21,5.043421487954911e-21,8.670894386970828e-09,1.0848188430888426e-08,3.657471671314953e-21,2.5421303601979114e-21,4.844303032894732e-23,3.959010811406522e-23,9.244463733058732e-33,1.5407439555097887e-32,0.0,0.0,0.0,3.0814879110195774e-33,9.244463733058732e-33,3.191405813020134e-16,1.262177448353619e-29,6.310887241768095e-30,0.0,2.524354896707238e-29,0.0,3.501698415235294e-21,2.4002051200823983e-13,0.0,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,3.0814879110195774e-33,3.773858817346364e-21,4.901090977263019e-09,2.368664451804854e-13,0.0,2.465190328815662e-32,4.930380657631324e-32,0.0,0.0,0.0,4.390884101756563e-23,4.473216428739817e-21,4.104478792749311e-21,1.762867575864441e-15,0.0,6.162975822039155e-32,1.232595164407831e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,5.583252857059269e-23,4.055793807875877e-21,4.529180460795389e-21,8.670894386970833e-09,1.5596343815551577e-15,4.930380657631324e-32,1.8488927466117464e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,6.162975822039155e-33,1.0848188430888427e-08,3.8518640190072214e-21,3.424115846178119e-21,5.666361236331398e-23,4.632715810982e-23,4.0826013857010404e-16
8,1.3214675117118304e-08,1.3214675117118784e-08,1.506083742726355e-08,1.5060837427263545e-08,4.479720108014767e-09,8.677937147836424e-09,4.4797201080148155e-09,2.776867623076021e-09,4.29021837575832e-09,1.188727675150534e-08,6.963928738328766e-09,2.776867623076013e-09,1.424218423004713e-08,1.4242184230047132e-08,3.924074316373019e-09,4.290218375758313e-09,2.2128890312545007e-09,3.603894057652029e-09,8.677937147836417e-09,6.963928738328791e-09,7.217626949868194e-10,1.188727675150534e-08,3.924074316373019e-09,7.217626949868167e-10,2.2128890312545e-09,1.0566284195361236e-09,1.0566284195361228e-09,7.18275344978406e-13,3.6038940576520283e-09,7.18275344978406e-13,1.232595164407831e-32,1.137373342260413e-24,0.0,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,1.8488927466117464e-32,4.1359030627651384e-25,5.169878828456423e-25,0.0,2.7755575615628914e-17,1.232595164407831e-32,0.0,2.465190328815662e-32,1.5407439555097887e-33,1.3877787807814457e-17,6.162975822039155e-33,7.993361585591555e-34,2.0679515313825692e-25,4.1359030627651384e-25,0.0,1.3877787807814457e-17,1.5407439555097887e-33,6.162975822039155e-33,4.847174465502719e-33,7.703719777548943e-34,2.407412430484045e-35,6.162975822039155e-33,4.765133096948124e-13,6.0874439127050214e-21,5.1493270794591875e-21,1.7095325499941932e-09,8.207909040245587e-23,4.108624687312385e-21,4.365367415147574e-21,9.140526121880778e-23,4.193651720287872e-21,5.052737097599744e-21,3.024464606114948e-09,3.783918992152665e-09,9.019382947449875e-21,6.19153813281163e-21,7.987737450934614e-23,6.87330704660787e-23,0.0,1.8488927466117464e-32,0.0,0.0,0.0,1.232595164407831e-32,2.465190328815662e-32,3.803791488804227e-16,0.0,0.0,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,8.774898090893347e-21,2.404810059891999e-13,1.8932661725304283e-29,3.1554436208840472e-30,0.0,0.0,6.310887241768095e-30,1.3877787807814457e-17,0.0,9.421883314931213e-21,1.7095325499940401e-09,2.373583756367143e-13,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,9.860761315262648e-32,1.4791141972893971e-31,2.465190328815662e-32,7.395023482439971e-23,4.4955997025561025e-21,4.126701201692505e-21,1.12116849736405e-15,4.930380657631324e-32,1.8488927466117464e-32,6.162975822039155e-33,2.465190328815662e-32,4.930380657631324e-32,1.3877787807814457e-17,9.317024433012584e-23,4.075326809178323e-21,4.550393791692384e-21,3.0244646061149512e-09,1.0358779976468758e-15,0.0,6.162975822039155e-33,1.8488927466117464e-32,4.930380657631324e-32,0.0,2.7755575615628914e-17,1.8488927466117464e-32,3.783918992152668e-09,9.619290679925201e-21,8.578438395966786e-21,9.355692609354062e-23,7.683374000437027e-23,4.505954150287624e-16
9,1.3214668995017153e-08,1.3214668995017636e-08,1.506083764019657e-08,1.5060837640196563e-08,4.479720084289261e-09,8.677937270526772e-09,4.479720084289256e-09,2.7768676623359106e-09,4.290216388183853e-09,1.1887276688547845e-08,6.9639287014463575e-09,2.7768676623359023e-09,1.4242184154617552e-08,1.4242184154617555e-08,3.924074295590305e-09,4.290216388183847e-09,2.212888006066188e-09,3.6038941086045773e-09,8.677937270526766e-09,6.963928701446354e-09,7.217623606082451e-10,1.1887276688547843e-08,3.924074295590303e-09,7.217623606082426e-10,2.2128880060661865e-09,1.0566284344749397e-09,1.0566284344749387e-09,7.182750122152261e-13,3.6038941086045765e-09,7.182750122152261e-13,0.0,3.101927297073854e-25,0.0,6.162975822039155e-33,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,8.271806125530277e-25,5.169878828456423e-25,0.0,2.7755575615628914e-17,6.162975822039155e-33,1.232595164407831e-32,1.232595164407831e-32,1.5407439555097887e-33,1.3877787807814457e-17,0.0,1.236206283053557e-32,0.0,0.0,0.0,1.3877787807814457e-17,3.0814879110195774e-33,6.162975822039155e-33,9.990761586508786e-34,1.1555579666323415e-33,5.702558194709081e-33,1.5407439555097887e-33,4.765133330223214e-13,6.087443764446554e-21,5.149326891499082e-21,1.709533176958785e-09,8.20787191994102e-23,4.108624915497415e-21,4.365367662249588e-21,9.140471134280035e-23,4.1936519546628214e-21,5.0527373846361536e-21,3.024465715325902e-09,3.783920379890636e-09,9.019382931320789e-21,6.191537988858634e-21,7.987674204002309e-23,6.873260094721018e-23,0.0,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,6.162975822039155e-33,1.232595164407831e-32,3.8037918697937136e-16,1.262177448353619e-29,0.0,0.0,2.524354896707238e-29,1.262177448353619e-29,8.774898321949419e-21,2.40481017841633e-13,0.0,3.1554436208840472e-30,2.524354896707238e-29,0.0,0.0,1.3877787807814457e-17,0.0,9.421883499410677e-21,1.709533176958632e-09,2.3735838733816385e-13,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,7.39498259711359e-23,4.495599972079008e-21,4.126701450046935e-21,1.1211686782752293e-15,4.930380657631324e-32,5.546678239835239e-32,3.0814879110195774e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,9.3169692459495e-23,4.075327056650963e-21,4.550394065660833e-21,3.0244657153259055e-09,1.0358781530350742e-15,2.465190328815662e-32,1.8488927466117464e-32,6.162975822039155e-33,4.930380657631324e-32,0.0,2.7755575615628914e-17,0.0,3.783920379890639e-09,9.619290872996142e-21,8.578438618043379e-21,9.355637153309958e-23,7.683332567894722e-23,4.50595486855412e-16
