,Y2Z0,Y0Z2,Y5Z2,Y2Z5,Y1Z0,Y0Z1,Y2Z3,Y3Z2,Y4Z1,Y1Z4,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y3Z0,Y0Z3,Y3Z1,Y1Z3,Y3Z5,Y5Z3,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y4Z0,Y0Z4,Y0Z5,Y5Z0,standard_y,Y1,X5Y1,X3Y4,X2Y1,X0Y3,Y4,Y3,Y2,Y0,X5Y4,X4Y5,X4Y3,X4Y2,X3Y2,X3Y0,X2Y4,X2Y0,X1Y3,X1Y2,X0Y4,X5Y3,X4Y1,X3Y5,X3Y1,X2Y5,X1Y4,X0Y5,X0Y1,X1Y5,X1Y0,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8219540423197269,0.8219540423197267,0.8019154831626036,0.8019154831626036,0.793340083761663,0.7933400837616629,0.7701398359379903,0.7701398359379902,0.7597306350978932,0.7597306350978928,0.729824832622016,0.729824832622016,0.6628185628837677,0.6628185628837676,0.5383052195552769,0.5383052195552769,0.4850346279309453,0.4850346279309453,0.47025425706444507,0.470254257064445,0.41400644116530344,0.4140064411653034,0.37316037207384156,0.37316037207384156,0.27269808567197074,0.27269808567197074,0.26162148294465803,0.2616214829446579,0.0004517148850710674,0.00045171488507099455,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.6020852139652106e-17,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3331616966279308e-05,1.3331616966279306e-05,0.801463768277592,1.3006603180246998e-05,0.13052152096507907,1.2867515184738692e-05,1.2491220645648575e-05,0.2851052080708438,0.759730635097893,0.759730635097893,0.7298248326220159,0.729824832622016,1.075053195622447e-05,0.1305215207735435,0.5383052195552767,0.5383052195552769,0.2851052079057447,7.86697983345628e-06,0.4702542570644449,0.470254257064445,0.4140064411653033,0.4140064411653034,0.3731603720738415,0.37316037207384156,0.011076602761725118,4.423004497132432e-06,0.011076602691443477,4.243348437005973e-06,7.32655296485789e-09,0.8014637681720527,2.35923239765793e-16,4.163336342344337e-17,6.938893903907228e-18,5.551115123125783e-17,4.235164736271502e-22,8.470329472543003e-22,5.551115123125783e-17,8.326672684688674e-17,0.0,8.470329472543003e-22,5.551115123125783e-17,5.551115123125783e-17,0.0,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,0.0,2.7755575615628914e-17,1.3877787807814457e-17,2.117582368135751e-21,0.0,0.0,6.938893903907228e-18,0.0,2.7755575615628914e-17,4.235164736271502e-22,8.673617379884035e-18,4.235164736271502e-22,4.764560328305439e-22,8.326672684688674e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,2.1806789544208816e-13,1.614049965948547e-07,1.082230860149183e-06,2.127515806630551e-13,0.5036818929514023,1.558718085656284e-07,2.0432136660713532e-13,0.12890123315787164,0.759730635097893,0.7597306350978932,0.7298248326220158,0.729824832622016,1.758485774418416e-13,0.5036818929513814,7.268831653290263e-07,0.5272286168279692,0.12890123315788785,9.52973714804331e-08,0.470254257064445,0.470254257064445,0.128901233158509,5.590403018374206e-07,5.038851242283709e-07,0.5036818929516027,0.5272286168274682,7.234795933881935e-14,0.527228616827468,5.140218494047072e-08,1.6140499659470733e-07,1.0822308601491622e-06,8.326676655151828e-17,0.0,1.9852334701272664e-23,0.0,1.262177448353619e-29,0.0,5.551115123125783e-17,2.7755575615628914e-17,3.7865323450608567e-29,1.3234889800848443e-23,0.0,5.293955920339377e-23,0.0,2.524354896707238e-29,2.524354896707238e-29,2.6469779601696886e-23,1.262177448353619e-29,0.0,6.938893903907228e-18,0.0,1.3234889800848443e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,1.1102230246251565e-16,3.308722450212111e-24,5.551115123125783e-17,6.310887241768095e-30,3.984576340621266e-24,0.0,4.2474285652117385e-24,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0
3,1.5688259145824668e-15,3.175510004406047e-08,3.957367883725884e-08,1.5305792374884119e-15,2.7358498004196035e-06,2.0553535638884057e-08,1.4699305183052074e-15,0.12890123315825772,4.126630191576876e-06,4.126630191576876e-06,3.9641907930598124e-06,0.25957057556450813,7.446050295228428e-16,2.7358498004195985e-06,8.154316407991593e-09,2.8637485808180566e-06,0.12890123315825835,1.874897078244242e-08,0.25957057554680496,2.554280853331189e-06,0.12890123315825852,2.0442293947290218e-08,8.154316407327688e-09,2.7358498004196e-06,2.863748580818053e-06,7.446050294965022e-16,2.863748580818053e-06,2.0553535638282492e-08,3.175510004406042e-08,3.957367883725881e-08,1.0753347933607076e-22,1.0587911840678754e-22,1.5777218104420236e-30,0.0,3.76158192263132e-37,8.271806125530277e-25,0.0,0.0,2.9582283945787943e-31,1.6543612251060553e-24,1.262177448353619e-29,0.0,0.0,7.52316384526264e-37,4.930380657631324e-32,0.0,0.0,1.2407709188295415e-24,0.0,3.76158192263132e-37,0.0,0.0,1.734723475976807e-18,3.308722450212111e-24,2.117582368135751e-22,3.308722450212111e-24,1.734723475976807e-18,0.0,3.194660757289768e-30,1.262177448353619e-29,3.298875266906834e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,4.945679285314371e-16,1.2858301001263067e-08,3.080970338010594e-08,4.825107718585319e-16,4.6782489440001743e-07,1.5914402942397338e-08,6.981260620974562e-16,3.5262316556557373e-06,1.9303692753342506e-11,2.688686211717594e-07,1.8543828143617406e-11,7.100831838317923e-06,6.981260620119409e-16,4.678248944000173e-07,9.56668558555177e-09,1.3396141684731977e-11,3.5262316556557407e-06,1.5914402942120074e-08,7.100831838303763e-06,2.688686207442907e-07,3.5262316556557504e-06,9.566685593882309e-09,9.566685585560018e-09,4.6782489440001754e-07,1.3396141684731966e-11,6.98126062011898e-16,1.3396141684731964e-11,1.5914402942393487e-08,1.2858301001263057e-08,3.080970338010593e-08,8.610917863948264e-22,1.3234889800848443e-23,1.9721522630525295e-31,0.0,2.350988701644575e-38,1.8932661725304283e-29,3.2311742677852644e-27,8.470329472543003e-22,9.860761315262648e-32,0.0,0.0,7.222237291452134e-35,0.0,7.174648137343064e-43,1.128474576789396e-36,0.0,1.4349296274686127e-42,0.0,6.058451752097371e-28,9.4039548065783e-38,0.0,0.0,5.293955920339377e-23,2.524354896707238e-29,0.0,8.271806125530277e-25,5.293955920339377e-23,2.465190328815662e-32,7.3575840048794e-32,1.5777218104420236e-30,1.503806253260526e-31,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.128474576789396e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0
5,8.179227097753972e-17,1.285830100126307e-08,5.095347845919458e-09,7.979824311686606e-17,8.20643966860434e-08,1.5914402945239497e-08,1.154569733239624e-16,5.047434543779894e-09,3.3302176236047024e-12,4.716410228483826e-08,3.3300268283690096e-12,1.0164103612815224e-08,1.1545697332396256e-16,8.206439668604337e-08,1.5821506043053658e-09,1.1803796140458542e-12,5.047434543779897e-09,1.591440294523938e-08,1.0164103612378094e-08,4.716410228473058e-08,5.047434543779894e-09,1.5821506043053687e-09,1.5821506043054074e-09,8.206439668604337e-08,1.1803796140458542e-12,1.1545697332396234e-16,1.1803796140458542e-12,1.591440294523938e-08,1.285830100126307e-08,5.095347845919456e-09,1.0339756424317682e-25,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,6.617444900424222e-24,0.0,2.7550648847397363e-40,0.0,2.2420775429197073e-44,0.0,5.048709793414476e-29,0.0,0.0,0.0,1.550963648536927e-25,1.232595164407831e-32,5.048709793414476e-29,0.0,5.169878828456423e-26,3.0814879110195774e-33,9.595699608374508e-33,7.395570986446986e-32,2.798008117832373e-32,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0
6,1.92365278175067e-15,3.6107053531279645e-08,4.2675615331338084e-08,1.8767557192599547e-15,2.9741573977595375e-08,4.468881223154402e-08,2.715404833686406e-15,1.0318789871582626e-08,9.010864717918805e-13,7.740951200678657e-08,8.936441778630587e-13,2.0779120264282633e-08,2.715404833686395e-15,2.9741573977595372e-08,1.3251156275748849e-08,3.2623958479940883e-13,1.0318789871582689e-08,4.4688812231544394e-08,2.0779120264298786e-08,7.740951200672722e-08,1.0318789871582705e-08,1.3251156275748948e-08,1.3251156275749633e-08,2.9741573977595283e-08,3.262395847994084e-13,2.7154048336864032e-15,3.2623958479940847e-13,4.46888122315444e-08,3.610705353127959e-08,4.2675615331338044e-08,1.6543614223212817e-24,1.6543612251060553e-24,9.860761315262648e-32,3.308722450212111e-24,7.346839692639297e-39,9.860761315262648e-32,0.0,1.6543612251060553e-24,1.9721522630525295e-31,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,0.0,5.877471754111438e-39,1.9721522630525295e-31,3.587324068671532e-43,0.0,2.524354896707238e-29,2.350988701644575e-38,3.009265538105056e-36,9.860761315262648e-32,0.0,9.860761315262648e-32,2.524354896707238e-29,3.308722450212111e-24,0.0,0.0,2.3179503308887607e-33,9.860761315262648e-32,8.909826646128933e-32,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.018531076210112e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1754943508222875e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.74387788692815e-19,3.23911572997581e-16,5.348703126855837e-10,3.9024335085078625e-18,1.8158565475209254e-08,3.2030527065725606e-16,2.4207284675749215e-18,8.79968213916334e-09,5.99740890180036e-09,9.529922318285873e-09,1.9074195024633335e-08,1.906282400787501e-08,7.743877886926611e-19,1.8158565475209254e-08,5.6600677783642995e-11,5.997408781707731e-09,8.79968213916334e-09,1.0769827814142065e-16,8.79968223529841e-09,9.529922274591192e-09,8.79968213916334e-09,5.660067778359263e-11,5.348703126855839e-10,1.8158565475209254e-08,5.997408781707731e-09,2.4207284675746075e-18,5.997408781707732e-09,1.0769827732831858e-16,3.23911572997581e-16,5.348703126855837e-10,2.4815418377072313e-24,1.6543612251060553e-24,1.925929944387236e-34,0.0,0.0,6.162975822039155e-33,8.271806125530277e-25,0.0,4.81482486096809e-35,0.0,7.703719777548943e-34,1.5407439555097887e-33,6.938893903907228e-18,0.0,5.739718509874451e-42,0.0,0.0,0.0,2.0679515313825692e-25,5.739718509874451e-42,0.0,7.703719777548943e-34,2.0679515313825692e-25,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,5.739718509874451e-42,7.56207533385904e-28,7.703719777548943e-34,7.56207533385904e-28,2.893340227412552e-07,0.0,4.0805831617280284e-16,4.257439639425474e-16,2.9076433093023972e-05,2.7186726875178254e-11,6.860401389358776e-24,6.1041128587619265e-24,1.3065270764891062e-17,2.2943888741427e-11,2.329300635776219e-11,4.5347404844821966e-26,1.5926544073995338e-25,4.776592176330063e-19,3.489435537208741e-19,8.891896885510033e-18,2.5963438888358633e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0509753734818701e-12,1.3234889800848443e-23,3.308722450212111e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,3.0814879110195774e-33,3.1820884364703276e-16,1.9195494212879184e-07,1.3234889800848443e-23,7.444625512977249e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,3.440021213109903e-16,2.907643309072075e-05,1.7506730738892816e-07,0.0,1.504632769052528e-36,7.52316384526264e-37,3.009265538105056e-36,3.009265538105056e-36,0.0,2.7186726875178254e-11,4.47384391932742e-24,3.385755320342951e-24,1.6665667114719293e-20,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,1.4766462070189203e-17,2.073347950777332e-11,2.042267359338758e-11,1.6714893680875566e-25,7.76871756527619e-08,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,1.274110367865374e-25,3.490703773790183e-19,2.396892079228959e-19,8.89189688551003e-18,2.5963438888349883e-11,1.4831277183972964e-16
8,2.1622488312291977e-16,1.1245408058943436e-13,2.8515725419006206e-08,1.1701338646752731e-15,2.2884100233678073e-07,1.0616564137714467e-13,1.184840017403739e-15,2.6258905722326787e-07,1.6006333158898497e-07,2.288409879220785e-07,1.6006333045839036e-07,2.625888856088895e-07,2.1622488312782126e-16,2.2884100233685226e-07,2.8515720072082324e-08,1.6006354153863344e-07,2.6258905722324177e-07,1.1202628878671724e-13,2.6258909014606893e-07,2.2884104534609587e-07,2.6258905722326697e-07,2.8515720072073096e-08,2.8515725419011063e-08,2.2884100233685215e-07,1.6006354153863373e-07,1.1848400174007492e-15,1.6006354153868495e-07,1.1202629788565061e-13,1.1245408058943432e-13,2.851572541900616e-08,1.4889244702741305e-23,0.0,2.3665827156630354e-30,0.0,4.70197740328915e-38,0.0,1.3234889800848443e-23,0.0,1.232595164407831e-32,6.310887241768095e-30,0.0,3.944304526105059e-31,6.617444900424222e-24,7.52316384526264e-37,7.52316384526264e-37,3.944304526105059e-31,0.0,5.9164567891575885e-31,4.963083675318166e-24,0.0,0.0,3.1554436208840472e-30,1.3234889800848443e-23,6.310887241768095e-30,0.0,0.0,6.617444900424222e-24,7.52316384526264e-37,2.0673705235777013e-26,1.9721522630525295e-31,2.0673705235777013e-26,1.3936448620597045e-07,1.6543612251060553e-24,3.954200828104122e-15,2.0973117353135306e-14,3.5093037673175356e-08,5.3928888993399645e-09,1.6181067457949754e-21,1.4359866824620815e-21,8.94822749090029e-15,5.32634103857363e-08,9.82736711809914e-09,2.6530299574274763e-21,1.3862128697673253e-20,8.625570758726884e-16,2.4800448509545438e-14,5.569426096312635e-15,4.010698630579805e-09,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.0339757656912846e-25,3.76158192263132e-37,1.9821559374093556e-08,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,7.888609052210118e-31,8.359527989080554e-15,2.3575829386008437e-07,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,2.2198631142931994e-14,3.509311817353397e-08,8.003159511282651e-08,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,3.76158192263132e-37,5.3928888993399595e-09,1.1928320233987148e-21,1.5917118462693701e-21,4.965127853005183e-16,1.6543612251060553e-24,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.2158445767420358e-14,5.326356653079974e-08,9.827380221971103e-09,2.761083235590497e-21,3.6183438737917926e-08,0.0,0.0,2.524354896707238e-29,0.0,0.0,1.9721522630525295e-31,1.2572890829516788e-20,4.5008924683111015e-14,3.286751845788686e-14,5.569426096312762e-15,4.010698630302086e-09,3.3367397581595673e-13
9,8.112919060303668e-16,1.169616893738598e-13,4.019969138736039e-08,4.390433678204756e-15,1.237675305513947e-07,9.145043937571927e-14,4.4456101080191064e-15,5.0498758242750805e-08,1.1261118265227743e-08,1.23767626116893e-07,1.1261248472528052e-08,5.04987510860952e-08,8.112919060377495e-16,1.2376753055168557e-07,4.019968369974497e-08,1.1261192802668266e-08,5.049875824302265e-08,1.1619317163283762e-13,5.0498750153608076e-08,1.2376764507013542e-07,5.049875824275224e-08,4.019968369974685e-08,4.0199691387361064e-08,1.2376753055168552e-07,1.1261192802668638e-08,4.445610108018291e-15,1.1261192802966424e-08,1.161931906368619e-13,1.1696168937385967e-13,4.019969138735994e-08,2.481543119558054e-23,2.6469779601696886e-23,3.944304526105059e-31,1.3234889800848443e-23,1.88079096131566e-37,0.0,1.6543612251060553e-24,0.0,1.9721522630525295e-31,1.262177448353619e-29,0.0,7.888609052210118e-31,0.0,0.0,1.504632769052528e-36,3.944304526105059e-31,6.018531076210112e-36,1.9721522630525295e-31,8.271806125530277e-25,1.88079096131566e-37,0.0,6.310887241768095e-30,0.0,6.310887241768095e-30,8.271806125530277e-25,4.1359030627651384e-25,0.0,7.52316384526264e-37,1.8078355493716495e-26,5.9164567891575885e-31,1.8078355475660902e-26,2.1749739264862556e-07,0.0,9.430557041218653e-16,2.0180462696932995e-14,9.028907536999936e-09,1.435348012220067e-08,2.855433453265954e-21,5.5594800730312875e-21,3.1433022448030747e-15,3.2228294657081954e-08,5.94622117514835e-09,4.492611401928654e-21,2.92400884945256e-20,1.3890121568342589e-15,3.9939885394840326e-14,3.6427416664316265e-15,1.0674653941817982e-08,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.1359030627651384e-25,0.0,2.7943188977674936e-08,5.293955920339377e-23,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,1.3366323584275527e-14,2.5687182790966956e-07,0.0,0.0,1.9852334701272664e-23,0.0,0.0,2.047269484321769e-14,9.028920548053404e-09,7.951319390861749e-08,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.504632769052528e-36,1.4353480122200643e-08,1.3406664826726623e-21,6.050635111120157e-21,1.8629614805857225e-15,0.0,8.271806125530277e-25,4.1359030627651384e-25,0.0,0.0,7.937637264729762e-15,3.222838569271671e-08,5.946307666239383e-09,5.724376127093232e-21,1.2196091517955611e-08,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,2.742309769989738e-20,7.248430140615412e-14,5.293152029806088e-14,3.642741666432731e-15,1.0674653941601383e-08,5.237110185441372e-13
