,Y1Z3,Y3Z1,Y1Z5,Y5Z1,Y0Z4,Y4Z0,Y3Z5,Y5Z3,Y1Z4,Y4Z1,Y2Z3,Y3Z2,Y2Z0,Y0Z2,Y0Z5,Y5Z0,Y5Z2,Y2Z5,Y2Z1,Y1Z2,Y1Z0,Y0Z1,Y3Z0,Y0Z3,Y3Z4,Y4Z3,Y2Z4,Y4Z2,Y4Z5,Y5Z4,X2Y3,X5Y3,X2Y4,X0Y5,X0Y4,X0Y3,X5Y0,X1Y3,Y5,Y3,X5Y4,X4Y3,X4Y2,X4Y0,X3Y5,X3Y2,X2Y1,X2Y0,X1Y0,X0Y1,X3Y1,X1Y5,standard_y,Y2,Y1,Y0,X5Y2,X5Y1,X1Y4,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y1,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8967525962082569,0.8967525962082568,0.8596136949374525,0.8596136949374524,0.8078960514329893,0.8078960514329891,0.7931287877223899,0.7931287877223898,0.7924119898695277,0.7924119898695274,0.665813735556916,0.6658137355569159,0.5779578771750393,0.5779578771750392,0.4672172210012604,0.4672172210012603,0.3899285200718041,0.3899285200718041,0.33251980673741144,0.33251980673741144,0.3078067547337774,0.3078067547337774,0.26561803541817575,0.26561803541817575,0.23942936687819746,0.23942936687819744,0.18545981611343923,0.18545981611343915,0.009184110257544266,0.009184110257544177,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.5102810375396984e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00041098278722297306,0.000410982787222973,0.00039396198435804404,0.06648499050944687,0.8078960514329891,0.8078960514329891,0.0003634918718754686,0.06648481693843364,0.0003631633625623198,0.5529826481362019,0.33329396374073406,0.00030514323121844924,0.5779578771750392,0.5779578771750391,0.4672172210012604,0.4672172210012604,0.3899285200718041,0.38992852007180406,0.3332938588957469,0.00015239422507124645,0.00014106820378490152,0.04218874721080729,0.00012173306327122189,0.04218868698973671,0.00010973076516165579,0.5529825397722241,0.1854598161134392,0.18545981611343912,0.009184110257544245,0.009184110257544172,2.710505431213761e-20,0.0,5.551115123125783e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0,3.469446951953614e-18,6.938893903907228e-18,0.0,5.421010862427522e-20,5.551115123125783e-17,2.710505431213761e-20,8.326672684688674e-17,3.122502256758253e-17,2.710505431213761e-20,1.3552527156068805e-20,4.0657581468206416e-20,3.469446951953614e-18,2.286988957586611e-20,1.1011428314305904e-20,6.938893903907228e-18,2.0328790734103208e-20,8.664808237232591e-17,1.1102230246251565e-16,3.3881317890172014e-20,3.122502256758253e-17,0.0,2.0328790734103208e-20,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.743384504624082e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.855812695911586e-05,2.855812695911586e-05,2.7375395554603274e-05,0.06648490761724953,2.76101048079357e-06,2.7610104807935693e-06,2.5258106539616296e-05,0.06648490677916202,1.5432816017068205e-05,1.8898357225572362e-06,0.3332939289881216,2.12036109753752e-05,0.39249806106268303,1.97518944857703e-06,1.5967297298998167e-06,0.45803311074376984,0.3899285200718041,0.3899285200718041,0.33329392848187767,1.058947907971524e-05,1.543281601686359e-05,1.441812920943357e-07,8.340085373124958e-07,1.4418129110059467e-07,8.340085372185717e-07,1.889835720769063e-06,0.3924980610582248,6.338148269780547e-07,3.138698924554239e-08,0.45803311074098785,3.3881317890172014e-21,0.0,3.1763735522036263e-22,5.293955920339377e-23,0.0,0.0,2.6469779601696886e-23,5.551115123125783e-17,1.3877787807814457e-17,0.0,3.1763735522036263e-22,6.462348535570529e-27,2.117582368135751e-22,5.551115123125783e-17,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,3.970466940254533e-23,3.6350710512584224e-27,1.2116903504194741e-27,0.0,8.470329472543003e-22,4.163242374626751e-17,5.551115123125783e-17,8.470329472543003e-22,1.3234889800848443e-23,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1309109937248425e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.4656130785894493e-05,2.465613078589449e-05,3.6959004332798216e-05,0.0003382700622294138,7.301932535182297e-09,1.4188356045786172e-06,2.108695789815541e-05,0.0003382700590509281,3.6958870874028444e-05,9.82320755607632e-07,0.333293928945192,1.8306487890138023e-05,0.0025745880540098964,5.223703494804526e-09,4.222806412997528e-09,0.0023304370069221897,0.0019839261221841088,0.00256446066715435,0.3332939285678369,9.142601737072606e-06,3.695887087401801e-05,3.8131042028855225e-10,2.1086666317777806e-05,3.8131041832955695e-10,2.108666631776531e-05,9.823207549147977e-07,0.002574588053420604,3.294516302955269e-07,1.4188168174544355e-06,0.0023304370069183655,3.3881317890172014e-21,1.3234889800848443e-23,0.0,2.3161057151484775e-23,0.0,1.262177448353619e-29,1.6543612251060553e-23,2.7755575615628914e-17,0.0,0.0,8.271806125530277e-25,6.462348535570529e-27,5.293955920339377e-23,2.168404344971009e-19,0.0,0.0,3.3881317890172014e-21,7.754818242684634e-26,5.5220263365470826e-30,1.1044052673094165e-29,0.0,3.308722450212111e-24,1.6940400451144584e-21,0.0,1.6940658945086007e-21,2.5849394142282115e-26,0.0,3.308722450212111e-24,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062345348824529e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,4.468978751292401e-07,7.443009478114965e-11,1.0646821539337082e-06,9.841443189432695e-07,7.419547520607045e-13,3.4018231578951745e-07,6.365571285054495e-11,9.841443189424157e-07,1.0646821539330349e-06,3.145127119244296e-07,3.4926363097928214e-05,5.5262264813767685e-11,2.69265995797488e-07,5.695295988342414e-13,4.290824750855778e-13,9.876367762015478e-07,9.841443227717288e-07,2.6926599560687677e-07,3.4926363097895396e-05,4.4689786978334995e-07,1.0646821539330175e-06,5.695295961326369e-13,6.365571285038685e-11,5.695295961326381e-13,6.36557128503847e-11,3.145127119243165e-07,2.692659957939389e-07,3.145127110648523e-07,3.401823157887083e-07,9.876367762014546e-07,0.0,1.232595164407831e-32,1.6155871338926322e-27,6.617444900424222e-24,5.293955920339377e-23,5.877471754111438e-39,6.617444900424222e-24,3.3881317890172014e-21,1.0587911840678754e-22,6.462348535570529e-27,0.0,3.0814879110195774e-33,1.6155871338926322e-27,0.0,1.232595164407831e-32,1.3234889800848443e-22,1.2924697071141057e-26,2.311115933264683e-33,7.792016974233193e-36,1.0746776872989476e-35,1.6940658945086007e-21,5.048709793414476e-29,6.961545572897745e-21,6.776263578034403e-21,1.0587911840678754e-22,0.0,0.0,2.524354896707238e-29,2.524354896707238e-29,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,2.938735877055719e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3883951931889808e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.5523878737099997e-08,2.2514547655949233e-12,3.698383372249169e-08,2.5131500208606936e-08,1.7147921095013662e-15,3.078833242331628e-08,1.1051065735437243e-12,2.5131500208606906e-08,3.698383372249168e-08,2.8465095009325857e-08,1.6923714493782944e-09,2.2514225024107395e-12,1.3047395806180821e-11,1.3162862829326242e-15,9.916874854933984e-16,2.5220684865981405e-08,2.513150020860691e-08,1.3047395806174928e-11,1.692371449338718e-09,1.5523878737091004e-08,3.698383372249168e-08,1.3162862829326244e-15,1.1051065735437224e-12,1.3162862829326242e-15,1.1051065735437222e-12,2.8465095009325844e-08,1.3047395806179529e-11,2.8465095009325844e-08,3.0788332423316234e-08,2.5220684865981385e-08,1.6543612251060553e-24,1.2037062152420224e-35,1.232595164407831e-32,4.1359030627651384e-25,8.271806125530277e-25,3.587324068671532e-43,4.1359030627651384e-25,3.101927297073854e-25,0.0,0.0,0.0,1.2037062152420224e-35,6.162975822039155e-33,8.271806125530277e-25,6.018531076210112e-36,0.0,1.0097419586828951e-28,9.183549615799121e-41,1.7880976026633854e-39,2.8838876586531755e-40,3.101927297073854e-25,0.0,3.2053248736429822e-24,1.0339757656912846e-25,1.6543612251060553e-24,0.0,1.232595164407831e-32,0.0,2.465190328815662e-32,4.278460772941437e-14,2.261967519867542e-23,1.6543612251060553e-24,1.7024577477732046e-27,6.038099900310104e-28,6.18473675910473e-21,4.167201602975859e-22,1.868198540892953e-16,1.2503642271830477e-25,6.490097482558183e-24,4.397844741723568e-14,3.7609618512292875e-20,1.9109672917133627e-16,9.189600292846677e-17,6.798472531467514e-35,4.2328426925123615e-28,7.5393641067240285e-31,0.0,0.0,0.0,0.0,0.0,1.7169093815107174e-16,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,2.465190328815662e-32,2.5715879431798336e-23,3.401476412840403e-16,1.504632769052528e-36,1.504632769052528e-36,1.504632769052528e-36,1.504632769052528e-36,1.504632769052528e-36,6.018531076210112e-36,1.793662034335766e-43,1.810442086385302e-27,1.3870701030278515e-27,2.376245302261424e-20,0.0,0.0,3.1554436208840472e-30,3.1554436208840472e-30,1.5777218104420236e-30,0.0,5.1450690479020054e-21,6.622216693911404e-22,1.8681985385772628e-16,4.3389112537448373e-14,2.465190328815662e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,2.0194839173657902e-28,1.0457034019450444e-23,9.994988488460333e-24,4.397844741723714e-14,3.682171180138294e-20,4.360718872285579e-16,0.0,1.4693679385278594e-39,0.0,1.4693679385278594e-39,1.4693679385278594e-39,3.6734198463196485e-40,1.9109672917133705e-16,9.18960029284674e-17,8.637926521996553e-35,2.2650694880981206e-28,1.1557346752250092e-30,1.9874499663752775e-23
6,4.639044744267439e-08,1.1815207780660007e-09,1.8846402230795065e-08,1.0410951296531553e-16,1.415943669591021e-16,3.4205837996242625e-08,1.1815215244573604e-09,2.285457464346682e-16,1.8846402230795062e-08,3.420583799599533e-08,6.118868856344216e-09,6.122787232056664e-09,3.0700004198350322e-09,5.4741649221555795e-17,2.79387719919041e-17,2.1104994984465487e-18,2.285457451957534e-16,3.0700004198350314e-09,3.070000345196117e-09,4.639044718637667e-08,1.8846402230795065e-08,2.7938772917761904e-17,1.1815215244573602e-09,5.4741649221555795e-17,1.1815215244573593e-09,1.1602325097678458e-09,3.0700004198350306e-09,1.1602325097678444e-09,3.4205837996242625e-08,2.1104994984465425e-18,0.0,0.0,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,4.622231866529366e-33,3.0814879110195774e-33,0.0,6.162975822039155e-33,1.3877787807814457e-17,4.1359030627651384e-25,4.591774807899561e-41,1.1479437019748901e-40,4.591774807899561e-41,4.1359030627651384e-25,0.0,2.0679516546420856e-25,2.0679515313825692e-25,0.0,0.0,0.0,8.271806125530277e-25,6.162975822039155e-33,2.258725102893522e-08,4.065340504526907e-24,0.0,1.765945241806964e-16,6.061016611142207e-17,1.8522819187072263e-16,5.55999724630362e-17,2.232179928565428e-09,4.226060402107336e-17,8.19470265039954e-18,2.8986665403306852e-08,2.8994963862943635e-08,2.2879275140585012e-17,6.519907917094383e-17,3.3501545594685696e-25,5.6588580452055835e-25,2.7990554085387798e-24,0.0,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,8.576620479980239e-17,0.0,9.244463733058732e-33,9.244463733058732e-33,0.0,0.0,0.0,1.232595164407831e-32,4.3048337427914595e-24,3.8695442401396385e-16,2.0679515313825692e-25,0.0,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,4.591774807899561e-41,1.9586679935246565e-16,4.4419483358810456e-17,3.725028160107507e-09,2.0679515313825692e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,0.0,1.709570393742931e-16,3.7238290413797433e-17,2.2321799262417685e-09,3.7202546959857923e-09,1.6543612251060553e-24,0.0,0.0,0.0,1.6543612251060553e-24,0.0,4.226060433492913e-17,3.05593156712745e-18,1.5798360424407125e-08,1.2833525539233266e-08,3.003253341230789e-08,0.0,9.183549615799121e-41,4.591774807899561e-41,0.0,3.6734198463196485e-40,6.457183323608757e-42,2.2879275140585034e-17,6.519907917094383e-17,1.7690421225189778e-25,1.5172600545954752e-26,4.529862207765304e-24,2.0425761383206446e-24
7,4.535625746129563e-08,1.2124891525232582e-09,1.8569193849601308e-08,9.98590122111565e-17,1.453624583516072e-16,3.4205837867033916e-08,1.2124899005892593e-09,2.1796403373806025e-16,1.8569193849601308e-08,3.4205837867805775e-08,6.278727352779331e-09,6.2827137318085675e-09,3.1502889626004307e-09,5.61984268630506e-17,2.868227526428011e-17,1.6235436592964485e-18,2.1796403242232255e-16,3.1502889626004307e-09,3.150288880141281e-09,4.535625719471305e-08,1.8569193849601308e-08,2.868227550263494e-17,1.2124899005892588e-09,5.61984268630506e-17,1.212489900589258e-09,1.1602325010371176e-09,3.150288962600429e-09,1.1602325010371162e-09,3.4205837867033916e-08,1.6235436592964516e-18,1.3877787807814457e-17,6.162975822039155e-33,0.0,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,6.162975822039155e-33,1.0339757656912846e-25,4.591774807899561e-41,3.0814879110195774e-33,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,0.0,9.183549615799121e-41,1.6071211827648462e-40,8.271806125530277e-25,8.271806125530277e-25,1.550963642373951e-24,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,9.244463733058732e-33,2.3220236540137936e-08,4.2794464099244315e-24,0.0,1.8444025410474964e-16,6.166200899224862e-17,1.934574979535718e-16,5.656486758116035e-17,2.274669535792433e-09,4.1914222575718916e-17,8.40266892968337e-18,2.948970685749195e-08,2.949814933623746e-08,2.3459935087458386e-17,6.5756315024959e-17,3.4989950262778217e-25,5.910269488920834e-25,2.9464709052171186e-24,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,9.028318637780664e-17,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,1.8367099231598242e-40,0.0,4.531552832015553e-24,3.7846417933946204e-16,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,4.591774807899561e-41,2.0456875681053608e-16,4.5190349875569616e-17,3.789673185464863e-09,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,3.0814879110195774e-33,1.785523075525863e-16,3.7884531838899934e-17,2.2746695333883094e-09,3.78481687046653e-09,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.1914222610145755e-17,3.1334776587171803e-18,1.6072528908043595e-08,1.3056241581619781e-08,3.079472612732196e-08,1.8367099231598242e-40,1.8367099231598242e-40,9.183549615799121e-41,4.591774807899561e-41,0.0,3.6590705500449623e-41,2.3459935087458404e-17,6.5756315024959e-17,1.8476369830412081e-25,1.5846689831253443e-26,4.768432687202455e-24,2.103250844864374e-24
8,4.535625746129563e-08,1.2124891525232582e-09,1.8569193849601308e-08,9.98590122111565e-17,1.453624583516072e-16,3.4205837867033916e-08,1.2124899005892593e-09,2.1796403373806025e-16,1.8569193849601308e-08,3.4205837867805775e-08,6.278727352779331e-09,6.2827137318085675e-09,3.1502889626004307e-09,5.61984268630506e-17,2.868227526428011e-17,1.6235436592964485e-18,2.1796403242232255e-16,3.1502889626004307e-09,3.150288880141281e-09,4.535625719471305e-08,1.8569193849601308e-08,2.868227550263494e-17,1.2124899005892588e-09,5.61984268630506e-17,1.212489900589258e-09,1.1602325010371176e-09,3.150288962600429e-09,1.1602325010371162e-09,3.4205837867033916e-08,1.6235436592964516e-18,1.3877787807814457e-17,6.162975822039155e-33,0.0,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,6.162975822039155e-33,1.0339757656912846e-25,4.591774807899561e-41,3.0814879110195774e-33,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,0.0,9.183549615799121e-41,1.6071211827648462e-40,8.271806125530277e-25,8.271806125530277e-25,1.550963642373951e-24,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,9.244463733058732e-33,2.3220236540137936e-08,4.2794464099244315e-24,0.0,1.8444025410474964e-16,6.166200899224862e-17,1.934574979535718e-16,5.656486758116035e-17,2.274669535792433e-09,4.1914222575718916e-17,8.40266892968337e-18,2.948970685749195e-08,2.949814933623746e-08,2.3459935087458386e-17,6.5756315024959e-17,3.4989950262778217e-25,5.910269488920834e-25,2.9464709052171186e-24,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,9.028318637780664e-17,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,1.8367099231598242e-40,0.0,4.531552832015553e-24,3.7846417933946204e-16,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,4.591774807899561e-41,2.0456875681053608e-16,4.5190349875569616e-17,3.789673185464863e-09,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,3.0814879110195774e-33,1.785523075525863e-16,3.7884531838899934e-17,2.2746695333883094e-09,3.78481687046653e-09,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.1914222610145755e-17,3.1334776587171803e-18,1.6072528908043595e-08,1.3056241581619781e-08,3.079472612732196e-08,1.8367099231598242e-40,1.8367099231598242e-40,9.183549615799121e-41,4.591774807899561e-41,0.0,3.6590705500449623e-41,2.3459935087458404e-17,6.5756315024959e-17,1.8476369830412081e-25,1.5846689831253443e-26,4.768432687202455e-24,2.103250844864374e-24
9,4.535625746129563e-08,1.2124891525232582e-09,1.8569193849601308e-08,9.98590122111565e-17,1.453624583516072e-16,3.4205837867033916e-08,1.2124899005892593e-09,2.1796403373806025e-16,1.8569193849601308e-08,3.4205837867805775e-08,6.278727352779331e-09,6.2827137318085675e-09,3.1502889626004307e-09,5.61984268630506e-17,2.868227526428011e-17,1.6235436592964485e-18,2.1796403242232255e-16,3.1502889626004307e-09,3.150288880141281e-09,4.535625719471305e-08,1.8569193849601308e-08,2.868227550263494e-17,1.2124899005892588e-09,5.61984268630506e-17,1.212489900589258e-09,1.1602325010371176e-09,3.150288962600429e-09,1.1602325010371162e-09,3.4205837867033916e-08,1.6235436592964516e-18,1.3877787807814457e-17,6.162975822039155e-33,0.0,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,6.162975822039155e-33,1.0339757656912846e-25,4.591774807899561e-41,3.0814879110195774e-33,0.0,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,0.0,9.183549615799121e-41,1.6071211827648462e-40,8.271806125530277e-25,8.271806125530277e-25,1.550963642373951e-24,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,9.244463733058732e-33,2.3220236540137936e-08,4.2794464099244315e-24,0.0,1.8444025410474964e-16,6.166200899224862e-17,1.934574979535718e-16,5.656486758116035e-17,2.274669535792433e-09,4.1914222575718916e-17,8.40266892968337e-18,2.948970685749195e-08,2.949814933623746e-08,2.3459935087458386e-17,6.5756315024959e-17,3.4989950262778217e-25,5.910269488920834e-25,2.9464709052171186e-24,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,9.028318637780664e-17,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,1.8367099231598242e-40,0.0,4.531552832015553e-24,3.7846417933946204e-16,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,4.591774807899561e-41,2.0456875681053608e-16,4.5190349875569616e-17,3.789673185464863e-09,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,3.0814879110195774e-33,1.785523075525863e-16,3.7884531838899934e-17,2.2746695333883094e-09,3.78481687046653e-09,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.1914222610145755e-17,3.1334776587171803e-18,1.6072528908043595e-08,1.3056241581619781e-08,3.079472612732196e-08,1.8367099231598242e-40,1.8367099231598242e-40,9.183549615799121e-41,4.591774807899561e-41,0.0,3.6590705500449623e-41,2.3459935087458404e-17,6.5756315024959e-17,1.8476369830412081e-25,1.5846689831253443e-26,4.768432687202455e-24,2.103250844864374e-24
