,Y3Z2,Y2Z3,Y5Z0,Y0Z5,Y4Z1,Y1Z4,Y5Z1,Y1Z5,Y0Z3,Y3Z0,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y1Z3,Y3Z1,Y4Z0,Y0Z4,Y5Z2,Y2Z5,Y4Z3,Y3Z4,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y5Z3,Y3Z5,Y5Z4,Y4Z5,X4Y5,X4Y3,X3Y5,X2Y5,X2Y1,Y3,X4Y1,Y5,Y4,X5Y3,X3Y0,X2Y4,X2Y3,X5Y2,X3Y2,Y2,X4Y2,X3Y1,X1Y3,X1Y2,X0Y3,X1Y4,X0Y2,X1Y0,X0Y1,standard_y,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9058727273132681,0.9058727273132681,0.8345211373072241,0.834521137307224,0.7629313308195191,0.7629313308195191,0.6060934588419864,0.6060934588419864,0.5579708258176688,0.5579708258176685,0.5059404137702477,0.5059404137702477,0.45328471316462615,0.45328471316462604,0.45033767575648825,0.4503376757564881,0.384220879367915,0.38422087936791494,0.35789010838860724,0.35789010838860724,0.30474034460297605,0.30474034460297605,0.28867836833405236,0.28867836833405236,0.1594087567094735,0.1594087567094734,0.1322381615882171,0.1322381615882171,0.07533509441993319,0.07533509441993319,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005243846446217487,0.0005243846446217487,0.8345211373072242,0.8345211373072243,0.7629313308195191,0.7629313308195194,0.6060934588419865,0.6060934588419866,0.10468618859935241,0.0003229938647932362,0.5059404137702477,0.5059404137702479,0.0002623939721977126,0.10468601916693146,0.29092894575540906,0.00026068801382479983,0.38422087936791494,0.38422087936791505,0.22565196895644374,0.00020717267629594764,0.016062024636001013,0.00017640574938214092,0.016061925210717,0.00016710791596277828,9.227731635614691e-05,0.29092884359447124,0.22565188683712156,7.654901100239245e-05,0.07533509441993319,0.07533509441993323,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,6.776263578034403e-21,2.710505431213761e-20,2.710505431213761e-20,1.3552527156068805e-20,2.710505431213761e-20,0.0,1.3877787807814457e-17,6.776263578034403e-21,8.409268033700105e-18,9.15141241133115e-18,2.2205138118860934e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
2,3.002539820731851e-05,3.002539820731851e-05,3.2764481544046994e-05,3.2764481544047e-05,0.7629313308195194,0.7629313308195195,2.379608743077905e-05,0.10015304546168208,4.11012502950418e-06,1.4111025082215064e-05,0.10015304460460489,1.9863937063178425e-05,3.161880159486595e-06,4.1101250076949656e-06,0.29092891913457897,1.4926564885610943e-05,0.3088857850060447,1.5085055786014282e-05,8.859414960483876e-06,3.161880138764294e-06,0.016061976427496096,1.0100701699760517e-05,0.016061976101528493,9.568323122803803e-06,5.283646646622466e-06,0.29092891879964244,8.859414949913535e-06,1.4111025064582963e-05,2.9577624824525497e-06,0.30888578465185157,3.3881317890172014e-21,1.6940658945086007e-21,0.0,0.0,1.0587911840678754e-22,8.470329472543003e-22,1.0408340855860843e-17,0.0,1.6653345369377348e-16,5.169878828456423e-26,1.0339757656912846e-25,0.0,2.7755575615628914e-17,7.754818242684634e-26,0.0,1.2705494208814505e-21,0.0,1.0587911840678754e-22,0.0,3.1763735522036263e-22,0.0,1.3877787807814457e-17,2.5849394142282115e-26,5.472592524460994e-22,6.7763707681090775e-22,1.5960260660286517e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-21,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0
3,3.6968502387413743e-06,3.6968502387413743e-06,1.4073115295545896e-06,1.4073115295545896e-06,2.784928903927247e-06,2.7849289039272475e-06,8.950550588443822e-07,3.655887479925752e-07,1.765395347583059e-07,1.7374073133488544e-06,3.6558874798680343e-07,2.052641886252904e-07,3.8930365912295436e-07,1.7653953474410507e-07,1.0619780875635649e-06,5.941800787389597e-07,1.1275260508572368e-06,2.0526418861528926e-07,3.805327057680851e-07,3.8930365911824713e-07,5.863104602633715e-08,5.941800787184301e-07,5.863104600829908e-08,5.275469502406069e-07,5.275469502284239e-07,1.0619780875450305e-06,3.805327057612024e-07,1.7374073133448492e-06,8.950550588367264e-07,1.1275260508548511e-06,0.0,4.0389678347315804e-28,0.0,4.0389678347315804e-28,3.534096855390133e-28,5.293955920339377e-23,0.0,0.0,0.0,1.0097419586828951e-28,2.0194839173657902e-28,2.4233807008389483e-27,0.0,1.0097419586828951e-28,0.0,5.293955920339377e-23,0.0,0.0,0.0,5.048709793414476e-29,1.0097419586828951e-28,0.0,5.048709793414476e-29,1.753204836290007e-28,9.230872323101617e-29,1.852884572118782e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.940933880509066e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4499065512918616e-08,1.4499065512918615e-08,9.59504429900875e-09,9.595044299008753e-09,3.553459887127046e-08,3.553459887127046e-08,6.102481759936779e-09,4.664768818102735e-09,1.20364583171388e-09,6.814120354368177e-09,4.66476881810273e-09,1.3994904052563844e-09,1.526850938904836e-09,1.203645831713878e-09,1.3550423243574437e-08,2.3303773027390055e-09,1.438678950748266e-08,1.3994904052563732e-09,2.5944704440844205e-09,1.5268509389048352e-09,7.481091164298892e-10,2.330377302738994e-09,7.481091164298846e-10,2.069041832546779e-09,2.0690418325467706e-09,1.355042324357443e-08,2.59447044408442e-09,6.814120354368177e-09,6.102481759936769e-09,1.4386789507482662e-08,0.0,0.0,2.465190328815662e-32,6.162975822039155e-33,1.5407439555097887e-32,6.203854594147708e-25,0.0,0.0,0.0,6.162975822039155e-33,1.5407439555097887e-33,4.930380657631324e-32,0.0,9.244463733058732e-33,2.7755575615628914e-17,0.0,0.0,2.1570415377137042e-32,1.232595164407831e-32,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,1.3548198619475165e-32,1.0773657262710242e-32,2.1713491079516976e-24,5.012474645410854e-14,1.1595670298283884e-23,3.0662292822304234e-22,1.2776702080325643e-21,2.444334949531728e-22,1.3026562568874036e-21,2.565221711563233e-09,6.1598419907716084e-24,3.3735010767887875e-09,9.407200824789019e-22,1.2713203233093383e-21,1.6543612251060553e-24,3.8398232356634395e-09,6.702908568888497e-24,3.263420795726425e-22,3.5495499786395265e-22,1.2339003175503171e-23,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.6434717245610365e-16,0.0,1.5407439555097887e-33,1.5407439555097887e-33,0.0,0.0,2.465190328815662e-32,1.372158308899629e-23,4.3847112488526353e-16,2.3665827156630354e-30,0.0,7.888609052210118e-31,0.0,7.888609052210118e-31,0.0,3.7258863633363436e-22,1.630057288821041e-21,2.7817170434345224e-14,1.5777218104420236e-30,1.5777218104420236e-30,3.944304526105059e-31,1.5777218104420236e-30,7.888609052210118e-31,0.0,3.3272457367395253e-22,1.2929865540216909e-21,2.565221711563135e-09,2.2904184258214767e-14,1.232595164407831e-32,1.8488927466117464e-32,0.0,0.0,1.232595164407831e-32,0.0,1.2464886352794328e-23,3.373501076788789e-09,1.4716495882655438e-21,1.4531624920410465e-21,4.3782535610835017e-16,0.0,1.232595164407831e-32,0.0,0.0,1.232595164407831e-32,0.0,0.0,3.8398232356634395e-09,1.1539959184658733e-23,3.4600887930455345e-22,3.6066878727388296e-22,1.4052021591801712e-23,1.1534107008605937e-16
5,1.4499065512918616e-08,1.4499065512918615e-08,9.59504429900875e-09,9.595044299008753e-09,3.553459887127046e-08,3.553459887127046e-08,6.102481759936779e-09,4.664768818102735e-09,1.20364583171388e-09,6.814120354368177e-09,4.66476881810273e-09,1.3994904052563844e-09,1.526850938904836e-09,1.203645831713878e-09,1.3550423243574437e-08,2.3303773027390055e-09,1.438678950748266e-08,1.3994904052563732e-09,2.5944704440844205e-09,1.5268509389048352e-09,7.481091164298892e-10,2.330377302738994e-09,7.481091164298846e-10,2.069041832546779e-09,2.0690418325467706e-09,1.355042324357443e-08,2.59447044408442e-09,6.814120354368177e-09,6.102481759936769e-09,1.4386789507482662e-08,0.0,0.0,2.465190328815662e-32,6.162975822039155e-33,1.5407439555097887e-32,6.203854594147708e-25,0.0,0.0,0.0,6.162975822039155e-33,1.5407439555097887e-33,4.930380657631324e-32,0.0,9.244463733058732e-33,2.7755575615628914e-17,0.0,0.0,2.1570415377137042e-32,1.232595164407831e-32,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,1.3548198619475165e-32,1.0773657262710242e-32,2.1713491079516976e-24,5.012474645410854e-14,1.1595670298283884e-23,3.0662292822304234e-22,1.2776702080325643e-21,2.444334949531728e-22,1.3026562568874036e-21,2.565221711563233e-09,6.1598419907716084e-24,3.3735010767887875e-09,9.407200824789019e-22,1.2713203233093383e-21,1.6543612251060553e-24,3.8398232356634395e-09,6.702908568888497e-24,3.263420795726425e-22,3.5495499786395265e-22,1.2339003175503171e-23,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.6434717245610365e-16,0.0,1.5407439555097887e-33,1.5407439555097887e-33,0.0,0.0,2.465190328815662e-32,1.372158308899629e-23,4.3847112488526353e-16,2.3665827156630354e-30,0.0,7.888609052210118e-31,0.0,7.888609052210118e-31,0.0,3.7258863633363436e-22,1.630057288821041e-21,2.7817170434345224e-14,1.5777218104420236e-30,1.5777218104420236e-30,3.944304526105059e-31,1.5777218104420236e-30,7.888609052210118e-31,0.0,3.3272457367395253e-22,1.2929865540216909e-21,2.565221711563135e-09,2.2904184258214767e-14,1.232595164407831e-32,1.8488927466117464e-32,0.0,0.0,1.232595164407831e-32,0.0,1.2464886352794328e-23,3.373501076788789e-09,1.4716495882655438e-21,1.4531624920410465e-21,4.3782535610835017e-16,0.0,1.232595164407831e-32,0.0,0.0,1.232595164407831e-32,0.0,0.0,3.8398232356634395e-09,1.1539959184658733e-23,3.4600887930455345e-22,3.6066878727388296e-22,1.4052021591801712e-23,1.1534107008605937e-16
6,3.069300284930717e-08,3.069300284930717e-08,5.3233681843028986e-09,5.3233681843028986e-09,1.5076655102590598e-08,1.50766551025906e-08,3.38568079873193e-09,1.9791727735166517e-09,6.677874250540382e-10,1.4424778980810423e-08,1.9791727735166517e-09,7.764427620567248e-10,3.2321834932407778e-09,6.677874250540343e-10,5.749187108530167e-09,4.933164632520288e-09,6.104041422379797e-09,7.764427620567237e-10,1.4394223712526316e-09,3.2321834932407774e-09,3.1740848316248617e-10,4.93316463252028e-09,3.1740848316247945e-10,4.379944818175334e-09,4.379944818175331e-09,5.749187108530159e-09,1.4394223712526298e-09,1.4424778980810423e-08,3.38568079873193e-09,6.104041422379797e-09,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,6.162975822039155e-33,1.2407709188295415e-24,1.3877787807814457e-17,4.1359030627651384e-25,0.0,6.162975822039155e-33,3.0814879110195774e-33,0.0,5.551115123125783e-17,6.162975822039155e-33,2.7755575615628914e-17,1.2407709188295415e-24,0.0,2.465190328815662e-32,1.232595164407831e-32,1.232595164407831e-32,3.0814879110195774e-33,0.0,6.162975822039155e-33,6.475979294607413e-34,1.437439170154374e-33,2.6366382025127757e-24,4.942399038000862e-14,4.407201829664885e-24,1.6736860193725478e-22,8.362148643454244e-22,1.3425216075710017e-22,8.518258082437347e-22,2.565221711563331e-09,2.486240677226105e-24,3.3735010767887974e-09,6.981363537831988e-22,8.3582143224998e-22,3.101927297073854e-25,3.83982323566342e-09,3.2029307234071796e-24,1.7934929532757872e-22,1.9443285522193157e-22,4.382531977563416e-24,5.169878828456423e-26,6.162975822039155e-33,3.0814879110195774e-33,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,3.0814879110195774e-33,2.7755575615628914e-17,9.118045542774043e-17,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,4.753824031764233e-24,3.391870797770145e-16,3.1554436208840472e-30,1.5777218104420236e-30,7.888609052210118e-31,1.5777218104420236e-30,1.5777218104420236e-30,4.930380657631324e-32,2.0313486372822813e-22,8.115411735913495e-22,2.756313182097625e-14,7.888609052210118e-31,1.5777218104420236e-30,3.944304526105059e-31,1.5777218104420236e-30,7.888609052210118e-31,1.5407439555097887e-33,1.8136810756471272e-22,6.200494990647508e-22,2.5652217115631244e-09,2.2694006937231196e-14,2.465190328815662e-32,3.0814879110195774e-33,0.0,1.5407439555097887e-32,0.0,3.0814879110195774e-33,4.324205728142891e-24,3.3735010767887983e-09,6.957862214733332e-22,7.381109467118927e-22,3.38789165237778e-16,0.0,0.0,1.3481509610710651e-33,1.7333369499485123e-33,6.162975822039155e-33,2.7755575615628914e-17,6.162975822039155e-33,3.83982323566342e-09,4.039654934470033e-24,1.891539309794272e-22,1.969515410122235e-22,4.898436496837016e-24,6.399167775629795e-17
7,3.0693002849307366e-08,3.0693002849307234e-08,5.3233681843028986e-09,5.323368184302899e-09,1.5896170349320957e-08,1.589617034932096e-08,3.38568079873193e-09,2.0867538153839415e-09,6.677874250540381e-10,1.4424778980810512e-08,2.0867538153839415e-09,7.76442762056725e-10,3.232183493240678e-09,6.677874250540342e-10,6.061693195569096e-09,4.9331646325203185e-09,6.435836172493458e-09,7.764427620567237e-10,1.4394223712526316e-09,3.2321834932406777e-09,3.346617193493721e-10,4.933164632520311e-09,3.346617193493653e-10,4.379944818175242e-09,4.3799448181752375e-09,6.0616931955690885e-09,1.4394223712526298e-09,1.4424778980810512e-08,3.38568079873193e-09,6.435836172493458e-09,6.162975822039155e-33,0.0,1.232595164407831e-32,2.465190328815662e-32,3.0814879110195774e-33,8.271806125530277e-25,1.3877787807814457e-17,4.1359030627651384e-25,0.0,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,2.7755575615628914e-17,8.271806125530277e-25,0.0,6.162975822039155e-33,3.697785493223493e-32,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,1.9658018632887884e-33,1.1579627250169866e-33,2.1196503196671334e-24,4.846220043854785e-14,4.3985403233227586e-24,1.6413289716021083e-22,8.361297302817246e-22,1.316566897257232e-22,8.520678558593317e-22,2.5156287768658535e-09,2.4748558878522896e-24,3.3082818336142604e-09,6.932691717282196e-22,8.356006675689886e-22,0.0,3.765588676475919e-09,3.1598813526160954e-24,1.7588197012479987e-22,1.9067392247604093e-22,4.3938988437610694e-24,5.169878828456423e-26,0.0,0.0,1.5407439555097887e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,8.941768133638976e-17,1.232595164407831e-32,0.0,3.0814879110195774e-33,2.465190328815662e-32,1.232595164407831e-32,6.162975822039155e-33,4.7710985115239974e-24,3.355548551267608e-16,7.888609052210118e-31,1.5777218104420236e-30,1.1832913578315177e-30,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.9920769673667968e-22,8.268716124981076e-22,2.7030259129974985e-14,7.888609052210118e-31,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.7786175305581522e-22,6.336196225951786e-22,2.515628776865651e-09,2.2255268094896873e-14,1.232595164407831e-32,3.0814879110195774e-33,3.851859888774472e-33,7.703719777548943e-34,0.0,3.0814879110195774e-33,4.337698089700514e-24,3.3082818336142612e-09,7.118839530993568e-22,7.509013605729733e-22,3.35599710821205e-16,0.0,6.162975822039155e-33,1.7333369499485123e-33,9.62964972193618e-34,0.0,0.0,1.8488927466117464e-32,3.765588676475919e-09,4.049114707545119e-24,1.8549705465386516e-22,1.931439150015915e-22,4.914989454773865e-24,6.275453903965422e-17
8,3.0693002849307366e-08,3.0693002849307234e-08,5.3233681843028986e-09,5.323368184302899e-09,1.5896170349320957e-08,1.589617034932096e-08,3.38568079873193e-09,2.0867538153839415e-09,6.677874250540381e-10,1.4424778980810512e-08,2.0867538153839415e-09,7.76442762056725e-10,3.232183493240678e-09,6.677874250540342e-10,6.061693195569096e-09,4.9331646325203185e-09,6.435836172493458e-09,7.764427620567237e-10,1.4394223712526316e-09,3.2321834932406777e-09,3.346617193493721e-10,4.933164632520311e-09,3.346617193493653e-10,4.379944818175242e-09,4.3799448181752375e-09,6.0616931955690885e-09,1.4394223712526298e-09,1.4424778980810512e-08,3.38568079873193e-09,6.435836172493458e-09,6.162975822039155e-33,0.0,1.232595164407831e-32,2.465190328815662e-32,3.0814879110195774e-33,8.271806125530277e-25,1.3877787807814457e-17,4.1359030627651384e-25,0.0,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,2.7755575615628914e-17,8.271806125530277e-25,0.0,6.162975822039155e-33,3.697785493223493e-32,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,1.9658018632887884e-33,1.1579627250169866e-33,2.1196503196671334e-24,4.846220043854785e-14,4.3985403233227586e-24,1.6413289716021083e-22,8.361297302817246e-22,1.316566897257232e-22,8.520678558593317e-22,2.5156287768658535e-09,2.4748558878522896e-24,3.3082818336142604e-09,6.932691717282196e-22,8.356006675689886e-22,0.0,3.765588676475919e-09,3.1598813526160954e-24,1.7588197012479987e-22,1.9067392247604093e-22,4.3938988437610694e-24,5.169878828456423e-26,0.0,0.0,1.5407439555097887e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,8.941768133638976e-17,1.232595164407831e-32,0.0,3.0814879110195774e-33,2.465190328815662e-32,1.232595164407831e-32,6.162975822039155e-33,4.7710985115239974e-24,3.355548551267608e-16,7.888609052210118e-31,1.5777218104420236e-30,1.1832913578315177e-30,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.9920769673667968e-22,8.268716124981076e-22,2.7030259129974985e-14,7.888609052210118e-31,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.7786175305581522e-22,6.336196225951786e-22,2.515628776865651e-09,2.2255268094896873e-14,1.232595164407831e-32,3.0814879110195774e-33,3.851859888774472e-33,7.703719777548943e-34,0.0,3.0814879110195774e-33,4.337698089700514e-24,3.3082818336142612e-09,7.118839530993568e-22,7.509013605729733e-22,3.35599710821205e-16,0.0,6.162975822039155e-33,1.7333369499485123e-33,9.62964972193618e-34,0.0,0.0,1.8488927466117464e-32,3.765588676475919e-09,4.049114707545119e-24,1.8549705465386516e-22,1.931439150015915e-22,4.914989454773865e-24,6.275453903965422e-17
9,3.0693002849307366e-08,3.0693002849307234e-08,5.3233681843028986e-09,5.323368184302899e-09,1.5896170349320957e-08,1.589617034932096e-08,3.38568079873193e-09,2.0867538153839415e-09,6.677874250540381e-10,1.4424778980810512e-08,2.0867538153839415e-09,7.76442762056725e-10,3.232183493240678e-09,6.677874250540342e-10,6.061693195569096e-09,4.9331646325203185e-09,6.435836172493458e-09,7.764427620567237e-10,1.4394223712526316e-09,3.2321834932406777e-09,3.346617193493721e-10,4.933164632520311e-09,3.346617193493653e-10,4.379944818175242e-09,4.3799448181752375e-09,6.0616931955690885e-09,1.4394223712526298e-09,1.4424778980810512e-08,3.38568079873193e-09,6.435836172493458e-09,6.162975822039155e-33,0.0,1.232595164407831e-32,2.465190328815662e-32,3.0814879110195774e-33,8.271806125530277e-25,1.3877787807814457e-17,4.1359030627651384e-25,0.0,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,2.7755575615628914e-17,8.271806125530277e-25,0.0,6.162975822039155e-33,3.697785493223493e-32,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,1.9658018632887884e-33,1.1579627250169866e-33,2.1196503196671334e-24,4.846220043854785e-14,4.3985403233227586e-24,1.6413289716021083e-22,8.361297302817246e-22,1.316566897257232e-22,8.520678558593317e-22,2.5156287768658535e-09,2.4748558878522896e-24,3.3082818336142604e-09,6.932691717282196e-22,8.356006675689886e-22,0.0,3.765588676475919e-09,3.1598813526160954e-24,1.7588197012479987e-22,1.9067392247604093e-22,4.3938988437610694e-24,5.169878828456423e-26,0.0,0.0,1.5407439555097887e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,8.941768133638976e-17,1.232595164407831e-32,0.0,3.0814879110195774e-33,2.465190328815662e-32,1.232595164407831e-32,6.162975822039155e-33,4.7710985115239974e-24,3.355548551267608e-16,7.888609052210118e-31,1.5777218104420236e-30,1.1832913578315177e-30,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.9920769673667968e-22,8.268716124981076e-22,2.7030259129974985e-14,7.888609052210118e-31,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.7786175305581522e-22,6.336196225951786e-22,2.515628776865651e-09,2.2255268094896873e-14,1.232595164407831e-32,3.0814879110195774e-33,3.851859888774472e-33,7.703719777548943e-34,0.0,3.0814879110195774e-33,4.337698089700514e-24,3.3082818336142612e-09,7.118839530993568e-22,7.509013605729733e-22,3.35599710821205e-16,0.0,6.162975822039155e-33,1.7333369499485123e-33,9.62964972193618e-34,0.0,0.0,1.8488927466117464e-32,3.765588676475919e-09,4.049114707545119e-24,1.8549705465386516e-22,1.931439150015915e-22,4.914989454773865e-24,6.275453903965422e-17
