Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7578816694240763,-7.189513860182867e-18,
1,0.789084551166925,0.12887451218016743,Y5Z0,0.785398148538508,nan
2,0.8199725665644226,0.2564485596470599,Y9Z7,0.7853981704945983,nan
3,0.8508512492209833,0.3839840609166659,Y6Z2,0.7853865481123832,nan
4,0.8771047307617708,0.4924165016919625,Y1Z0,0.7853981309240068,nan
5,0.9018000397089527,0.5944133595442349,Y3Z6,0.7853981368387902,nan
6,0.9220891538696945,0.6782116994406,Y4Z6,0.7853981528811562,nan
7,0.9456394319269021,0.7754793371332475,Y8Z4,0.7853980980928317,nan
8,0.945639431977948,0.7754793373440774,Y2Z6,1.1583457255379369e-05,nan
9,0.9456394319779506,0.7754793373440885,Y8Z4,1.0372295268874088e-07,nan
10,0.9456394319779506,0.7754793373440885,Y2Z6,0.0,nan
11,0.9456394319779506,0.7754793373440885,Y2Z4,0.0,nan
12,0.9456394319779506,0.7754793373440885,Y2Z6,0.0,nan
13,0.9456394319779506,0.7754793373440889,Y2Z6,0.000528318636882586,nan
14,0.9834122863320166,0.9314892283102792,X7X9,1.0072270442767541,1.2359868873348505
15,0.9854917103100054,0.9400776898821169,Y7Y9,0.2817850470203464,2.4719732003464205
