,Gate-Error Probability
Seed 78,0.001322708740212536
Seed 95,0.0021303518532206954
Seed 69,0.003745662265834001
Seed 21,0.002332262445113682
Seed 14,0.0017265579622182915
Seed 10,0.0015246616925563392
Seed 36,0.0033417946229158313
Seed 37,0.0015246523077465206
Seed 90,0.0019284102666885577
Seed 54,0.0035437737073241897
Seed 63,0.00011133411419831029
Seed 97,0.0019284998881105393
Seed 38,0.0069762558728210695
Seed 33,0.0015246498637054061
Seed 27,0.002736040359155131
Seed 5,0.001726526982444555
Seed 31,0.00011139680132803786
Seed 82,0.0017265188582866772
Seed 6,0.0005149510725486095
Seed 76,0.0013227623479093648
Seed 24,0.0009188095102570164
Seed 25,0.0017266073561312874
Seed 59,5.000847956964015e-06
Seed 60,0.0005156817776790497
Seed 85,0.0023322573975221497
Seed 30,0.0007172598481304836
Seed 96,0.0013227883715218281
Seed 67,0.00011121062138348221
Seed 83,0.0033417249875749263
Seed 9,0.0001112260156433862
Seed 7,0.0009190723285454663
Seed 68,0.0017265795181603258
Seed 32,5.000599249394555e-06
Seed 1,0.0
Seed 52,0.005159023669646427
Seed 22,0.0007170446751509618
Seed 86,0.0025340924526236048
Seed 57,0.0
Seed 92,0.0011208055024853729
Seed 58,0.0023322815547011586
Seed 13,0.0021303109875135933
Seed 65,0.00152457314147316
Seed 26,0.0011209223423753055
Seed 73,0.0001113270443664143
Seed 43,0.0015245583597192805
Seed 48,0.0
Seed 20,0.00011126576353477
Seed 4,0.00011118472231267647
Seed 3,0.0011206517275535728
Seed 56,0.00011117391929814747
Seed 44,0.00192844127932762
Seed 80,0.0009188692566689863
Seed 12,0.0011208475857399764
Seed 8,0.00515902849078661
Seed 2,0.0019284356478308663
Seed 88,0.0021303424612428754
Seed 23,0.0019283769518251062
Seed 34,0.0025341261743594204
Seed 89,0.0007171785285869637
Seed 11,0.0015246442839988634
Seed 71,0.0021303984085347593
Seed 39,0.0009190079645797501
Seed 51,5.000645075437619e-06
Seed 42,0.0
Seed 98,0.0021303281520462895
Seed 93,0.003947528278305215
Seed 28,0.0021302849177295704
Seed 18,0.0015245984617462856
Seed 72,0.0025341181289067582
Seed 66,0.0019283618897851065
Seed 46,0.0021302976366398075
Seed 50,0.001322750005075291
Seed 75,0.0015246316160655135
Seed 41,0.0017265232643268393
Seed 99,0.0015245849529344246
Seed 29,5.000559896564312e-06
Seed 91,0.0035437346828869447
Seed 17,5.000947911508357e-06
Seed 45,0.0
Seed 74,0.0
Seed 94,0.002332246966288971
Seed 70,0.0017265312169089506
Seed 100,0.002534169338686789
Seed 19,0.003139836785624954
Seed 40,0.0033418198072175873
Seed 15,0.003139903660896274
Seed 77,0.00293802306003756
Seed 61,0.0007168972776987484
Seed 87,0.003745548786965259
Seed 79,0.0009189867496634449
Seed 64,0.0
Seed 49,0.002332211553099966
Seed 81,0.0
Seed 53,0.0021303951855353295
Seed 55,0.002332252105771187
Seed 47,0.001726482539282029
Seed 16,0.002332243838469209
Seed 62,5.001358203491306e-06
Seed 35,0.0037456489325635783
Seed 84,0.0
