,Gate-Error Probability
Seed 94,0.007582022639240693
Seed 95,0.0681633486765038
Seed 47,0.03244901829894283
Seed 58,0.004351360316968821
Seed 76,0.002130266530152634
Seed 7,0.0025341607875085164
Seed 24,0.002130287512147668
Seed 36,0.011418472100709873
Seed 74,0.0
Seed 33,0.0
Seed 84,0.004755203442587749
Seed 35,0.0055628543587345
Seed 96,0.0
Seed 15,0.010812722889404037
Seed 79,0.0017264860492804536
Seed 98,0.023061251694021477
Seed 90,0.02795921218641797
Seed 49,0.060816440432142654
Seed 71,0.003947542663239465
Seed 31,0.0
Seed 17,0.0001111689927777716
Seed 61,0.002937870602530951
Seed 81,0.0
Seed 20,0.0001110255208104674
Seed 51,5.000171776218507e-06
Seed 46,0.035306159356696745
Seed 97,0.004149473870745501
Seed 67,0.00011102455933191084
Seed 69,0.006168629436879457
Seed 44,0.027551051059312874
Seed 3,0.016264502064300378
Seed 73,0.00011113871852238232
Seed 42,0.0
Seed 41,0.0023322222308535616
Seed 30,0.0013227471836001095
Seed 56,0.000111021134796864
Seed 70,0.032857179403518844
Seed 52,0.08938786327660406
Seed 23,0.023469414782495392
Seed 72,0.027551050797368137
Seed 32,0.00011101848460841905
Seed 16,0.0067743528119322185
Seed 75,0.010206929060038124
Seed 65,0.01727410718887007
Seed 99,0.014043392882190833
Seed 60,0.019697136260043435
Seed 77,0.005966712629484866
Seed 10,0.00233224076829402
Seed 78,0.005159001761214118
Seed 13,0.007178177012553111
Seed 100,0.05020418272197151
Seed 25,0.003947548861647095
Seed 9,0.00011103902726803962
Seed 5,0.00738010118129249
Seed 26,0.0027360666062302163
Seed 63,0.00011117276003560306
Seed 80,0.001524550091380331
Seed 59,0.00011115658513334396
Seed 27,0.036122490197362384
Seed 45,0.0069762937084797555
Seed 68,0.0029379777763126388
Seed 8,0.0738776608457733
Seed 53,0.0045533002087713055
Seed 64,0.0
Seed 92,0.002534110905425848
Seed 86,0.042040923127439914
Seed 83,0.02551023518305502
Seed 38,0.09183682799580636
Seed 4,0.00011102497977949319
Seed 19,0.04204093136127882
Seed 50,0.0025341357590579214
Seed 1,0.01888946700233763
Seed 37,0.0035437050347676916
Seed 66,0.029591873110335495
Seed 55,0.009601206015483454
Seed 43,0.030408197969207268
Seed 40,0.007178211646181411
Seed 18,0.0031398470297250114
Seed 2,0.00576476765811523
Seed 85,0.020204109579274123
Seed 28,0.031632689558011115
Seed 22,0.0039474853447075044
Seed 57,0.0
Seed 93,0.0583674698340477
Seed 87,0.028367370844646717
Seed 29,5.0000363438802745e-06
Seed 21,0.0047551981840594955
Seed 54,0.005562867861747398
Seed 88,0.003745592909138602
Seed 91,0.010005054859722553
Seed 82,0.0055628411499454985
Seed 62,0.00011103198827168316
Seed 12,0.001726496234839598
Seed 39,0.002937945959969021
Seed 6,0.002130266459586123
Seed 34,0.008389687982172135
Seed 48,0.0
Seed 89,0.0023321855800236876
Seed 14,0.0027360667926067802
Seed 11,0.0021303165322187493
